slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
saganaki,Saganaki,APERATIF,aperatifler,gr,3,3,few-steps,Kefalotiri peyniri 300 gr | Un 3 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Limon 1 adet,1. Peyniri kalın dilimleyip una bulayın. || 2. Peyniri tavada iki yüzü kızarana kadar 6 dakika pişirin. || 3. Limon sıkarak sıcak servis edin.
carne-asada,Carne Asada,YEMEK,et-yemekleri,mx,3,3,few-steps,Dana antrikot 800 gr | Lime suyu 4 yemek kaşığı | Sarımsak 4 diş | Kimyon 1 tatlı kaşığı,"1. Eti lime suyu, sarımsak ve kimyonla 30 dakika marine edin. || 2. Eti ızgarada iki yüzünü 12-15 dakika pişirin. || 3. Eti 5 dakika dinlendirip dilimleyin."
hamsili-misirli-pilav-giresun-usulu,Hamsili Mısırlı Pilav,YEMEK,makarna-pilav,tr,3,3,few-steps,Hamsi fileto 250 gr | Pirinç 1.5 su bardağı | Mısır tanesi 1 su bardağı | Su 2.5 su bardağı,1. Pirinci yıkayın. || 2. Mısır ve suyla pişirmeye başlayın. || 3. Hamsiyle birlikte 12 dakika pişirin.
romesco-sos,Romesco Sos,SOS,soslar-dippler,es,3,3,few-steps,Köz kırmızı biber 3 adet | Domates 1 adet | Badem 0.5 su bardağı | Ekmek içi 0.5 su bardağı | Sarımsak 2 diş | Zeytinyağı 0.25 su bardağı | Sirke 2 yemek kaşığı,"1. Köz biber ve domatesin kabuklarını soyun. || 2. Biber, domates, badem, ekmek içi, sarımsak, zeytinyağı ve sirkeyi robottan geçirin. || 3. Sosu 15 dakika dinlendirip servis edin."
sebzeli-noodle,Sebzeli Noodle,YEMEK,makarna-pilav,tr,3,3,few-steps,Noodle 300 gr | Havuç 1 adet | Kabak 1 adet | Kırmızı biber 1 adet | Soya sosu 4 yemek kaşığı | Susam yağı 1 yemek kaşığı | Susam 1 yemek kaşığı,"1. Noodleları paket süresine göre haşlayıp süzün. || 2. Jülyen sebzeleri susam yağında 4-5 dakika soteleyin. || 3. Noodle, soya sosu ve susamı ekleyip 2 dakika karıştırın."
pizza-margherita,Pizza Margherita,YEMEK,hamur-isleri,it,3,3,few-steps,Un 2.5 su bardağı | Ilık su 1 su bardağı | Kuru maya 1 çay kaşığı | Domates sosu 0.75 su bardağı | Mozzarella peyniri 200 gr | Zeytinyağı 2 yemek kaşığı | Fesleğen 8 yaprak | Tuz 1 çay kaşığı,"1. Un, su, maya ve tuzu yoğurup 45 dakika mayalandırın. || 2. Hamuru açın, domates sosu ve mozzarella ekleyin. || 3. 240°C fırında 10-12 dakika pişirin."
corn-dog,Corn Dog,ATISTIRMALIK,atistirmaliklar,us,3,3,few-steps,Dana sosis 6 adet | Mısır unu 180 gr | Un 120 gr | Yumurta 1 adet,"1. Mısır unu, un, yumurta ve sütle koyu hamur hazırlayın. || 2. Sosisleri çubuğa geçirip hamura batırın. || 3. Corn dogları 170°C yağda 8-10 dakika kızartın."
hamsili-pirincli-yesil-lahana-sarmasi-sinop-usulu,Hamsili Pirinçli Yeşil Lahana Sarması,YEMEK,et-yemekleri,tr,3,3,few-steps,Yeşil lahana 12 yaprak | Hamsi fileto 300 gr | Pirinç 0.75 su bardağı | Soğan 1 adet | Zeytinyağı 1 yemek kaşığı,1. Lahana yapraklarını 3 dakika haşlayın. || 2. İç harcı hazırlayıp yapraklara sarın. || 3. Sarmaları 20 dakika pişirin.
lorlu-zeytinli-otlu-krep-izmir-usulu,Lorlu Zeytinli Otlu Krep,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Un 0.75 su bardağı | Yumurta 2 adet | Lor peyniri 120 gr | Zeytin 8 adet,1. Krep hamurunu hazırlayın. || 2. İnce krepleri 6 dakika pişirin. || 3. İç harçla katlayıp servis edin.
rogan-josh,Rogan Josh,YEMEK,et-yemekleri,in,3,3,few-steps,Kuzu kuşbaşı 900 gr | Yoğurt 250 gr | Soğan 2 adet | Keşmir biberi 2 tatlı kaşığı,1. Kuzu etini soğanla 10 dakika kavurun. || 2. Yoğurt ve baharatları ekleyin. || 3. Kısık ateşte 80 dakika pişirin.
pot-au-feu,Pot-au-Feu,YEMEK,et-yemekleri,fr,3,3,few-steps,Dana incik 1 kg | Havuç 4 adet | Pırasa 2 adet | Kereviz sapı 2 dal,1. Eti soğuk suyla tencereye alın. || 2. Köpüğünü alarak 90 dakika pişirin. || 3. Sebzeleri ekleyip 60 dakika daha pişirin.
tavuklu-sezar-wrap,Tavuklu Sezar Wrap,YEMEK,tavuk-yemekleri,us,3,3,few-steps,Tavuk göğsü 500 gr | Tortilla 4 adet | Marul 1 adet | Parmesan peyniri 0.5 su bardağı | Mayonez 3 yemek kaşığı | Ançüez 2 adet | Limon suyu 1 yemek kaşığı,"1. Tavukları ızgara tavada 10-12 dakika pişirin. || 2. Mayonez, ançüez, limon suyu ve parmesanı karıştırarak sos yapın. || 3. Tortillalara marul, tavuk ve sos koyup sıkı sarın."
patatesli-yumurta,Patatesli Yumurta,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Patates 3 adet | Yumurta 4 adet | Sıvı yağ 3 yemek kaşığı | Pul biber 0.5 çay kaşığı | Tuz 0.5 çay kaşığı,1. Patatesleri küçük küpler halinde doğrayın. || 2. Patatesleri yağda 15 dakika çevirerek pişirin. || 3. Yumurtaları ekleyip 4-5 dakika pişirin.
hashasli-erikli-rulo-macaristan-usulu,Haşhaşlı Erikli Rulo,TATLI,tatlilar,hu,3,3,few-steps,Un 2.5 su bardağı | Yumurta 1 adet | Süt 0.75 su bardağı | Erik 4 adet | Haşhaş 0.5 su bardağı,1. Hamuru yoğurup 15 dakika dinlendirin. || 2. İç harcı sürüp rulo yapın. || 3. Ruloyu 24 dakika pişirin.
hashasli-mercimek-krep-kutahya-koy-usulu,Kütahya Haşhaşlı Mercimek Krep,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Un 1 su bardağı | Yumurta 1 adet | Süt 1 su bardağı | Haşhaş ezmesi 2 yemek kaşığı | Haşlanmış yeşil mercimek 1 su bardağı,1. Krep hamurunu hazırlayın. || 2. Krepleri toplam 8 dakika pişirin. || 3. Mercimekli içle doldurup servis edin.
sumakli-yogurtlu-pancar-gaziantep-usulu,Gaziantep Sumaklı Yoğurtlu Pancar,SALATA,salatalar,tr,3,3,few-steps,Pancar 3 adet | Yoğurt 1.5 su bardağı | Sarımsak 1 diş | Sumak 1 tatlı kaşığı | Zeytinyağı 1 yemek kaşığı,"1. Pancarı haşlayıp soyun ve küçük küpler doğrayın. || 2. Yoğurt, sarımsak ve sumağı karıştırın. || 3. Pancarı yoğurda katıp üstüne zeytinyağı gezdirerek servis edin."
mercimekli-eriste-borek-ardahan-usulu,Ardahan Mercimekli Erişte Börek,APERATIF,hamur-isleri,tr,3,3,few-steps,Yufka 3 adet | Erişte 0.75 su bardağı | Yeşil mercimek 0.75 su bardağı | Yumurta 1 adet | Zeytinyağı 2 yemek kaşığı,1. Mercimek ve erişteyi ayrı ayrı haşlayın. || 2. İkisini karıştırıp yufkaya yayın. || 3. Üzerine yumurta sürüp 190°C fırında 25 dakika pişirin.
naneli-soganli-kurut-sosu-hakkari-usulu,Hakkari Naneli Soğanlı Kurut Sosu,SOS,soslar-dippler,tr,3,3,few-steps,Kurut 80 gr | Kuru soğan 1 adet | Nane 1 çay kaşığı | Tereyağı 10 gr,1. Kurutu 5 dakika sıcak suda bekletin. || 2. Soğanı tereyağında 3 dakika çevirin. || 3. Kurut ve naneyi ekleyip karıştırarak servis edin.
misir-unlu-palamut-tava-samsun-usulu,Mısır Unlu Palamut Tava,YEMEK,et-yemekleri,tr,3,3,few-steps,Palamut fileto 600 gr | Mısır unu 1 su bardağı | Tuz 1 çay kaşığı | Sıvı yağ 4 yemek kaşığı | Limon 1 adet,1. Balığı tuzlayıp mısır ununa bulayın. || 2. Palamudu tavada toplam 8 dakika kızartın. || 3. Limonla servis edin.
amasra-peynirli-misir-tavasi,Amasra Peynirli Mısır Tavası,KAHVALTI,kahvaltiliklar,tr,5,3,no-time,Mısır unu 1 su bardağı | Süt 300 ml | Kaşar peyniri 150 gr | Tereyağı 20 gr | Tuz 0.5 çay kaşığı | Karabiber 0.5 çay kaşığı,"1. Sütü tavaya alın, mısır ununu çırparak azar azar ekleyin. || 2. Tereyağı, tuz ve karabiberle karışımı koyulaşana kadar 6-7 dakika pişirin. || 3. Kaşar peynirini ekleyip tamamen eriyene kadar karıştırın. || 4. Mısır tavasını 1 dakika daha çevirerek pürüzsüz hale getirin. || 5. Bekletmeden sıcak olarak servis edin."
sac-kavurma-rize-usulu,Rize Sac Kavurma,YEMEK,et-yemekleri,tr,3,3,few-steps,Dana kuşbaşı 600 gr | Tereyağı 20 gr | Tuz 0.75 çay kaşığı | Karabiber 0.5 çay kaşığı,1. Sac ya da tavayı yüksek ateşte kızdırın. || 2. Eti tek sıra halinde 10 dakika mühürleyin. || 3. Tereyağı ve baharatı ekleyip 4 dakika daha çevirerek servis edin.
tulumlu-domates-pidesi-tekirdag-usulu,Tekirdağ Tulumlu Domates Pidesi,APERATIF,hamur-isleri,tr,3,3,few-steps,Un 2 su bardağı | Domates 2 adet | Tulum peyniri 120 gr | Zeytinyağı 1 yemek kaşığı | Su 0.75 su bardağı,1. Hamuru yoğurup 10 dakika dinlendirin. || 2. Domates ve peyniri hamurun üstüne yayın. || 3. 220°C fırında 12 dakika pişirin.
hashasli-kaymakli-ekmek-afyon-usulu,Haşhaşlı Kaymaklı Ekmek,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Ekmek 8 dilim | Haşhaş ezmesi 4 yemek kaşığı | Kaymak 120 gr | Tereyağı 15 gr,1. Ekmek dilimlerini tereyağıyla tavada hafif kızartın. || 2. Sıcak ekmeğin üstüne haşhaş ezmesi sürün. || 3. Kaymak ekleyip ekmekleri ılık servis edin.
