slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
peynirli-kavrulmus-misir-ekmegi-samsun-usulu,Peynirli Kavrulmuş Mısır Ekmeği,"Samsun usulü peynirli kavrulmuş mısır ekmeği, mısır ekmeğini tereyağı ve peynirle buluşturarak sıcak, tok ve sade bir kahvaltı tabağı yapar.",KAHVALTI,tr,EASY,8,8,16,2,248,Mısır ekmeği 4 dilim | Kaşar peyniri 120 gr | Tereyağı 1 yemek kaşığı | Pul biber 0.25 çay kaşığı,4,1. Ekmeği tavada 4 dakika ısıtın. || 2. Peyniri üstüne pay edin. || 3. Kısa eritirip servis edin.,3,SUT,"30-dakika-alti,vejetaryen",Mısır ekmeğini tavada 4 dakika çevirmek dışını kıtır tutar.,Ilık servis edin.,Toasted Corn Bread with Cheese,This Samsun-style breakfast warms corn bread with butter and cheese into a hearty plate.,,,0,0,Geröstetes Maisbrot mit Käse,Dieses Frühstück nach Art aus Samsun wärmt Maisbrot mit Butter und Käse zu einem herzhaften Teller.,,,0,0
yesil-mercimekli-pancar-corbasi-bolu-usulu,Yeşil Mercimekli Pancar Çorbası,"Bolu usulü yeşil mercimekli pancar çorbası, pancarı mercimek ve soğanla buluşturarak koyu, tok ve dengeli bir çorba kurar.",CORBA,tr,EASY,10,22,32,4,168,Yeşil mercimek 1 su bardağı | Pancar 2 adet | Soğan 1 adet | Su 5 su bardağı,4,1. Soğanı 3 dakika çevirin. || 2. Mercimek ve pancarı ekleyin. || 3. Çorbayı 18 dakika pişirin.,3,,"tek-tencere,vegan",Pancarı küçük küp kesmek tencerede daha eşit yumuşamasını sağlar.,Sıcak servis edin.,Beet Soup with Green Lentils,This Bolu-style soup combines beet and green lentils in a deep hearty bowl.,,,0,0,Rote-Bete-Suppe mit grünen Linsen,Diese Suppe nach Art aus Bolu verbindet Rote Bete und grüne Linsen zu einer tiefen herzhaften Schale.,,,0,0
hamsili-kabakli-firin-pilav-rize-usulu,Hamsili Kabaklı Fırın Pilav,"Rize usulü hamsili kabaklı fırın pilav, hamsiyi kabak ve pirinçle buluşturarak sulu, hafif ve sofralık bir ana yemek yapar.",YEMEK,tr,MEDIUM,14,22,36,4,304,Hamsi fileto 250 gr | Pirinç 1.5 su bardağı | Kabak 2 adet | Su 2.5 su bardağı,4,1. Pirinci yıkayın. || 2. Malzemeleri tepsiye yerleştirin. || 3. Fırında 22 dakika pişirin.,3,DENIZ_URUNLERI,"misafir-sofrasi,firinda",Kabağı ince dilimlemek pilav içinde fazla su bırakmasını azaltır.,Sıcak servis edin.,Baked Rice with Anchovy and Zucchini,"This Rize-style oven pilaf combines anchovy, zucchini, and rice in a light coastal main.",,,0,0,Ofenpilaw mit Sardelle und Zucchini,"Dieser Ofenpilaw nach Art aus Rize verbindet Sardelle, Zucchini und Reis zu einem leichten Küstenhauptgericht.",,,0,0
pekmezli-findikli-armut-kup-ordu-usulu,Pekmezli Fındıklı Armut Kup,"Ordu usulü pekmezli fındıklı armut kup, armudu pekmez ve fındıkla buluşturarak serin, hafif ve kaşıkla yenilen bir tatlı yapar.",TATLI,tr,EASY,8,0,8,4,202,Armut 3 adet | Üzüm pekmezi 3 yemek kaşığı | Fındık 0.5 su bardağı | Yoğurt 1 su bardağı,4,1. Yoğurdu kup tabanına pay edin. || 2. Armutu dilimleyin. || 3. Pekmez ve fındıkla tamamlayın.,3,"KUSUYEMIS,SUT","vejetaryen,30-dakika-alti",Armutu servis anında dilimlemek kup içinde kararmasını geciktirir.,Soğuk servis edin.,Pear Cups with Molasses and Hazelnut,"This Ordu-style dessert layers pear, molasses, and hazelnut in a cool spoonable cup.",,,0,0,Birnenbecher mit Melasse und Haselnuss,"Dieses Dessert nach Art aus Ordu schichtet Birne, Melasse und Haselnuss in einem kühlen Löffelbecher.",,,0,0
maydanozlu-fasulye-piyazi-sinop-usulu,Maydanozlu Fasulye Piyazı,"Sinop usulü maydanozlu fasulye piyazı, kuru fasulyeyi maydanoz ve limonla buluşturarak ferah, tok ve sade bir salata çıkarır.",SALATA,tr,EASY,10,0,10,4,154,Haşlanmış kuru fasulye 2 su bardağı | Maydanoz 0.5 demet | Limon suyu 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,4,1. Fasulyeyi süzün. || 2. Maydanozu ince kıyın. || 3. Sosla karıştırıp servis edin.,3,,"vegan,30-dakika-alti",Fasulyeyi süzdükten sonra 2 dakika bekletmek sosun daha iyi tutmasını sağlar.,Soğuk servis edin.,Bean Piyaz with Parsley,This Sinop-style salad tosses white beans with parsley and lemon for a fresh side.,,,0,0,Bohnensalat mit Petersilie,Dieser Salat nach Art aus Sinop mischt weiße Bohnen mit Petersilie und Zitrone zu einer frischen Beilage.,,,0,0
karalahanali-lorlu-gozleme-trabzon-usulu,Karalahanalı Lorlu Gözleme,"Trabzon usulü karalahanalı lorlu gözleme, ince hamuru kara lahana ve lorla buluşturarak sıcak, yumuşak ve doyurucu bir hamur işi yapar.",YEMEK,tr,MEDIUM,18,16,34,4,266,Yufka 3 adet | Kara lahana 250 gr | Lor peyniri 150 gr | Tereyağı 1 yemek kaşığı,4,1. Karalahanayı 3 dakika çevirin. || 2. Harcı yufkaya pay edin. || 3. Gözlemeyi 10 dakika pişirin.,3,"GLUTEN,SUT","misafir-sofrasi,vejetaryen",Karalahanayı tavada 3 dakika çevirmek iç harcın sulanmasını azaltır.,Ilık servis edin.,Flatbread with Black Cabbage and Lor,This Trabzon-style flatbread fills thin dough with black cabbage and lor cheese.,,,0,0,Fladenbrot mit Schwarzkohl und Lor,Dieses Fladenbrot nach Art aus Trabzon füllt dünnen Teig mit Schwarzkohl und Lor-Käse.,,,0,0
kusburnulu-soguk-cay-giresun-usulu,Kuşburnulu Soğuk Çay,"Giresun usulü kuşburnulu soğuk çay, kuşburnunu hafif çay ve buzla buluşturarak ferah, ince ekşili bir içecek yapar.",ICECEK,tr,EASY,6,6,12,4,32,Kuşburnu çayı 2 su bardağı | Su 2 su bardağı | Bal 2 tatlı kaşığı | Buz 1 su bardağı,4,1. Çayı 6 dakika demleyin. || 2. Balı içinde eritin. || 3. Buzla servis edin.,3,,"alkolsuz,30-dakika-alti",Kuşburnu çayını süzerek kullanmak bardakta daha temiz bir görünüm verir.,Soğuk servis edin.,Iced Rosehip Tea,This Giresun-style drink blends rosehip tea with ice into a bright tart glass.,,,0,0,Eistee mit Hagebutte,Dieses Getränk nach Art aus Giresun verbindet Hagebuttentee mit Eis zu einem hellen säuerlichen Glas.,,,0,0
cevizli-biberli-yogurt-ezme-artvin-usulu,Cevizli Biberli Yoğurt Ezme,"Artvin usulü cevizli biberli yoğurt ezme, biberi yoğurt ve cevizle buluşturarak serin, yoğun ve sürülebilir bir meze yapar.",APERATIF,tr,EASY,10,6,16,4,146,Kapya biber 2 adet | Süzme yoğurt 1 su bardağı | Ceviz 0.5 su bardağı | Sarımsak 1 diş,4,1. Biberi 4 dakika çevirin. || 2. Cevizi ince çekin. || 3. Yoğurtla karıştırıp servis edin.,3,"SUT,KUSUYEMIS","vejetaryen,30-dakika-alti",Biberi kısa kavurmak ezmede çiğ tat kalmasını önler.,Soğuk servis edin.,Yogurt Pepper Dip with Walnut,"This Artvin-style meze combines pepper, yogurt, and walnut into a cool spread.",,,0,0,Joghurt-Paprika-Dip mit Walnuss,"Diese Meze nach Art aus Artvin verbindet Paprika, Joghurt und Walnuss zu einem kühlen Aufstrich.",,,0,0
tavuklu-mantarli-kesme-makarna-zonguldak-usulu,Tavuklu Mantarlı Kesme Makarna,"Zonguldak usulü tavuklu mantarlı kesme makarna, tavuk ve mantarı kesme hamurla buluşturarak sulu, tok ve ev işi bir yemek yapar.",YEMEK,tr,MEDIUM,14,18,32,4,318,Kesme makarna 300 gr | Tavuk göğsü 400 gr | Mantar 250 gr | Su 3 su bardağı,4,1. Tavuğu 5 dakika soteleyin. || 2. Mantarı ve makarnayı ekleyin. || 3. Yemeği 12 dakika pişirin.,3,GLUTEN,"tek-tencere,yuksek-protein",Mantarı yüksek ateşte 4 dakika çevirmek tavada sulanmasını azaltır.,Sıcak servis edin.,Cut Noodles with Chicken and Mushrooms,"This Zonguldak-style dish combines chicken, mushrooms, and rustic cut noodles in a homey pan.",,,0,0,Hausnudeln mit Hähnchen und Pilzen,"Dieses Gericht nach Art aus Zonguldak verbindet Hähnchen, Pilze und rustikale Bandnudeln in einer heimischen Pfanne.",,,0,0
muhallebili-elma-tatlisi-kastamonu-usulu,Muhallebili Elma Tatlısı,"Kastamonu usulü muhallebili elma tatlısı, elmayı sütlü muhallebiyle buluşturarak hafif, yumuşak ve zarif bir tatlı kurar.",TATLI,tr,EASY,10,10,20,4,214,Elma 3 adet | Süt 2 su bardağı | Mısır nişastası 2 yemek kaşığı | Tarçın 0.25 çay kaşığı,4,1. Muhallebiyi 8 dakika pişirin. || 2. Elmayı kısa yumuşatın. || 3. Katmanlayıp soğutun.,3,SUT,vejetaryen,Elmayı ince dilimlemek muhallebiyle katmanlanırken daha düzgün bir görünüm sağlar.,Soğuk servis edin.,Apple Dessert with Milk Pudding,This Kastamonu-style dessert layers apple with a light milk pudding.,,,0,0,Apfeldessert mit Milchpudding,Dieses Dessert nach Art aus Kastamonu schichtet Apfel mit einem leichten Milchpudding.,,,0,0
