slug,type,currentStepCount,minTarget,maxTarget,currentTitle,currentStepsJson
patatesli-bukme-afyon-usulu,KAHVALTI,3,5,8,Afyon Patatesli Bükme,"[{""stepNumber"":1,""instruction"":""Hamuru yoğurup bezeler halinde 15 dakika dinlendirin."",""timerSeconds"":900},{""stepNumber"":2,""instruction"":""Patates, soğan ve tuzla iç harcı hazırlayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Hamuru açıp haşhaş ezmesi sürün, iç koyup kapatın ve 190°C fırında 25 dakika pişirin."",""timerSeconds"":1500}]"
patatesli-gozleme-yozgat-usulu,KAHVALTI,3,5,8,Yozgat Patatesli Gözleme,"[{""stepNumber"":1,""instruction"":""Patatesleri haşlayıp ezin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Patatesi baharatla karıştırıp yufkaya yayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Gözlemeleri tavada iki yüzü kızarana kadar pişirin."",""timerSeconds"":null}]"
patatesli-kete-tavasi-ardahan-usulu,KAHVALTI,3,5,8,Ardahan Patatesli Kete Tavası,"[{""stepNumber"":1,""instruction"":""Hamuru yoğurup 10 dakika dinlendirin."",""timerSeconds"":600},{""stepNumber"":2,""instruction"":""Patatesleri ezip tereyağı ve tuzla karıştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Keteyi tavada iki yüzünü toplam 12 dakika pişirin."",""timerSeconds"":720}]"
patatesli-lorlu-corek-agri-usulu,KAHVALTI,3,5,8,Patatesli Lorlu Çörek,"[{""stepNumber"":1,""instruction"":""Hamuru hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Patatesli içi yerleştirin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Çörekleri 22 dakika pişirin."",""timerSeconds"":1320}]"
patatesli-yumurta,KAHVALTI,3,5,8,Patatesli Yumurta,"[{""stepNumber"":1,""instruction"":""Patatesleri küçük küpler halinde doğrayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Patatesleri yağda 15 dakika çevirerek pişirin."",""timerSeconds"":900},{""stepNumber"":3,""instruction"":""Yumurtaları ekleyip 4-5 dakika pişirin."",""timerSeconds"":300}]"
patatesli-yumurta-tavasi-erzurum-usulu,KAHVALTI,3,5,8,Patatesli Yumurta Tavası,"[{""stepNumber"":1,""instruction"":""Patatesleri küçük küp doğrayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Patatesleri tereyağında 10 dakika altın rengi olana kadar pişirin."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Yumurtaları kırıp tuz ve pul biberle 3 dakika daha pişirin."",""timerSeconds"":180}]"
patila-kars-usulu,KAHVALTI,3,5,8,Patila,"[{""stepNumber"":1,""instruction"":""Hamuru yoğurup dinlendirin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Bezeleri açın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Patilaları toplam 10 dakika pişirin."",""timerSeconds"":600}]"
patlicanli-kasarli-omlet-bursa-usulu,KAHVALTI,3,5,8,Patlıcanlı Kaşarlı Omlet,"[{""stepNumber"":1,""instruction"":""Köz patlıcanı ince doğrayıp tereyağında 2 dakika çevirin."",""timerSeconds"":120},{""stepNumber"":2,""instruction"":""Yumurta ve sütü çırpıp tavaya alın, kaşarı üzerine serpin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Omleti kapağı kapalı şekilde 4 dakika pişirip sıcak servis edin."",""timerSeconds"":240}]"
pazili-kaygana-rize-usulu,KAHVALTI,3,5,8,Rize Pazılı Kaygana,"[{""stepNumber"":1,""instruction"":""Pazıyı ince kıyıp fazla suyunu sıkın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Yumurta, un ve sütü çırpıp pazıyı ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Karışımı tereyağlı tavada iki yüzünü toplam 8 dakika pişirin."",""timerSeconds"":480}]"
peru-aji-amarillolu-patates-omleti,KAHVALTI,4,5,8,Peru Aji Amarillolu Patates Omleti,"[{""stepNumber"":1,""instruction"":""Haşlanmış patatesleri küp doğrayıp yağlı tavada 5 dakika kızartın."",""timerSeconds"":300},{""stepNumber"":2,""instruction"":""Yumurta, aji amarillo ezmesi, beyaz peynir ve tuzu çırpın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Karışımı patateslerin üzerine döküp tavayı kapatın."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""Kısık ateşte 8-9 dakika omlet sertleşene kadar pişirin."",""timerSeconds"":510}]"
pestil-kavurmasi,KAHVALTI,3,5,8,Pestil Kavurması,"[{""stepNumber"":1,""instruction"":""Pestili küçük parçalara kesin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Tereyağı ve suyla tavaya alın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Ceviz ekleyip 8 dakika çevirin."",""timerSeconds"":480}]"
pestilli-elmali-yulaf-elazig-usulu,KAHVALTI,3,5,8,Elazığ Pestilli Elmalı Yulaf,"[{""stepNumber"":1,""instruction"":""Elmayı küp doğrayın ve pestili dilimleyin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Yulafı suyla 6 dakika pişirin."",""timerSeconds"":360},{""stepNumber"":3,""instruction"":""Elma ve pestili ekleyip 2 dakika daha pişirin."",""timerSeconds"":120}]"
pestilli-sutlu-yulaf-amasya-usulu,KAHVALTI,3,5,8,Amasya Pestilli Sütlü Yulaf,"[{""stepNumber"":1,""instruction"":""Sütü ısıtıp yulafı ekleyin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Karışımı 7 dakika koyulaşana kadar pişirin."",""timerSeconds"":420},{""stepNumber"":3,""instruction"":""Pestil ve tarçın ekleyip ılık servis edin."",""timerSeconds"":null}]"
peynirli-biber-kavurma-edirne-usulu,KAHVALTI,3,5,8,Edirne Peynirli Biber Kavurma,"[{""stepNumber"":1,""instruction"":""Biberleri iri doğrayıp zeytinyağında 6 dakika çevirin."",""timerSeconds"":360},{""stepNumber"":2,""instruction"":""Peyniri ufalayarak ekleyin ve 2 dakika daha karıştırın."",""timerSeconds"":120},{""stepNumber"":3,""instruction"":""Peynirli biber kavurmayı tavadan sıcak servis edin."",""timerSeconds"":null}]"
peynirli-kabak-mucver-tostu-bursa-usulu,KAHVALTI,3,5,8,Peynirli Kabak Mücver Tostu,"[{""stepNumber"":1,""instruction"":""Mücver harcını hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Ekmeğin içine harç ve kaşar yerleştirin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Tostu 8 dakika pişirin."",""timerSeconds"":480}]"
peynirli-kabakli-borek-kocaeli-usulu,KAHVALTI,3,5,8,Peynirli Kabaklı Börek,"[{""stepNumber"":1,""instruction"":""İç harcı hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Katları tepsiye dizin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Böreği 16 dakika pişirin."",""timerSeconds"":960}]"
peynirli-kavrulmus-misir-ekmegi-samsun-usulu,KAHVALTI,3,5,8,Peynirli Kavrulmuş Mısır Ekmeği,"[{""stepNumber"":1,""instruction"":""Ekmeği tavada 4 dakika ısıtın."",""timerSeconds"":240},{""stepNumber"":2,""instruction"":""Peyniri üstüne pay edin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kısa eritirip servis edin."",""timerSeconds"":null}]"
peynirli-manyok-kase-brezilya-usulu,KAHVALTI,3,5,8,Peynirli Manyok Kase,"[{""stepNumber"":1,""instruction"":""Manyoku 12 dakika haşlayın."",""timerSeconds"":720},{""stepNumber"":2,""instruction"":""Peyniri ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Sıcak karıştırıp servis edin."",""timerSeconds"":null}]"
peynirli-misir-ekmegi-balikesir-usulu,KAHVALTI,3,5,8,Peynirli Mısır Ekmeği,"[{""stepNumber"":1,""instruction"":""Hamuru hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Karışımı kalıba dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Ekmeği 22 dakika pişirin."",""timerSeconds"":1320}]"
peynirli-omlet,KAHVALTI,3,5,8,Peynirli Omlet,"[{""stepNumber"":1,""instruction"":""Yumurta, süt ve tuzu çırpın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Tereyağını tavada eritin, yumurtayı dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Peynir ve maydanozu ekleyip kısık ateşte 5-6 dakika pişirin."",""timerSeconds"":360}]"
peynirli-pazili-tava-boregi-balikesir-usulu,KAHVALTI,3,5,8,Peynirli Pazılı Tava Böreği,"[{""stepNumber"":1,""instruction"":""Pazı ve peyniri karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Yufkaları harçla kapatın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Böreği tavada 10 dakika pişirin."",""timerSeconds"":600}]"
peynirli-sikma-mersin-usulu,KAHVALTI,4,5,8,Peynirli Sıkma,"[{""stepNumber"":1,""instruction"":""Un ve suyla hamur yoğurup 20 dakika dinlendirin."",""timerSeconds"":1200},{""stepNumber"":2,""instruction"":""Lor ve kıyılmış maydanozu iç harç olarak karıştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Hamuru ince açıp sacda pişirin, iç koyup dürüm şeklinde sarın."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""Sıkmaları tereyağı sürüp domatesle servis edin."",""timerSeconds"":null}]"
poha,KAHVALTI,3,5,8,Poha,"[{""stepNumber"":1,""instruction"":""Pohayı süzgeçte sudan geçirip 5 dakika dinlendirin."",""timerSeconds"":300},{""stepNumber"":2,""instruction"":""Soğanı ve yer fıstığını tavada 5 dakika çevirin."",""timerSeconds"":300},{""stepNumber"":3,""instruction"":""Poha ve zerdeçalı ekleyip 3 dakika karıştırın, limonla servis edin."",""timerSeconds"":180}]"
poha-peanut-hint-kahvalti-usulu,KAHVALTI,3,5,8,Poha Fıstıklı Kahvaltı,"[{""stepNumber"":1,""instruction"":""Pohayı yıkayıp 5 dakika dinlendirin."",""timerSeconds"":300},{""stepNumber"":2,""instruction"":""Soğan ve fıstığı tavada çevirin."",""timerSeconds"":240},{""stepNumber"":3,""instruction"":""Tüm malzemeyi karıştırıp servis edin."",""timerSeconds"":null}]"
