slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
kazandibi,Kazandibi,Altı karamelize edilmiş sütlü muhallebiyle hazırlanan geleneksel Türk tatlısı.,TATLI,tr,HARD,20,35,55,6,310,Süt 1 litre | Şeker 1 su bardağı | Pirinç unu 3 yemek kaşığı | Nişasta 2 yemek kaşığı | Un 1 yemek kaşığı | Vanilin 1 paket | Tereyağı 1 tatlı kaşığı | Pudra şekeri 2 yemek kaşığı,8,"1. Süt, şeker, pirinç unu, nişasta ve unu tencerede çırpın. || 2. Orta ateşte koyulaşana kadar 15-18 dakika pişirin. || 3. Vanilini ekleyip karıştırın. || 4. Tepsiyi tereyağıyla yağlayın ve pudra şekerini tabana serpin. || 5. Muhallebiyi tepsiye dökün ve kısık ateşte tabanı 8-10 dakika karamelize edin. || 6. Tatlıyı buzdolabında 3 saat soğutun.",6,"SUT,GLUTEN","vejetaryen,misafir-sofrasi",Tepsinin tabanını pudra şekeriyle kaplayıp kontrollü yakın; koyu kahverengi olunca ocaktan alın.,Tarçın serpip rulo yaparak servis edin.
kefirli-ayran,Kefirli Ayran,"Kefir, yoğurt ve naneyle hazırlanan ferah ve ekşimsi ayran.",ICECEK,tr,EASY,5,0,5,4,70,Kefir 2 su bardağı | Yoğurt 1 su bardağı | Soğuk su 1 su bardağı | Kuru nane 1 çay kaşığı | Tuz 0.5 çay kaşığı | Buz 1 su bardağı,6,"1. Kefir, yoğurt, soğuk su ve tuzu blendera alın. || 2. Karışımı 30 saniye çırpın. || 3. Nane ve buz ekleyip hemen servis edin.",3,SUT,"pratik,alkolsuz,vejetaryen",Kefir ve yoğurdu buzdolabından çıkarır çıkarmaz kullanın; içecek daha köpüklü olur.,Izgara köfte veya börek yanında servis edin.
kefta-tagine,Kefta Tagine,"Kefta tagine, domatesli sosta pişen küçük köfteleri tavada yumurta ile tamamlayan Fas ev yemeklerinden biridir.",YEMEK,ma,MEDIUM,20,30,50,4,326,Dana kıyma 500 gr | Domates rendesi 300 ml | Yumurta 2 adet | Kimyon 1 tatlı kaşığı | Maydanoz 0.25 demet,5,1. Kıyma ve kimyonla küçük köfteler hazırlayın. || 2. Domates rendesini tavada 10 dakika pişirin ve köfteleri ekleyin. || 3. Yumurtaları kırıp yemeği 8 dakika daha pişirin ve maydanozla servis edin.,3,YUMURTA,tek-tencere,Köfteleri küçük tutmak sos içinde eşit pişmelerini sağlar.,Yanına maydanoz yaprakları koyarak sıcak servis edin.
kelle-paca-corbasi,Kelle Paça Çorbası,"Uzun süre haşlanmış et suyu, sarımsak ve sirkeyle hazırlanan yoğun geleneksel çorba.",CORBA,tr,HARD,30,180,210,6,310,Kuzu kelle paça eti 1 kg | Su 10 su bardağı | Sarımsak 5 diş | Sirke 4 yemek kaşığı | Limon suyu 2 yemek kaşığı | Tuz 1.5 tatlı kaşığı | Pul biber 1 çay kaşığı,7,"1. Kelle paça etini suyla birlikte 2.5-3 saat haşlayın. || 2. Eti ayıklayıp doğrayın ve süzülmüş haşlama suyuna ekleyin. || 3. Sarımsak, sirke, limon suyu ve tuzla 10 dakika kaynatın.",3,,"kis-tarifi,yuksek-protein",Haşlama suyunu süzün; kemik parçaları ve tortu çorbaya karışmaz.,Sarımsaklı sirke ve limonla sıcak servis edin.
kemalpasa-tatlisi,Kemalpaşa Tatlısı,Bursa'nın peynirli küçük tatlıları sıcak şerbeti çekince süngerimsi ve parlak olur.,TATLI,tr,MEDIUM,25,35,60,8,250,Tuzsuz peynir 250 gr — Hamur için | Un 180 gr — Hamur için | Yumurta 1 adet — Hamur için | Şeker 600 gr | Fındık 50 gr,5,"1. Peynir, un ve yumurtayı yoğurup küçük toplar yapın. || 2. 180°C fırında 20 dakika pişirin. || 3. Şeker ve 700 ml suyla hazırlanan şerbette 15 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA,KUSUYEMIS",vejetaryen,Tatlıları şerbete attıktan sonra tencereyi sallayın; kaşıkla ezmeden şerbeti çeker.,Kaymak veya dövülmüş fındıkla servis edin.
keskul,Keşkül,"Süt, badem ve vanilyayla hazırlanan kokulu Osmanlı tatlısı.",TATLI,tr,EASY,10,20,30,6,260,Süt 1 litre | Şeker 0.75 su bardağı | Badem 0.75 su bardağı | Pirinç unu 3 yemek kaşığı | Vanilin 1 paket,5,"1. Bademi rondoda ince çekin. || 2. Süt, şeker, pirinç unu ve bademi karıştırarak 15-18 dakika pişirin. || 3. Vanilini ekleyip kaselere paylaştırın.",3,"SUT,KUSUYEMIS","vejetaryen,misafir-sofrasi",Bademi ince çekin; tatlıda kumlu doku kalmaz.,File badem ve toz fıstıkla servis edin.
key-lime-pie,Key Lime Pie,"Florida Keys tatlısı lime dolgusu ve bisküvi tabanıyla ekşi, kremamsı ve ferah bir dilim verir.",TATLI,tr,MEDIUM,25,18,43,8,420,Bisküvi 220 gr | Tereyağı 90 gr | Yoğunlaştırılmış süt 400 gr | Yumurta sarısı 4 adet | Lime suyu 120 ml,5,"1. Bisküvi ve tereyağıyla taban hazırlayın. || 2. Süt, yumurta sarısı ve lime suyunu karıştırıp tabana dökün. || 3. 170°C fırında 18 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","yaz-tarifi,vejetaryen",,
khanom-krok,Khanom Krok,"Tay sokak tatlısı khanom krok, pirinç unu ve hindistan cevizi sütüyle küçük tavada kremamsı pişer.",TATLI,th,MEDIUM,25,20,45,6,210,Pirinç unu 180 gr | Hindistan cevizi sütü 450 ml | Şeker 80 gr | Taze soğan 2 dal,4,"1. Pirinç unu, şeker ve hindistan cevizi sütünü karıştırın. || 2. Küçük gözlü tavayı yağlayıp harcı dökün. || 3. Kenarları kızarana kadar 15-20 dakika pişirin.",3,,pratik,,Taze hindistan cevizi parçalarıyla sıcak servis edin.
khao-pad,Khao Pad,Tayland sokaklarında woktan çıkan hızlı kızarmış pilav; lime ve salatalıkla ferahlar.,YEMEK,th,EASY,10,10,20,3,410,Pişmiş pirinç 500 gr | Yumurta 3 adet | Tavuk göğsü 250 gr | Soya sosu 1 yemek kaşığı | Bezelye 100 gr,5,"1. Tavuk parçalarını wokta 5 dakika pişirin. || 2. Yumurtayı ekleyip 1 dakika karıştırın. || 3. Pirinç, bezelye ve soya sosunu ekleyip 4 dakika kavurun.",3,"YUMURTA,SOYA","30-dakika-alti,pratik",Bir gün beklemiş pirinç kullanın; taneler tavada birbirinden ayrılır.,Salatalık dilimleri ve lime ile servis edin.
khao-soi,Khao Soi,"Chiang Mai'nin sarı köri çorbası; tavuk, erişte ve çıtır erişte aynı kasede buluşur.",CORBA,th,MEDIUM,20,30,50,4,560,Tavuk but 600 gr | Yumurtalı erişte 350 gr | Sarı köri macunu 2 yemek kaşığı | Kokos kreması 400 ml | Lime 2 adet,5,"1. Köri macununu yağda 2 dakika kavurun, tavuk ve kokos kremasını ekleyin. || 2. Tavuğu 25 dakika pişirin; erişteyi ayrı tencerede haşlayın. || 3. Kaseye erişte, tavuk ve çorbayı koyup lime ile servis edin.",3,"GLUTEN,YUMURTA",misafir-sofrasi,Eriştenin bir kısmını çıtır üstlük için ayırın; kaseye son anda ekleyin.,"Lime, kırmızı soğan ve turşu hardal yaprağı ile servis edin."
