slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
cullama-kofte-konya-usulu,Konya Cüllama Köftesi,et-yemekleri,YEMEK,tr,0,Kıyma 400 gr | İnce bulgur 1 su bardağı | Kuru soğan 1 adet | Kimyon 0.5 çay kaşığı | Tuz 1 çay kaşığı,1. Bulguru hafif ıslatıp kıyma ve baharatlarla yoğurun. || 2. Köftelere oval şekil verin. || 3. Köfteleri tavada ya da fırında toplam 16 dakika pişirin.,Harcı 8 dakika yoğurmak köftelerin pişerken çatlamadan form tutmasına yardım eder.,Yanına sumaklı soğanla sıcak servis edin.
curau-de-milho,Curau de Milho,tatlilar,TATLI,br,0,Taze mısır 5 koçan | Süt 500 ml | Şeker 100 gr | Tereyağı 20 gr | Tarçın 1 çay kaşığı,1. Mısır tanelerini kesip sütle birlikte blenderdan geçirin. || 2. Karışımı süzüp şeker ve tereyağıyla 15 dakika pişirin. || 3. Tatlıyı kaselere alıp tarçınla servis edin.,Mısır püresini süzmek tatlının daha pürüzsüz kaşık izi vermesini sağlar.,Üzerine tarçın serperek ılık servis edin.
currywurst-sos,Currywurst Sos,soslar-dippler,SOS,hu,0,Domates püresi 300 ml | Köri 2 tatlı kaşığı | Elma sirkesi 2 yemek kaşığı | Esmer şeker 1 yemek kaşığı,"1. Köriyi az yağda 30 saniye kavurun. || 2. Domates püresi, sirke ve şekeri ekleyin. || 3. Sosu 15 dakika kısık ateşte pişirin.",Köriyi yağda 30 saniye kavurun; baharat çiğ kalmaz.,Izgara dana sosis ve fırın patates üzerinde sıcak servis edin.
daiquiri,Daiquiri,kokteyller,KOKTEYL,cu,0,Beyaz rom 60 ml | Misket limonu suyu 25 ml | Şeker şurubu 15 ml | Buz 1 su bardağı,"1. Rom, misket limonu suyu ve şeker şurubunu çalkalayıcıya alın. || 2. Buz ekleyip 12-15 saniye çalkalayın. || 3. Kokteyli soğuk kadehe süzün.",Limon suyunu taze sıkın; şişe limon suyu kokteylin dengesini bozar.,Soğutulmuş kup kadehte servis edin.
dakgalbi,Dakgalbi,tavuk-yemekleri,YEMEK,kr,0,Tavuk but eti 700 gr | Lahana 300 gr | Pirinç keki 250 gr | Gochujang 3 yemek kaşığı | Soya sosu 2 yemek kaşığı,"1. Tavuk, gochujang ve soya sosunu 15 dakika marine edin. || 2. Lahana ve tavuğu geniş tavada 12 dakika pişirin. || 3. Pirinç kekini ekleyip sos tavaya tutunana kadar 8 dakika çevirin.",Tavuk parçalarını eşit kesin; sos karamelize olurken hepsi aynı anda pişer.,Tavanın dibinde kalan sosla pilav çevirebilirsiniz.
dakos,Dakos,aperatifler,APERATIF,gr,0,Arpa peksimeti 2 adet | Domates 2 adet | Feta peyniri 80 gr | Zeytinyağı 2 yemek kaşığı | Kekik 1 çay kaşığı,1. Domatesleri rendeleyip zeytinyağıyla karıştırın. || 2. Peksimetlerin üstüne domatesi yayıp 3 dakika bekletin. || 3. Feta ve kekik serpip servis edin.,Peksimeti tamamen ıslatmayın; domates suyunu çekse de hafif diri kalmalı.,Üzerine kekik serpip soğuk servis edin.
damla-sakizli-sicak-cikolata,Damla Sakızlı Sıcak Çikolata,kahve-sicak-icecekler,ICECEK,tr,0,Süt 400 ml | Bitter çikolata 80 gr | Kakao 1 yemek kaşığı | Damla sakızı 0.25 çay kaşığı | Şeker 1 tatlı kaşığı,1. Sütü tencereye alıp damla sakızı ve şekeri ekleyin. || 2. Çikolata ve kakaoyu ekleyip 6 dakika karıştırarak pişirin. || 3. İçeceği fincanlara alıp bekletmeden servis edin.,Damla sakızını havanda çok ince dövmek içeceğe topaklanmadan dağılmasını sağlar.,Damla sakızı kokusu uçmadan küçük fincanlarda sıcak servis edin.
damla-sakizli-un-kurabiyesi-alacati-usulu,Damla Sakızlı Un Kurabiyesi,tatlilar,TATLI,tr,0,Un 2 su bardağı | Tereyağı 125 gr | Pudra şekeri 0.75 su bardağı | Damla sakızı 1 çimdik,1. Hamuru bir araya getirin. || 2. Kurabiyelere şekil verin. || 3. 18 dakika pişirin.,Hamuru fazla yoğurmamak kurabiyenin dağılgan yapısını korur.,Üstüne ince çekilmiş kakao ve iri kıyılmış Antep fıstığı gezdirip küçük porsiyon tabağında sunun.
damper,Damper,kahvaltiliklar,KAHVALTI,au,0,Un 3 su bardağı | Kabartma tozu 2 çay kaşığı | Süt 1 su bardağı | Tuz 1 çay kaşığı | Tereyağı 40 gr,1. Kuru malzemeleri karıştırıp sütle toparlayın. || 2. Hamura yuvarlak şekil verip üstünü hafifçe çizin. || 3. Damperi 200°C fırında 30 dakika pişirin.,Hamuru fazla yoğurmamak damperin iç dokusunu sertleştirmeden pişirir.,Tereyağı ve reçelle ılık servis edin.
damper-ekmegi-avustralya-usulu,Damper Ekmeği,kahvaltiliklar,KAHVALTI,au,0,Un 3 su bardağı | Süt 1 su bardağı | Kabartma tozu 1 tatlı kaşığı | Tuz 0.5 çay kaşığı,1. Hamuru hazırlayın. || 2. Hamura yuvarlak şekil verin. || 3. Ekmeği 22 dakika pişirin.,Hamuru fazla yoğurmamak damperin kırıntı yapısını hafif tutar.,"Sıcak servis edip yanına bal, kaymak ve tereyağlı simit dilimleri koyun."
