slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
portokalopita,Portokalopita,"Yunan portakallı yufka tatlısı, yoğurtlu harç ve portakal şerbetiyle nemli bir doku alır.",TATLI,gr,Baklava yufkası; Yoğurt; Yumurta; Portakal suyu,"GLUTEN,SUT,YUMURTA",vejetaryen,"Şerbet sıcak, tatlı fırından yeni çıkmışken dökülmeli; her iki taraf da sıcaksa hamur şerbeti hızlı emer.","Oda sıcaklığında, üzerine pudra şekeri serperek servis edin."
pot-au-feu,Pot-au-Feu,"Fransız pot-au-feu, dana eti ve kök sebzeleri berrak et suyunda ağır ağır yumuşatır.",YEMEK,fr,Dana incik; Havuç; Pırasa; Kereviz sapı,KEREVIZ,tek-tencere,,"Et suyunu ayrı kasede, et ve sebzeleri tabakta servis edin."
pozole-rojo,Pozole Rojo,"Meksika'nın kırmızı biberli mısır çorbası, uzun pişmiş et ve taze garnitürlerle kaseye gelir.",CORBA,mx,Dana eti; Haşlanmış iri mısır; Kuru acı biber; Sarımsak; Marul,,tek-tencere,Mısırı et suyunda en az 1 saat pişirin; taneler açılıp yumuşar.,"Turp, marul ve lime ile servis edin."
profiterol,Profiterol,Şu hamuru toplarının krema ve çikolata sosuyla buluştuğu klasik pastane tatlısı.,TATLI,tr,Un; Su; Tereyağı; Yumurta; Süt; Şeker; Çikolata,"GLUTEN,SUT,YUMURTA","vejetaryen,misafir-sofrasi",Hamuru fırındayken kapağı açmayın; toplar sönmeden kabarır.,Çikolata sosu soğuyunca servis edin.
pulled-pork-sandvic,Pulled Pork Sandviç,"Amerikan barbekü klasiğinde uzun pişen didiklenmiş et, soslu ve lahana salatalı sandviçe dönüşür.",APERATIF,us,Dana döş; Barbekü sos; Sandviç ekmeği; Coleslaw,GLUTEN,misafir-sofrasi,,
pupusa,Pupusa,El Salvador pupusası mısır hamurunun içinde peynir ve fasulyeyle tavada pişen kalın bir gözlemedir.,YEMEK,cn,Masa harina; Kaşar peyniri; Haşlanmış fasulye; Su,SUT,vejetaryen,,
pyttipanna,Pyttipanna,"Pyttipanna, patates, soğan ve et küplerini tavada kızartan pratik bir İsveç ev yemeğidir.",YEMEK,se,Patates; Dana eti; Soğan; Yumurta,YUMURTA,yuksek-protein,Patatesleri küçük küp kesin; iri parçalar etten geç kızarır.,Turşu pancar ve sahanda yumurta ile servis edin.
pyttipanna-med-agg,Pyttipanna med Ägg,"Küp patates, soğan ve etin tavada birlikte çevrildiği Pyttipanna, İskandinav ev mutfağının artanları güzel kullanma yoludur.",YEMEK,se,Haşlanmış patates; Dana eti; Soğan; Yumurta,YUMURTA,pratik,Patatesi ayrı tavada renk aldırıp birleştirirseniz lapa olmaz.,Üstüne sahanda yumurta ve turşu pancarla servis edin.
queijadinha,Queijadinha,"Hindistan cevizli Brezilya tatlısı queijadinha, küçük kalıplarda pişen yumuşak içli bir fırın tatlısıdır.",TATLI,br,Hindistan cevizi; Yoğunlaştırılmış süt; Yumurta; Rendelenmiş parmesan,"SUT,YUMURTA",misafir-sofrasi,Karışımı kalıba doldururken üstte 1 cm boşluk bırakın; pişerken hafif kabarır.,Ilıkken sade kahveyle birlikte servis edin.
quiche-lorraine,Quiche Lorraine,"Lorraine bölgesinin tereyağlı tart hamuru, yumurtalı krema ve dana pastırmasıyla fırınlanır.",YEMEK,fr,Un; Tereyağı; Yumurta; Krema; Dana pastırması,"GLUTEN,SUT,YUMURTA","firinda,misafir-sofrasi",Hamuru ön pişirin; krema dolgusu tabanı ıslatmaz.,Yeşil salatayla ılık servis edin.
