slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
kaygana-rize-usulu,Rize Kayganası,"Rize kayganası, yumurtalı ince hamurun tavada kısa sürede pişirilip kahvaltıya sıcak taşındığı Karadeniz usulü sade bir sabah tabağıdır.",KAHVALTI,tr,EASY,8,10,18,4,214,Un 180 gr | Yumurta 2 adet | Süt 220 ml | Tereyağı 20 gr | Tuz 0.5 çay kaşığı | Tulum peyniri 80 gr,6,"1. Un, yumurta, süt ve tuzu pürüzsüz bir hamur olana kadar çırpın. || 2. Tereyağını tavada eritip hamurun yarısını ince tabaka halinde yayın. || 3. Kayganayı iki yüzü renk alana kadar toplam 8 dakika pişirin. || 4. Kalan hamuru aynı şekilde pişirip tulum peyniriyle servis edin.",4,"GLUTEN,YUMURTA,SUT","30-dakika-alti,vejetaryen",Hamuru tavaya dökmeden hemen önce yeniden çırpmak unun dipte kalmasını önler.,Yanına tulum peyniri ve çay ile sıcak servis edin.,Rize Kayganasi,"From the Black Sea coast, Rize kayganasi cooks a thin egg batter in the pan for a quick, warm breakfast flatcake.",,,0,0,Rize Kayganası,Rize Kayganası von der Schwarzmeerküste backt einen dünnen Eier-Teig in der Pfanne zu einem schnellen warmen Frühstücksfladen.,,,0,0
tokat-cemeni,Tokat Çemeni,"Tokat çemeni, ceviz ve salçayı baharatla ezerek kahvaltı sofrasına taşıyan, ekmeğe sürülen güçlü aromalı bir Tokat mezesidir.",KAHVALTI,tr,EASY,10,0,10,6,142,Domates salçası 3 yemek kaşığı | Ceviz 0.75 su bardağı | Sarımsak 2 diş | Kimyon 0.5 çay kaşığı | Zeytinyağı 2 yemek kaşığı | Köy ekmeği 6 dilim,6,"1. Cevizi rondoda iri kalacak şekilde çekin. || 2. Salça, sarımsak, kimyon ve zeytinyağını cevizle karıştırın. || 3. Tokat çemenini 10 dakika dinlendirip köy ekmeğiyle servis edin.",3,"GLUTEN,KUSUYEMIS","30-dakika-alti,vegan",Cevizi fazla çekmeden bırakmak çemenin ekmek üstünde daha canlı doku vermesini sağlar.,Yanına kızarmış köy ekmeği ile serin servis edin.,Tokat Cemen,"Tokat cemen blends tomato paste, walnuts, and spices into a bold breakfast spread made for warm village bread.",,,0,0,Tokat Çemeni,"Tokat Çemeni verbindet Tomatenmark, Walnüsse und Gewürze zu einem kräftigen Frühstücksaufstrich für warmes Landbrot.",,,0,0
yumurtali-ekmek-kapadokya-usulu,Kapadokya Usulü Yumurtalı Ekmek,"Kapadokya usulü yumurtalı ekmek, bayat köy ekmeğini sütlü yumurtaya bulayıp tavada kızartan tok ve ev tipi bir sabah klasiğidir.",KAHVALTI,tr,EASY,8,10,18,4,238,Bayat köy ekmeği 8 dilim | Yumurta 3 adet | Süt 120 ml | Tereyağı 25 gr | Tuz 0.5 çay kaşığı | Kekik 0.5 çay kaşığı,6,"1. Yumurta, süt ve tuzu çırpıp sığ bir kaba alın. || 2. Ekmek dilimlerini karışıma batırıp iki yüzünü ıslatın. || 3. Tereyağlı tavada ekmekleri iki yüzü kızarana kadar toplam 8 dakika pişirin. || 4. Yumurtalı ekmeği kekik serperek sıcak servis edin.",4,"GLUTEN,YUMURTA,SUT","30-dakika-alti,vejetaryen",Ekmeği karışımda uzun bekletmemek tavada dağılmadan kızarmasını sağlar.,Üzerine az kekik serperek sıcak servis edin.,Cappadocia-Style French Toast,"This Cappadocia-style savory French toast coats village bread in egg and milk, then fries it until crisp at the edges.",,,0,0,Herzhaftes Arme-Ritter-Brot aus Kappadokien,Diese herzhafte Variante aus Kappadokien taucht Landbrot in Ei und Milch und brät es mit knusprigen Rändern aus.,,,0,0
zeytinli-yaglama-ayvalik-usulu,Ayvalık Zeytinli Yağlama,"Ayvalık usulü zeytinli yağlama, sıcak ekmek üstüne zeytin ezmesi ve domates yerleştirerek Ege kahvaltısına hızlı ama karakterli bir tabak kurar.",KAHVALTI,tr,EASY,10,5,15,4,196,Köy ekmeği 8 dilim | Siyah zeytin ezmesi 4 yemek kaşığı | Domates 2 adet | Zeytinyağı 2 yemek kaşığı | Nane 8 yaprak,5,1. Köy ekmeği dilimlerini tavada ya da tost makinesinde hafif kızartın. || 2. Ekmeklerin üstüne zeytin ezmesi sürüp domates dilimleri yerleştirin. || 3. Zeytinyağı gezdirip nane ile ılık servis edin.,3,GLUTEN,"30-dakika-alti,vegan",Ekmeği hafif kızartmak zeytin ezmesinin yüzeyde canlı kalmasını sağlar.,Üzerine taze nane yaprakları koyarak ılık servis edin.,Ayvalik Olive Toast,"An Aegean breakfast plate, Ayvalik-style olive toast layers warm bread with olive paste and fresh tomato.",,,0,0,Ayvalık-Olivenbrot,Ein ägäischer Frühstücksteller: Ayvalık-Olivenbrot belegt warmes Brot mit Olivenpaste und frischer Tomate.,,,0,0
kesme-kete-erzincan-firin,Erzincan Kesme Kete,"Erzincan kesme kete, yağlı katları ve fırında kızaran ince dilimleriyle çay saatine de kahvaltıya da çıkan geleneksel bir hamur işidir.",YEMEK,tr,MEDIUM,35,30,65,10,244,Un 500 gr — Hamur için | Süt 220 ml — Hamur için | Instant maya 1 paket — Hamur için | Tereyağı 100 gr — Katlar için | Yumurta 1 adet — Üzeri için | Tuz 1 çay kaşığı — Hamur için,6,"1. Un, süt, maya ve tuzla yumuşak bir hamur yoğurup 30 dakika mayalandırın. || 2. Hamuru açıp eritilmiş tereyağını sürerek rulo yapın. || 3. Ruloyu dilimleyip tepsiye dizin ve üstüne yumurta sürün. || 4. Kesme keteyi 190°C fırında 25 dakika pişirin.",4,"GLUTEN,SUT,YUMURTA","misafir-sofrasi,vejetaryen",Hamuru rulo yaptıktan sonra 10 dakika dinlendirmek dilimlerin fırında daha düzgün açılmasını sağlar.,Dilimleyip çay yanında ılık servis edin.,Erzincan Kesme Kete,"From Erzincan, this sliced kete bakes buttery layers into crisp-edged rounds served with tea or breakfast.",,,0,0,Erzincan Kesme Kete,"Aus Erzincan kommt diese geschnittene Kete, deren buttrige Schichten zu knusprigen Runden für Tee oder Frühstück backen.",,,0,0
silor-ardahan-usulu,Ardahan Silor,"Ardahan siloru, fırınlanmış yufka rulolarını sarımsaklı yoğurt ve tereyağlı sosla yumuşatarak sofraya taşıyan Kuzeydoğu Anadolu işidir.",YEMEK,tr,MEDIUM,25,20,45,6,256,Yufka 4 adet | Yoğurt 300 gr | Sarımsak 2 diş | Tereyağı 30 gr | Pul biber 1 çay kaşığı,5,1. Yufkaları rulo yapıp parmak kalınlığında kesin ve tepsiye dizin. || 2. Siloru 190°C fırında 12 dakika kurutup hafif kızartın. || 3. Yoğurt ve sarımsağı karıştırıp sıcak yufkaların üstüne dökün. || 4. Tereyağı ve pul biberi kızdırıp silorun üstüne gezdirin.,4,"GLUTEN,SUT","misafir-sofrasi,vejetaryen",Yufkaları kurutup sonra ısıtmak sosu verdiğinizde formunu tamamen kaybetmemesini sağlar.,Üzerine pul biberli tereyağı gezdirerek sıcak servis edin.,Ardahan Silor,Ardahan silor softens baked rolls of flatbread with garlicky yogurt and butter sauce for a hearty northeastern Anatolian plate.,,,0,0,Ardahan Silor,Ardahan Silor macht gebackene Fladenbrotrollen mit Knoblauchjoghurt und Buttersoße zu einem kräftigen Teller aus Nordostanatolien weich.,,,0,0
susamli-katikli-corek,Susamlı Katıklı Çörek,"Susamlı katıklı çörek, yoğurtlu hamuru ve bol susamlı yüzeyiyle özellikle İç Anadolu kahvaltılarında sevilen tok bir fırın işidir.",YEMEK,tr,MEDIUM,25,25,50,8,228,Un 450 gr | Yoğurt 200 gr | Ayçiçek yağı 3 yemek kaşığı | Kabartma tozu 1 paket | Susam 3 yemek kaşığı | Tuz 1 çay kaşığı | Beyaz peynir 120 gr,7,"1. Un, yoğurt, ayçiçek yağı, kabartma tozu ve tuzu yoğurup hamur hazırlayın. || 2. Hamura çörek formu verip üstüne susam serpin. || 3. Çöreği 190°C fırında 22 dakika pişirin. || 4. Susamlı katıklı çöreği beyaz peynirle servis edin.",4,"GLUTEN,SUT,SUSAM","misafir-sofrasi,vejetaryen",Hamuru fazla sertleştirmemek çöreğin ertesi gün bile yumuşak kalmasına yardım eder.,Dilimleyip beyaz peynirle ılık servis edin.,Sesame Katikli Corek,This central Anatolian bake uses yogurt in the dough and a generous sesame topping for a sturdy breakfast loaf.,,,0,0,Katıklı Sesamfladen,Dieses Gebäck aus Zentralanatolien arbeitet Joghurt in den Teig ein und trägt reichlich Sesam für ein kräftiges Frühstücksbrot.,,,0,0
cevizli-biberli-dip-antep-usulu,Antep Usulü Cevizli Biberli Dip,"Antep usulü cevizli biberli dip, köz biberi ceviz ve sarımsakla ezerek meze tabağına sürülebilir yoğun bir lezzet taşır.",SOS,tr,EASY,12,10,22,6,154,Kırmızı kapya biber 3 adet | Ceviz 0.75 su bardağı | Sarımsak 2 diş | Zeytinyağı 2 yemek kaşığı | Kimyon 0.5 çay kaşığı | Lavaş 4 adet,6,"1. Kapya biberleri közleyip kabuklarını soyun. || 2. Biber, ceviz, sarımsak, zeytinyağı ve kimyonu çekin. || 3. Dipi 10 dakika dinlendirip lavaşla servis edin.",3,"KUSUYEMIS,GLUTEN","vegan,misafir-sofrasi",Biberin suyunu süzmek dipin ekmek üstünde daha tok durmasını sağlar.,Yanına lavaş ile serin servis edin.,Antep Walnut Pepper Dip,"This Antep-style dip crushes roasted peppers with walnuts and garlic into a dense, spreadable meze.",,,0,0,Walnuss-Paprika-Dip aus Antep,Dieser Dip nach Antep-Art zerdrückt geröstete Paprika mit Walnüssen und Knoblauch zu einer dichten streichfähigen Mezze.,,,0,0
sumakli-kuru-cacik-gaziantep-usulu,Gaziantep Sumaklı Kuru Cacık,"Gaziantep usulü sumaklı kuru cacık, süzme yoğurt ve kuru nane tabanını sumak ekşiliğiyle açarak meze tabağında serin bir ara sunar.",APERATIF,tr,EASY,8,0,8,4,98,Süzme yoğurt 300 gr | Zeytinyağı 2 yemek kaşığı | Sumak 1 tatlı kaşığı | Kuru nane 1 çay kaşığı | Tuz 0.5 çay kaşığı,5,1. Süzme yoğurt ve tuzu pürüzsüz olana kadar çırpın. || 2. Sumak ve kuru naneyi yoğurda ekleyip karıştırın. || 3. Zeytinyağı gezdirip kuru cacığı soğuk servis edin.,3,SUT,"30-dakika-alti,vejetaryen",Yoğurdu servis öncesi kısa çırpmak kuru cacığın kaşıkta daha düzgün durmasını sağlar.,Üzerine zeytinyağı gezdirip soğuk servis edin.,Sumac Kuru Cacik,This Gaziantep-style kuru cacik loosens strained yogurt with sumac and dried mint into a cool meze.,,,0,0,Kuru Cacık mit Sumach,Dieser Kuru Cacık nach Gaziantep-Art lockert abgetropften Joghurt mit Sumach und getrockneter Minze zu einer kühlen Mezze.,,,0,0
kavrulmus-patlican-salatasi-urfa-usulu,Urfa Usulü Kavrulmuş Patlıcan Salatası,"Urfa usulü kavrulmuş patlıcan salatası, köz patlıcanı domates ve biberle kısa kavurarak hem sıcak hem ılık yenebilen bir Güneydoğu salatası kurar.",SALATA,tr,EASY,15,12,27,4,104,Patlıcan 3 adet | Domates 2 adet | Yeşil biber 2 adet | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı | Lavaş 4 adet,6,1. Patlıcanları közleyip kabuklarını soyun ve iri doğrayın. || 2. Domates ve biberi zeytinyağında 5 dakika çevirin. || 3. Patlıcan ve tuzu ekleyip salatayı 4 dakika daha kavurun. || 4. Kavrulmuş patlıcan salatasını lavaşla ılık servis edin.,4,GLUTEN,"vegan,misafir-sofrasi",Patlıcanı bıçakla iri doğramak tavada ezilip püreleşmesini önler.,Yanına ince lavaşla ılık servis edin.,Urfa Roasted Eggplant Salad,This Urfa-style salad briefly sautés roasted eggplant with tomato and peppers for a warm southeastern side.,,,0,0,Gerösteter Auberginensalat aus Urfa,Dieser Salat aus Urfa schwenkt geröstete Auberginen kurz mit Tomate und Paprika zu einer warmen südostanatolischen Beilage.,,,0,0
