slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
batido-de-mamey-kuba-usulu,Batido de Mamey,smoothie-shake,ICECEK,cu,0,Mamey püresi 1 su bardağı | Süt 1.5 su bardağı | Bal 1 tatlı kaşığı | Buz 1 su bardağı,1. Tüm malzemeyi blendera alın. || 2. Pürüzsüz olana kadar çekin. || 3. İçeceği hemen servis edin.,Meyveyi önceden soğutmak içeceğin daha ipeksi olmasına yardım eder.,"Şeffaf sürahide sunmak içeceğin rengini öne çıkarır, bardakları yanına ayrı dizin."
batirik,Batırık,salatalar,SALATA,tr,0,İnce bulgur 2 su bardağı | Tahin 4 yemek kaşığı | Domates 3 adet | Maydanoz 1 demet,"1. Bulguru sıcak suyla 20 dakika dinlendirin. || 2. Tahin, domates ve baharatla yoğurun. || 3. Yeşillikleri ekleyip köfte biçiminde servis edin.","Pirinci pişmeden önce ılık tuzlu suda 20 dakika bekletmek taneleri ayrıştırır, pilav dağılmaz.","Yanına cacık ve közlenmiş biber, üstüne tereyağında kavrulmuş fıstıkla tabakta verin."
bazlama,Bazlama,kahvaltiliklar,KAHVALTI,tr,0,Un 4 su bardağı | Ilık su 1.5 su bardağı | Kuru maya 1 tatlı kaşığı | Şeker 1 tatlı kaşığı | Tuz 1 tatlı kaşığı,"1. Un, ılık su, maya, şeker ve tuzu 8 dakika yoğurun. || 2. Hamuru 35 dakika mayalandırıp 6 bezeye ayırın. || 3. Bezeleri tavada iki yüzü kızarana kadar toplam 5-6 dakika pişirin.",Bezeleri tavaya almadan önce 15 dakika dinlendirin; bazlama daha kabarık olur.,"Tereyağı, bal veya peynirle sıcak servis edin."
beef-chow-fun,Beef Chow Fun,makarna-pilav,YEMEK,cn,0,Geniş pirinç eriştesi 500 gr | Dana eti 400 gr | Soya sosu 4 yemek kaşığı | Maş fasulyesi filizi 150 gr,"1. Dana etini ince dilimleyin. || 2. Eti wokta 4 dakika pişirin. || 3. Erişte, filiz ve soya sosunu ekleyip 5 dakika çevirin.",Woku dumanlı kızgın yapın; erişteler tavaya yapışmadan tek seferde çevirirseniz isli wok aroması oluşur.,Hemen servis edin; bekledikçe erişte yumuşar.
beef-stroganoff-klasik,Beef Stroganoff Klasik,et-yemekleri,YEMEK,tr,0,Dana bonfile 600 gr | Mantar 300 gr | Ekşi krema 200 gr | Soğan 1 adet,1. Dana etini ince şerit doğrayıp 5 dakika mühürleyin. || 2. Mantar ve soğanı ekleyip 10 dakika pişirin. || 3. Ekşi kremayı ekleyip 5 dakika daha pişirin.,Kemikli et kullanıyorsanız kemiği önce yalayıp kavurmak et suyunu derinleştirir.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
bees-knees,Bee's Knees,kokteyller,KOKTEYL,us,0,Cin 60 ml | Limon suyu 25 ml | Bal şurubu 20 ml | Buz 1 su bardağı,"1. Cin, limon suyu ve bal şurubunu shakera alın. || 2. Buzla 12 saniye çalkalayın. || 3. Soğuk bardağa süzün.",Balı aynı miktarda sıcak suyla açın; doğrudan bal shakerda topaklanır.,Limon kabuğu aroması sıkılmış coupe bardakta servis edin.
beetroot-burger-avustralya-usulu,Beetroot Burger,et-yemekleri,YEMEK,au,0,Burger ekmeği 4 adet | Dana kıyma 500 gr | Pancar dilimi 8 adet | Marul 4 yaprak | Tuz 0.75 çay kaşığı,1. Kıymayı köfte şekline getirip tuzlayın. || 2. Köfteleri toplam 8 dakika pişirin. || 3. Ekmeği marul ve pancarla kapatıp servis edin.,Pancarı çok kalın kesmemek dengeyi korur.,Yanına sıcak ekmek ve bir kase turşu iliştirip geleneksel tabağa dönüştürün.
beetroot-feta-fritter-avustralya-usulu,Avustralya Beetroot Feta Fritter,kahvaltiliklar,KAHVALTI,au,0,Pancar 2 adet | Feta peyniri 100 gr | Un 0.75 su bardağı | Yumurta 2 adet | Zeytinyağı 1 yemek kaşığı,1. Pancarı rendeleyip suyunu sıkın. || 2. Tüm malzemeyi karıştırın. || 3. Harçtan kaşıkla alıp tavada 8 dakika pişirin.,Pancarı sıkmak fritterların tavada dağılmasını azaltır.,"Sahan tabakta, yanına taze kıyılmış nane ve bir kase zeytinyağlı yoğurtla verin."
beetroot-relish-burger-avustralya-usulu,Beetroot Relish Burger,hamur-isleri,YEMEK,au,0,Burger ekmeği 4 adet | Dana kıyma 500 gr | Pancar relish 4 yemek kaşığı | Cheddar peyniri 4 dilim | Marul 4 yaprak,1. Köfteleri şekillendirin. || 2. Köfteleri toplam 10 dakika pişirin. || 3. Burgerleri birleştirip servis edin.,Relishi kalın bırakmak burger içinde akmadan belirgin kalmasını sağlar.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
beghrir,Beghrir,kahvaltiliklar,KAHVALTI,ma,0,İrmik 1 su bardağı | Un 1 su bardağı | Maya 1 çay kaşığı | Su 2 su bardağı | Bal 3 yemek kaşığı,"1. İrmik, un, maya ve suyu blenderdan geçirip 15 dakika dinlendirin. || 2. Hamurdan tavaya kepçe döküp tek yüzünü pişirin. || 3. Tüm pankekleri hazırlayıp balla servis edin.",Hamur yüzeyde kabarcıklar veriyorsa tava sıcaklığı doğru demektir; çevirmeden pişirin.,Üzerine eritilmiş tereyağı ve bal gezdirerek servis edin.
