slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
gaziantep-siveydiz,Gaziantep Şiveydiz,"Gaziantep bahar sofralarında taze sarımsak, kuzu eti ve yoğurt aynı tencerede buluşur.",YEMEK,tr,MEDIUM,25,60,85,6,330,Kuzu kuşbaşı 600 gr | Taze sarımsak 500 gr | Nohut 1 su bardağı | Yoğurt 600 gr | Yumurta 1 adet,5,1. Kuzu eti ve nohudu 45 dakika pişirin. || 2. Taze sarımsağı ekleyip 15 dakika pişirin. || 3. Yoğurt ve yumurtayı çırpıp yemeğe ekleyin.,3,"SUT,YUMURTA",misafir-sofrasi,Yoğurdu yemeğe eklerken tencereden sıcak suyla ılıtın; pürüzsüz kıvam korunur.,Tereyağlı nane ile servis edin.,Gaziantep Şiveydiz,"A spring dish from Gaziantep that cooks lamb, fresh garlic, chickpeas, and yogurt into a tangy, silky seasonal pot.",,,0,0,Gaziantep Şiveydiz,"Ein Fruehjahrsgericht aus Gaziantep, bei dem man Lamm, jungen Knoblauch, Kichererbsen und Joghurt saeuerlich und seidig kocht.",,,0,0
malatya-kayisi-dolmasi,Malatya Kayısı Dolması,"Malatya'nın gün kurusu kayısıları cevizle doldurulur, tereyağlı şerbette parıldar.",TATLI,tr,EASY,20,15,35,6,240,Gün kurusu kayısı 400 gr | Ceviz 150 gr | Tereyağı 60 gr | Şeker 120 gr | Kaymak 150 gr,5,"1. Kayısıları sıcak suda 10 dakika bekletin. || 2. Cevizle doldurup tencereye dizin. || 3. Tereyağı, şeker ve 200 ml suyla 15 dakika pişirin.",3,"SUT,KUSUYEMIS",vejetaryen,Kayısıları sıcak suda 10 dakika bekletin; doldururken yırtılmaz.,Kaymakla servis edin.,Malatya Kayısı Dolması,"Malatya’s prized dried apricots are filled with walnuts and glazed in buttery syrup, then often finished with cool kaymak.",,,0,0,Malatya Kayısı Dolması,"Malatyas geschätzte Trockenaprikosen werden mit Walnüssen gefüllt, in buttrigem Sirup gegart und gern mit Kaymak serviert.",,,0,0
mardin-ikbebet,Mardin İkbebet,Mardin mutfağında haşlanarak servis edilen içli köfte; baharatlı kıyma ince bulgur kabuğunda saklanır.,YEMEK,tr,HARD,60,25,85,6,380,İnce bulgur 500 gr | Dana kıyma 400 gr | Soğan 2 adet | Yoğurt 2 su bardağı | Kimyon 1 çay kaşığı,5,1. Bulguru sıcak suyla 20 dakika dinlendirin. || 2. Kıyma ve soğanı 10 dakika kavurup iç hazırlayın. || 3. Köfteleri doldurup kaynar suda 15 dakika haşlayın.,3,"GLUTEN,SUT",misafir-sofrasi,Bulgur hamurunu avuç içinde ince açın; haşlama sırasında çatlama azalır.,Sarımsaklı yoğurtla servis edin.,Mardin İkbebet,"A Mardin-style boiled İçli Köfte, where a fine bulgur shell hides spiced minced meat and is served hot with yogurt.",,,0,0,Mardin İkbebet,"Eine gekochte İçli-Köfte-Variante aus Mardin, bei der eine feine Bulgurschale würziges Hackfleisch birgt und heiß mit Joghurt serviert wird.",,,0,0
karadeniz-hamsi-kayganasi,Karadeniz Hamsi Kayganası,"Karadeniz tavalarında hamsi, mısır unu ve yumurtayla kahvaltılık çıtır bir kaygana olur.",KAHVALTI,tr,MEDIUM,20,12,32,4,290,Hamsi 500 gr | Masa harina 80 gr | Yumurta 3 adet | Maydanoz 0.5 demet | Limon 1 adet,5,"1. Hamsileri ayıklayıp doğrayın. || 2. Yumurta, masa harina ve maydanozla karıştırın. || 3. Yağlı tavada iki yüzünü 6 dakika pişirin.",3,"DENIZ_URUNLERI,YUMURTA",yuksek-protein,Hamsileri kılçıksız ayıklayın; kaygana dilimlenirken dağılmaz.,Roka ve limonla servis edin.,Karadeniz Hamsi Kayganası,"A Black Sea pan dish that mixes anchovy with egg and cornmeal, then cooks it into a crisp, savory breakfast round with lemon on the side.",,,0,0,Karadeniz Hamsi Kayganası,"Ein Schwarzmeer-Pfannengericht, bei dem man Sardellen mit Ei und Maismehl zu einem herzhaften, knusprigen Frühstücksfladen ausbackt.",,,0,0
hasir-kunefe,Hasır Künefe,"Hatay künefe tepsilerinde kadayıf ince hasır gibi örülür, peynir eriyince uzayan bir katman verir.",TATLI,tr,HARD,35,25,60,8,430,Tel kadayıf 500 gr | Künefe peyniri 350 gr | Tereyağı 180 gr | Şeker 500 gr | Antep fıstığı 80 gr,5,"1. Kadayıfı tereyağıyla harmanlayıp tepsiye bastırın. || 2. Peyniri yerleştirip üstünü kadayıfla kapatın. || 3. Ocakta çevirerek 25 dakika pişirin, sıcak şerbetle buluşturun.",3,"GLUTEN,SUT,KUSUYEMIS","misafir-sofrasi,vejetaryen",Kadayıfı tepsiye ince ve eşit bastırın; alt yüzey tek parça kızarır.,Antep fıstığı ve kaymakla servis edin.,Künefe,"A Hatay-style künefe that weaves kadayif like a thin mat around melty cheese, then finishes it with hot syrup and pistachio.",,,0,0,Künefe,"Eine Kuenefe aus Hatay-Art, bei der man Kadayif wie eine feine Matte um schmelzenden Kaese legt und mit heissem Sirup vollendet.",,,0,0
siirt-buryan-kebabi,Siirt Büryan Kebabı,Siirt'te kuzu eti kuyuda uzun pişer; ev versiyonunda kapalı fırın kabı aynı sade lezzeti yakalar.,YEMEK,tr,HARD,20,180,200,6,510,Kemikli kuzu eti 1.5 kg | Tuz 1 tatlı kaşığı | Karabiber 1 çay kaşığı | Tandır ekmeği 3 adet,4,1. Kuzu etini tuz ve karabiberle ovun. || 2. Kapalı fırın kabında 160°C fırında 3 saat pişirin. || 3. Et suyunu ekmeğe gezdirip eti üzerinde servis edin.,3,GLUTEN,"misafir-sofrasi,yuksek-protein",Eti kemikli kullanın; uzun pişirme sırasında suyuna daha dolgun lezzet geçer.,Tandır ekmeği ve sumaklı soğanla servis edin.,Siirt Büryan Kebabı,"A Siirt lamb roast inspired by pit-cooked büryan, slow-baked until the meat softens and the bread catches the juices.",,,0,0,Siirt Büryan Kebabı,"Ein Lammgericht aus Siirt, vom Gruben-Büryan inspiriert, langsam gebacken bis das Fleisch weich wird und das Brot den Saft aufnimmt.",,,0,0
pho-bo,Pho Bo,"Hanoi sabahlarının anason kokulu et suyu, pirinç eriştesi ve ince dana dilimleriyle kaselere dolar.",CORBA,vn,HARD,30,180,210,6,420,Dana kemikli et 1.2 kg | Pirinç eriştesi 400 gr | Dana bonfile 300 gr | Soğan 2 adet | Yıldız anason 3 adet | Soya sosu 2 yemek kaşığı,6,"1. Kemikli eti soğan ve yıldız anasonla 3 saat kısık ateşte kaynatın. || 2. Pirinç eriştesini sıcak suda 8 dakika bekletip süzün. || 3. Erişteyi kaseye alın, ince dana dilimlerini ekleyip kaynar et suyunu üzerine dökün.",3,SOYA,"misafir-sofrasi,yuksek-protein",Et suyunu düşük ateşte kaynatın; yüzeyde biriken köpüğü aldığınızda çorba daha berrak olur.,"Taze kişniş, misket limonu ve acı biberle servis edin.",Pho Bo,"Hanoi’s beef noodle soup builds an aromatic broth with star anise, then fills the bowl with rice noodles and thin beef slices.",,,0,0,Pho Bo,Hanois Rindfleisch-Nudelsuppe kocht eine aromatische Brühe mit Sternanis und füllt die Schale mit Reisnudeln und dünnem Rindfleisch.,,,0,0
pho-ga,Pho Ga,"Vietnam tavuk suyunun zencefil ve baharatla açılan hafif hali, pirinç eriştesini sade bir kaseye taşır.",CORBA,vn,MEDIUM,25,90,115,6,340,Bütün tavuk 1 adet | Pirinç eriştesi 350 gr | Zencefil 30 gr | Soğan 1 adet | Soya sosu 2 yemek kaşığı,5,"1. Tavuğu soğan ve zencefille 90 dakika haşlayın. || 2. Tavuk etini didikleyin, suyu süzgeçten geçirin. || 3. Pirinç eriştesi ve tavuk etini kaseye alıp sıcak tavuk suyuyla tamamlayın.",3,SOYA,yuksek-protein,Tavuğu bütün haşlayın; göğüs eti servis için didiklenirken kemikler suya lezzet verir.,"Fesleğen, taze soğan ve limonla servis edin.",Pho Ga,"A lighter Vietnamese chicken pho with ginger-scented broth and rice noodles, clean, soothing, and full of gentle warmth.",,,0,0,Pho Ga,"Eine leichtere vietnamesische Hühner-Pho mit ingwerduftender Brühe und Reisnudeln, klar, beruhigend und sanft wärmend.",,,0,0
banh-mi,Banh Mi,"Saygon fırınlarından çıkan çıtır baget, salamura sebze ve aromalı etle canlı bir sandviçe dönüşür.",APERATIF,vn,MEDIUM,35,15,50,4,560,Baget ekmek 4 adet | Dana antrikot 400 gr | Havuç 2 adet | Turp 1 adet | Mayonez 4 yemek kaşığı | Soya sosu 2 yemek kaşığı | Tuz 1 çay kaşığı | Sirke 2 yemek kaşığı | Şeker 1 tatlı kaşığı | Kişniş 0.5 demet,10,"1. Havuç ve turpu sirke, tuz ve şekerle 30 dakika dinlendirin. || 2. Dana etini soya sosuyla marine edip tavada 8 dakika pişirin. || 3. Bagetleri mayonez, et, salamura sebze ve kişnişle doldurun.",3,"GLUTEN,SOYA,YUMURTA",misafir-sofrasi,Havuç ve turpu sirkede en az 30 dakika bekletin; sandviçin yağlı dokusunu dengeler.,Taze kişniş ve ince jalapeno dilimleriyle servis edin.,Bánh Mì,"A Saigon street sandwich that stuffs a crisp baguette with marinated beef, pickled vegetables, mayo, and cilantro for a sharp, layered crunch.",,,0,0,Bánh Mì,"Ein Straßensandwich aus Saigon, bei dem man ein knuspriges Baguette mit mariniertem Rind, eingelegtem Gemüse, Mayonnaise und Koriander füllt.",,,0,0
goi-cuon,Goi Cuon,"Vietnam taze sarmaları pirinç kağıdında karides, otlar ve erişteyi hafif bir lokmada toplar.",SALATA,vn,MEDIUM,35,5,40,4,190,Pirinç kağıdı 12 adet | Karides 300 gr | Pirinç eriştesi 120 gr | Marul 8 yaprak | Yer fıstığı ezmesi 3 yemek kaşığı | Soya sosu 1 yemek kaşığı,6,"1. Karidesleri 5 dakika haşlayıp ikiye kesin. || 2. Pirinç kağıdını ıslatın, marul, erişte, ot ve karidesi yerleştirin. || 3. Kenarları kapatıp sıkı rulo sarın ve sosla servis edin.",3,"DENIZ_URUNLERI,YER_FISTIGI,SOYA",yaz-tarifi,Pirinç kağıdını tek tek ıslatın; fazla beklerse yırtılgan hale gelir.,Yer fıstıklı sosla soğuk servis edin.,Goi Cuon,"Vietnamese fresh rolls wrapping shrimp, herbs, lettuce, and rice noodles in rice paper for a cold, clean, light bite.",,,0,0,Goi Cuon,"Vietnamesische Sommerrollen, bei denen man Garnelen, Kraeuter, Salat und Reisnudeln in Reispapier kalt und leicht einrollt.",,,0,0
