slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
fasolakia,Fasolakia,YEMEK,sebze-yemekleri,gr,3,3,few-steps,Taze fasulye 700 gr | Domates 3 adet | Soğan 1 adet | Zeytinyağı 4 yemek kaşığı | Tuz 1 çay kaşığı,1. Soğanı zeytinyağında 4 dakika çevirin. || 2. Domatesi ve fasulyeyi ekleyip kapağı kapalı 30 dakika pişirin. || 3. Tuzunu ayarlayıp ılık servis edin.
dolaz-ordu-usulu,Ordu Dolazı,TATLI,tatlilar,tr,3,3,few-steps,Un 0.5 su bardağı | Tereyağı 40 gr | Üzüm pekmezi 0.5 su bardağı | Su 1 su bardağı,1. Unu tereyağında 3 dakika kavurun. || 2. Su ve pekmezi ekleyip koyulaşana kadar karıştırın. || 3. Dolazı kaselere alıp sıcak servis edin.
bolu-mengen-pilavi,Bolu Mengen Pilavı,YEMEK,makarna-pilav,tr,3,3,few-steps,Pirinç 2 su bardağı | Kuzu kuşbaşı 350 gr | Mantar 250 gr | Tereyağı 60 gr,1. Pirinci 20 dakika ılık suda bekletin. || 2. Kuzu eti ve mantarı 20 dakika kavurun. || 3. Pirinci ekleyip 25 dakika pişirin.
koshari,Koshari,YEMEK,makarna-pilav,me,3,3,few-steps,Pirinç 1 su bardağı | Makarna 200 gr | Yeşil mercimek 1 su bardağı | Domates sosu 300 ml | Sarımsak 2 diş,"1. Pirinç, makarna ve mercimeği ayrı ayrı pişirin. || 2. Domates sosunu sarımsakla 10 dakika kaynatın. || 3. Tüm katları tabakta birleştirin."
etli-guvec,Etli Güveç,YEMEK,et-yemekleri,tr,3,3,few-steps,Kuzu kuşbaşı 700 gr | Patlıcan 3 adet | Domates 4 adet | Yeşil biber 4 adet | Soğan 2 adet | Sarımsak 5 diş | Zeytinyağı 4 yemek kaşığı | Tuz 1.5 tatlı kaşığı,"1. Et ve iri doğranmış sebzeleri güveç kabına yerleştirin. || 2. Zeytinyağı, tuz ve sarımsağı ekleyip kabın kapağını kapatın. || 3. 180°C fırında 85-90 dakika pişirin."
kuru-borulce-yemegi,Kuru Börülce Yemeği,YEMEK,baklagil-yemekleri,tr,3,3,few-steps,Kuru börülce 2 su bardağı | Soğan 1 adet | Domates salçası 1 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Sıcak su 4 su bardağı | Tuz 1 tatlı kaşığı | Kimyon 0.5 çay kaşığı,"1. Börülceyi bir gece ıslatıp süzün. || 2. Soğan ve salçayı zeytinyağında 5 dakika kavurun. || 3. Börülce, sıcak su, tuz ve kimyonu ekleyip 40-45 dakika pişirin."
ispanakli-borek,Ispanaklı Börek,YEMEK,hamur-isleri,tr,3,3,few-steps,Yufka 5 adet | Ispanak 700 gr | Beyaz peynir 200 gr | Soğan 1 adet | Yumurta 1 adet | Yoğurt 1 çay bardağı | Sıvı yağ 0.5 çay bardağı,"1. Soğan ve ıspanağı 8 dakika kavurup soğutun. || 2. Ispanak, peynir, yoğurt, yumurta ve yağı yufkaların arasına paylaştırın. || 3. Böreği 180°C fırında 30-35 dakika pişirin."
pekmezli-un-helvasi-amasya-usulu,Amasya Pekmezli Un Helvası,TATLI,tatlilar,tr,3,3,few-steps,Un 1 su bardağı | Tereyağı 60 gr | Üzüm pekmezi 0.75 su bardağı | Su 0.5 su bardağı,1. Unu tereyağında 8 dakika kavurun. || 2. Suyu ekleyip kısa süre karıştırın. || 3. Pekmezi katıp helvayı toparlayarak servis edin.
kolbaszli-lecso,Kolbászlı Lecsó,YEMEK,sebze-yemekleri,hu,3,3,few-steps,Kapya biber 4 adet | Domates 5 adet | Soğan 2 adet | Macar sosis 160 gr | Toz kırmızı biber 1 tatlı kaşığı,1. Soğanları yağda yumuşatın. || 2. Biberleri ve dilimlenmiş Macar sosisi ekleyip 8 dakika soteleyin. || 3. Domates ve toz biberle 20 dakika pişirin.
sebze-corbasi,Sebze Çorbası,CORBA,corbalar,tr,3,3,few-steps,Havuç 1 adet | Kabak 1 adet | Patates 1 adet | Kereviz sapı 1 dal | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Su 5 su bardağı | Tuz 1 çay kaşığı,1. Soğanı zeytinyağında 3 dakika kavurun. || 2. Doğranmış sebzeleri ve suyu ekleyin. || 3. Sebzeler yumuşayana kadar 22-25 dakika pişirin.
zeytinli-pogaca,Zeytinli Poğaça,KAHVALTI,hamur-isleri,tr,3,3,few-steps,Un 3 su bardağı | Yoğurt 1 su bardağı | Sıvı yağ 0.5 su bardağı | Kabartma tozu 1 paket | Zeytin ezmesi 150 gr | Yumurta sarısı 1 adet | Tuz 0.5 tatlı kaşığı,"1. Un, yoğurt, sıvı yağ, kabartma tozu ve tuzu yoğurun. || 2. Hamur parçalarına zeytin ezmesi koyup kapatın. || 3. Üzerine yumurta sarısı sürüp 180°C fırında 22-25 dakika pişirin."
etli-ekmek-konya-usulu,Konya Usulü Etli Ekmek,YEMEK,hamur-isleri,tr,3,3,few-steps,Un 600 gr | Su 320 ml | Dana kıyma 400 gr | Soğan 1 adet | Kapya biber 2 adet | Domates 2 adet | Tuz 1.5 çay kaşığı | Maydanoz 0.5 demet | Limon 1 adet,"1. Un ve suyla hamur yoğurup 25 dakika dinlendirin. || 2. Kıyma, soğan, biber, domates ve tuzu ince kıyıp harcı hazırlayın. || 3. Hamuru uzun açıp harcı yayın ve 240°C fırında 12 dakika pişirin."
sogan-corbasi,Soğan Çorbası,CORBA,corbalar,fr,3,3,few-steps,Soğan 5 adet | Tereyağı 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı | Un 1 yemek kaşığı | Et suyu 5 su bardağı | Ekmek 4 dilim | Kaşar peyniri 0.5 su bardağı | Tuz 1 çay kaşığı,"1. Soğanları ince dilimleyip tereyağı ve zeytinyağında 30 dakika kavurun. || 2. Unu ekleyip 2 dakika çevirin, et suyunu ve tuzu ekleyin. || 3. Çorbayı 12 dakika kaynatın, kaşarlı kızarmış ekmekle servis edin."
erzurum-ayran-asi,Erzurum Ayran Aşı,CORBA,corbalar,tr,3,3,few-steps,Yoğurt 600 gr | Haşlanmış buğday 1 su bardağı | Haşlanmış nohut 1 su bardağı | Nane 1 tatlı kaşığı,1. Buğday ve nohudu 20 dakika kaynatın. || 2. Yoğurdu sıcak suyla alıştırıp tencereye ekleyin. || 3. Çorbayı 15 dakika karıştırarak pişirin.
korokke,Korokke,ATISTIRMALIK,atistirmaliklar,jp,3,3,few-steps,Patates 4 adet | Soğan 1 adet | Galeta unu 1 su bardağı | Yumurta 2 adet | Ayçiçek yağı 2 su bardağı,"1. Patatesleri haşlayıp ezin, ince doğranmış soğanla karıştırın. || 2. Karışımdan oval köfteler yapıp yumurta ve galeta ununa bulayın. || 3. Kızgın yağda 4 dakika kızartıp süzdürün."
sivas-hingel,Sivas Hingel,YEMEK,hamur-isleri,tr,3,3,few-steps,Un 600 gr | Yumurta 1 adet | Patates 5 adet | Yoğurt 400 gr,"1. Un, yumurta ve suyla sert hamur yoğurun. || 2. Patatesli içle üçgen mantılar kapatın. || 3. Hingelleri kaynar suda 12 dakika haşlayın."
socca,Socca,ATISTIRMALIK,atistirmaliklar,fr,3,3,few-steps,Nohut unu 1 su bardağı | Su 1 su bardağı | Zeytinyağı 2 yemek kaşığı | Karabiber 1 çay kaşığı,"1. Nohut unu, su ve 1 yemek kaşığı zeytinyağını çırpıp 10 dakika dinlendirin. || 2. Tavayı kalan yağla yüksek ateşte 1 dakika ısıtın. || 3. Hamuru tavaya döküp 220°C fırında 12-15 dakika pişirin."
aebleskiver,Aebleskiver,KAHVALTI,kahvaltiliklar,se,3,3,few-steps,Un 220 gr | Süt 250 ml | Yumurta 2 adet | Tereyağı 30 gr,1. Hamuru çırpıp 10 dakika dinlendirin. || 2. Aebleskiver tavasını yağlayıp hamuru gözlere dökün. || 3. Her birini çevirerek 8 dakika pişirin.
leka-ispanakli-krep-isvec-usulu,Leka Ispanaklı Krep,YEMEK,hamur-isleri,se,5,3,no-time,Un 1 su bardağı | Süt 1.5 su bardağı | Yumurta 2 adet | Ispanak 300 gr | Beyaz peynir 120 gr,"1. Un, süt ve yumurtayla krep hamuru hazırlayıp 10 dakika dinlendirin. || 2. İnce krepleri tavada tek tek pişirin. || 3. Ispanağı soteleyip beyaz peynirle iç harç hazırlayın. || 4. Krepleri doldurup fırın kabına yerleştirin. || 5. 190°C fırında 8-10 dakika ısıtarak servis edin."
erikli-zeytinyagli-pirasa-ayvalik-usulu,Ayvalık Erikli Zeytinyağlı Pırasa,YEMEK,sebze-yemekleri,tr,3,3,few-steps,Pırasa 5 dal | Kuru erik 8 adet | Zeytinyağı 3 yemek kaşığı | Havuç 1 adet | Su 0.5 su bardağı,1. Pırasayı ve havucu doğrayın. || 2. Sebzeleri zeytinyağı ve suyla 18 dakika pişirin. || 3. Eriği ekleyip 5 dakika daha pişirerek servis edin.
brik-tunus-usulu,Tunus Usulü Brik,APERATIF,aperatifler,ma,3,3,few-steps,Yufka 4 adet | Patates 2 adet | Ton balığı 1 konserve | Yumurta 4 adet | Maydanoz 0.25 demet | Ayçiçek yağı 1.5 su bardağı | Limon 1 adet,"1. Patatesi haşlayıp ezerek ton balığı ve maydanozla karıştırın. || 2. Harcı yufkanın ortasına alın, yumurtayı kırın ve kenarları kapatın. || 3. Brikleri 6 dakika kızartıp limonla servis edin."
clafoutis,Clafoutis,TATLI,tatlilar,fr,3,3,few-steps,Kiraz 400 gr | Yumurta 3 adet | Süt 300 ml | Un 100 gr | Şeker 100 gr,"1. Yumurta, süt, un ve şekeri pürüzsüz olana kadar çırpın. || 2. Kirazları yağlanmış kalıba yayıp hamuru üstüne dökün. || 3. 180°C fırında 35 dakika pişirin."
tepsi-kebabi-adana-ev-usulu,Adana Ev Usulü Tepsi Kebabı,YEMEK,et-yemekleri,tr,3,3,few-steps,Kıyma 700 gr | Kapya biber 2 adet | Domates 2 adet | Sarımsak 3 diş | Tuz 1 çay kaşığı,"1. Kıyma, sarımsak ve tuzu yoğurun. || 2. Harçla sebzeleri tepsiye yerleştirin. || 3. Kebabı 200°C fırında 25 dakika pişirin."
aside-mugla-usulu,Muğla Asidesi,TATLI,tatlilar,tr,5,3,no-time,Un 1 su bardağı | Tereyağı 50 gr | Toz şeker 0.5 su bardağı | Su 2 su bardağı | Ceviz 0.25 su bardağı,1. Unu tereyağında kokusu çıkana kadar kavurun. || 2. Şekerli suyu azar azar ekleyip sürekli karıştırın. || 3. Karışım pürüzsüz koyu kıvam alana kadar 5-6 dakika pişirin. || 4. Asideyi tabağa yayıp üstüne ceviz serpin. || 5. Tatlıyı sıcak halde kaşıkla servis edin.
misir-unlu-kefal-tava-sinop-usulu,Sinop Mısır Unlu Kefal Tava,YEMEK,et-yemekleri,tr,3,3,few-steps,Kefal fileto 500 gr | Mısır unu 1 su bardağı | Tuz 1 çay kaşığı | Zeytinyağı 3 yemek kaşığı,1. Balığı tuzlayıp mısır ununa bulayın. || 2. Yağı tavada ısıtın. || 3. Filetoları iki yüzü kızarana kadar 8 dakika pişirin.
siveydiz,Şiveydiz,YEMEK,et-yemekleri,tr,3,3,few-steps,Kuzu kuşbaşı 400 gr | Arpacık soğan 250 gr | Taze sarımsak 6 adet | Yoğurt 300 gr | Yumurta 1 adet | Nane 1 yemek kaşığı,1. Eti 20 dakika suyla pişirmeye başlayın. || 2. Arpacık soğan ve taze sarımsağı ekleyip yumuşatın. || 3. Yoğurt ve yumurtayı çırpıp yemeğe alıştırarak ekleyin ve nane ile tamamlayın.
oladi,Oladi,KAHVALTI,kahvaltiliklar,ru,3,3,few-steps,Kefir 1 su bardağı | Un 1.5 su bardağı | Yumurta 1 adet | Şeker 1 yemek kaşığı,"1. Kefir, yumurta ve şekeri çırpın. || 2. Unu ekleyip karıştırın. || 3. Hamurdan kaşıkla tavaya döküp iki yüzünü 6-7 dakika pişirin."
otlu-lavas-durumu-van-usulu,Van Otlu Lavaş Dürümü,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Lavaş 2 adet | Otlu peynir 150 gr | Maydanoz 0.25 demet | Taze soğan 2 dal,1. Yeşillikleri ince kıyın ve peynirle karıştırın. || 2. Lavaşları kuru tavada 1 dakika ısıtın. || 3. İçi paylaştırıp dürüm yaparak servis edin.
hasuta-erzurum-usulu,Erzurum Hasutası,TATLI,tatlilar,tr,3,3,few-steps,Un 0.5 su bardağı | Tereyağı 50 gr | Toz şeker 0.5 su bardağı | Su 1.5 su bardağı,1. Unu tereyağında 4 dakika kavurun. || 2. Şekerli suyu ekleyip karıştırarak koyulaştırın. || 3. Hasutayı kaselere alıp sıcak servis edin.
lorlu-enginar-kizartmasi-izmir-usulu,İzmir Lorlu Enginar Kızartması,APERATIF,aperatifler,tr,3,3,few-steps,Enginar kalbi 6 adet | Lor peyniri 120 gr | Un 4 yemek kaşığı | Yumurta 1 adet | Zeytinyağı 3 yemek kaşığı,1. Enginarları kurulayın ve una bulayın. || 2. Yumurtaya batırıp tavada iki yüzünü kızartın. || 3. Lor serpip ılık servis edin.
rakott-krumpli,Rakott Krumpli,YEMEK,sebze-yemekleri,hu,3,3,few-steps,Patates 900 gr | Yumurta 5 adet | Sucuk 180 gr | Ekşi krema 250 gr,"1. Patates ve yumurtaları haşlayıp dilimleyin. || 2. Tepsiye patates, yumurta, sucuk ve ekşi krema katları kurun. || 3. 190°C fırında 40 dakika pişirin."
espinacas-con-garbanzos,Espinacas con Garbanzos,YEMEK,baklagil-yemekleri,es,3,3,few-steps,Haşlanmış nohut 400 gr | Ispanak 400 gr | Sarımsak 2 diş | Domates püresi 1 su bardağı | Kimyon 1 çay kaşığı,1. Sarımsağı zeytinyağında 1 dakika çevirip domates püresini ekleyin. || 2. Nohut ve kimyonu katıp 5 dakika pişirin. || 3. Ispanağı ekleyip sönene kadar 6-7 dakika çevirin.
mantarli-misir-yarmasi-zonguldak-usulu,Zonguldak Mantarlı Mısır Yarması,YEMEK,sebze-yemekleri,tr,3,3,few-steps,Mısır yarması 1 su bardağı | Mantar 250 gr | Kuru soğan 1 adet | Su 2.5 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Soğan ve mantarı 6 dakika soteleyin. || 2. Mısır yarması ve suyu ekleyin. || 3. Yemeği kısık ateşte 18 dakika pişirin.
pumpkin-soup-australian,Pumpkin Soup,CORBA,corbalar,au,3,3,few-steps,Balkabağı 800 gr | Soğan 1 adet | Sebze suyu 900 ml | Krema 100 ml | Zeytinyağı 1 yemek kaşığı | Karabiber 0.25 çay kaşığı,1. Balkabağını 200°C fırında 20 dakika yumuşayana kadar pişirin. || 2. Soğanı zeytinyağında kısa çevirip kabak ve sebze suyunu ekleyin. || 3. Çorbayı blenderdan geçirip krema ve karabiberle servis edin.
vanilla-slice-australian,Vanilla Slice,TATLI,tatlilar,au,4,3,few-steps,Milföy hamuru 2 paket | Süt 750 ml | Yumurta sarısı 4 adet | Toz şeker 0.75 su bardağı | Nişasta 4 yemek kaşığı | Vanilya 1 çay kaşığı | Pudra şekeri 2 yemek kaşığı,"1. Milföyü iki tepsi halinde 200°C fırında 15 dakika pişirin. || 2. Süt, yumurta sarısı, şeker, nişasta ve vanilyayla koyu krema hazırlayın. || 3. Kremayı milföy katları arasına yayıp tatlıyı soğutun. || 4. Vanilla slice üzerine pudra şekeri serpip dilimleyin."
harput-kofte-elazig-usulu,Elazığ Harput Köftesi,YEMEK,et-yemekleri,tr,3,3,few-steps,İnce bulgur 1 su bardağı | Kıyma 300 gr | Domates salçası 1 yemek kaşığı | Kuru soğan 1 adet | Yoğurt 1 kase,1. Bulgur ve kıymayla küçük köfteler yoğurup yuvarlayın. || 2. Soğan ve salçayı tencerede çevirip su ekleyin. || 3. Köfteleri sos içinde 20 dakika pişirip yoğurtla servis edin.
kirmizi-pancar-mihlama-trabzon-usulu,Trabzon Kırmızı Pancar Mıhlama,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Mısır unu 4 yemek kaşığı | Kolot peyniri 180 gr | Haşlanmış pancar 1 adet | Tereyağı 25 gr | Su 1 su bardağı,1. Tereyağında mısır ununu 1 dakika çevirin. || 2. Su ve rendelenmiş pancarı ekleyip kıvam verin. || 3. Peyniri katıp eriyene kadar karıştırarak servis edin.
cevizli-yulaf-kavurmasi-kastamonu-usulu,Kastamonu Cevizli Yulaf Kavurması,KAHVALTI,kahvaltiliklar,tr,3,3,few-steps,Yulaf 1 su bardağı | Ceviz 0.5 su bardağı | Kuru soğan 0.5 adet | Zeytinyağı 1 yemek kaşığı | Tuz 0.5 çay kaşığı,1. Soğanı yağda 3 dakika çevirin. || 2. Yulaf ve cevizi ekleyip 4 dakika kavurun. || 3. Az sıcak su serpip 2 dakika dinlendirerek servis edin.
salade-de-lentilles,Salade de Lentilles,SALATA,baklagil-yemekleri,fr,3,3,few-steps,Yeşil mercimek 2 su bardağı | Arpacık soğan 4 adet | Dijon hardalı 1 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Keçi peyniri 60 gr,1. Mercimeği 20-25 dakika diri kalacak şekilde haşlayın. || 2. Hardal ve zeytinyağını çırpıp ince doğranmış arpacık soğanla karıştırın. || 3. Sıcak mercimeği sosla harmanlayıp isteğe göre keçi peyniri ekleyin.
feijoada,Feijoada,YEMEK,baklagil-yemekleri,br,3,3,few-steps,Siyah fasulye 500 gr | Dana kuşbaşı 500 gr | Dana sucuk 250 gr | Soğan 2 adet | Defne yaprağı 2 adet,"1. Fasulyeyi süzüp tencereye alın, etler ve defne yaprağıyla kaplayacak kadar su ekleyin. || 2. Kısık ateşte 2 saat pişirin. || 3. Soğanı kavurup tencereye ekleyin ve 30 dakika daha pişirin."
