slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
keci-peynirli-kabak-mucveri-bodrum-usulu,Keçi Peynirli Kabak Mücveri,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Kabak 3 adet | Keçi peyniri 120 gr | Yumurta 2 adet | Un 3 yemek kaşığı | Dereotu 0.25 demet,1. Kabakları rendeleyin. || 2. Harcı hazırlayın. || 3. Mücverleri 8 dakika pişirin.
adacayli-seftali-icecegi-fethiye-usulu,Adaçaylı Şeftali İçeceği,ICECEK,icecekler,tr,3,4,no-time;short-step,Şeftali püresi 1 su bardağı | Adaçayı demliği 1 su bardağı | Su 2 su bardağı | Buz 1 su bardağı,1. Adaçayını demleyip soğutun. || 2. Şeftali püresini suyla açın. || 3. Buzla birlikte servis edin.
koruklu-zeytinli-bulgur-pilavi-ayvalik-usulu,Koruklu Zeytinli Bulgur Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Pilavlık bulgur 1.5 su bardağı | Siyah zeytin 0.75 su bardağı | Koruk ekşisi 2 yemek kaşığı | Soğan 1 adet | Su 3 su bardağı,1. Soğanı 4 dakika çevirin. || 2. Bulgur ve suyu ekleyin. || 3. Zeytin ve korukla 12 dakika pişirin.
kekikli-patlican-sogurtme-denizli-usulu,Kekikli Patlıcan Söğürtme,SALATA,salatalar,tr,3,4,few-steps;short-step,Köz patlıcan 3 adet | Taze kekik 1 tatlı kaşığı | Sarımsak 1 diş | Zeytinyağı 2 yemek kaşığı,1. Patlıcanı ince doğrayın. || 2. Baharat ve yağı ekleyin. || 3. Salatayı karıştırıp servis edin.
hashasli-peynirli-gozleme-eskisehir-usulu,Haşhaşlı Peynirli Gözleme,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Un 2.5 su bardağı | Haşhaş ezmesi 3 yemek kaşığı | Beyaz peynir 150 gr | Su 0.75 su bardağı,1. Hamuru yoğurup açın. || 2. İç harcı sürüp kapatın. || 3. Gözlemeyi 8 dakika pişirin.
narli-bulgur-kofte-kasesi-adiyaman-usulu,Narlı Bulgur Köfte Kasesi,SALATA,salatalar,tr,3,4,few-steps;short-step,İnce bulgur 1 su bardağı | Nar taneleri 1 su bardağı | Un 2 yemek kaşığı | Maydanoz 0.25 demet | Nar ekşisi 1 yemek kaşığı,1. Bulgur köfte harcını hazırlayın. || 2. Köfteleri 5 dakika haşlayın. || 3. Nar ve yeşillikle birleştirin.
zahterli-peynir-durum-hatay-usulu,Zahterli Peynir Dürüm,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Lavaş 2 adet | Taze peynir 120 gr | Zahter 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Zahteri yağla karıştırın. || 2. Lavaşa peyniri yayın. || 3. Dürümü tavada 4 dakika ısıtın.
sucuklu-mercimek-pilavi-kayseri-usulu,Sucuklu Mercimek Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Pirinç 1.5 su bardağı | Haşlanmış yeşil mercimek 1 su bardağı | Sucuk 120 gr | Soğan 1 adet | Su 3 su bardağı,1. Sucuğu 4 dakika çevirin. || 2. Soğan ve pirinci ekleyin. || 3. Mercimekle birlikte 12 dakika pişirin.
tahin-pekmez-bazlama-tostu-konya-usulu,Tahin Pekmez Bazlama Tostu,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Bazlama 2 adet | Tahin 3 yemek kaşığı | Pekmez 3 yemek kaşığı,1. Bazlamayı ısıtın. || 2. Tahin ve pekmezi sürün. || 3. Katlayıp servis edin.
kaz-etli-bulgur-tava-ardahan-usulu,Kaz Etli Bulgur Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Haşlanmış kaz eti 250 gr | Pilavlık bulgur 1.5 su bardağı | Soğan 1 adet | Tereyağı 1 yemek kaşığı | Su 3 su bardağı,1. Soğanı kısa süre çevirin. || 2. Bulgur ve suyu ekleyin. || 3. Kaz etiyle birlikte 14 dakika pişirin.
bal-kabakli-eriste-tava-malatya-usulu,Bal Kabaklı Erişte Tava,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Erişte 3 su bardağı | Balkabağı 300 gr | Tereyağı 1 yemek kaşığı | Karabiber 0.25 çay kaşığı,1. Erişteyi haşlayın. || 2. Kabağı 6 dakika soteleyin. || 3. Erişteyle karıştırıp servis edin.
nohutlu-yogurt-ezmesi-kirikkale-usulu,Nohutlu Yoğurt Ezmesi,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Haşlanmış nohut 2 su bardağı | Yoğurt 1 su bardağı | Sarımsak 1 diş | Nane 0.5 çay kaşığı,1. Nohudun yarısını ezin. || 2. Yoğurtlu karışımı ekleyin. || 3. Nane ile servis edin.
otlu-kete-dilimi-kars-usulu,Otlu Kete Dilimi,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Un 2.5 su bardağı | Tereyağı 100 gr | Karışık ot 1 su bardağı | Su 0.75 su bardağı,1. Hamuru hazırlayın. || 2. Otlu içle katlayın. || 3. Keteyi 24 dakika pişirin.
kornisonlu-yumurta-salatasi-kocaeli-usulu,Kornişonlu Yumurta Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Yumurta 4 adet | Kornişon turşu 6 adet | Yoğurt 0.75 su bardağı | Dereotu 0.25 demet,1. Yumurtaları 8 dakika haşlayın. || 2. Turşuyu ince doğrayın. || 3. Tüm malzemeyi karıştırın.
mihalic-peynirli-domates-boregi-bursa-usulu,Mihaliç Peynirli Domates Böreği,ATISTIRMALIK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 4 adet | Mihaliç peyniri 180 gr | Domates 3 adet | Zeytinyağı 2 yemek kaşığı,1. Domatesi ince doğrayın. || 2. Yufkaları içle katlayın. || 3. Böreği 22 dakika pişirin.
patatesli-lorlu-corek-agri-usulu,Patatesli Lorlu Çörek,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Un 2.5 su bardağı | Patates 2 adet | Lor peyniri 150 gr | Su 0.75 su bardağı | Ayçiçek yağı 2 yemek kaşığı,1. Hamuru hazırlayın. || 2. Patatesli içi yerleştirin. || 3. Çörekleri 22 dakika pişirin.
biberli-tavuk-guvec-adana-usulu,Biberli Tavuk Güveç,YEMEK,tavuk-yemekleri,tr,3,4,few-steps;short-step,Tavuk kalça 650 gr | Yeşil biber 4 adet | Domates 3 adet | Zeytinyağı 2 yemek kaşığı,1. Malzemeleri güvece alın. || 2. Baharat ekleyin. || 3. 20 dakika pişirin.
bal-katli-medovik-kup-rus-usulu,Bal Katlı Medovik Kup,TATLI,tatlilar,ru,3,4,few-steps;short-step,Bal aromalı kek küpü 2 su bardağı | Krema 1 su bardağı | Bal 2 yemek kaşığı,1. Kup tabanına kek yerleştirin. || 2. Kremayı katmanlayın. || 3. Balla servis edin.
hindistancevizli-flan-kup-kuba-usulu,Hindistancevizli Flan Kup,TATLI,tatlilar,cu,3,4,few-steps;short-step,Süt 2 su bardağı | Yumurta 2 adet | Şeker 0.5 su bardağı | Hindistancevizi rendesi 2 yemek kaşığı,1. Flan karışımını hazırlayın. || 2. Kaselere pay edin. || 3. Soğutup servis edin.
gravlax-iskandinav-usulu,Gravlax,APERATIF,aperatifler,se,3,4,few-steps;short-step,Somon fileto 500 gr | Tuz 2 yemek kaşığı | Şeker 1 yemek kaşığı | Dereotu 0.5 demet,"1. Somonu tuz, şeker ve dereotuyla ovun. || 2. Balığı streçleyip buzdolabına alın. || 3. İnce dilimleyip servis edin."
bourbon-cherry-smash-amerikan-usulu,Bourbon Cherry Smash,KOKTEYL,kokteyller,us,3,4,few-steps;short-step,Viski 0.5 su bardağı | Vişne suyu 0.25 su bardağı | Limon suyu 2 yemek kaşığı | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Sıvıları ekleyin. || 3. Karıştırıp servis edin.
suspiro-limeno-peru-lima-usulu,Suspiro Limeño,TATLI,tatlilar,pe,3,4,few-steps;short-step,Süt 2 su bardağı | Şeker 1 su bardağı | Yumurta akı 2 adet | Vanilya 1 çay kaşığı,1. Süt ve şekeri koyulaşana kadar pişirin. || 2. Karışımı kuplara paylaştırın. || 3. Çırpılmış yumurta akıyla tamamlayın.
lorlu-pancar-ezme-kirsehir-usulu,Lorlu Pancar Ezme,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Haşlanmış pancar 2 adet | Lor peyniri 150 gr | Sarımsak 1 diş | Zeytinyağı 1 tatlı kaşığı,1. Pancarı rendeleyin. || 2. Lor ve sarımsakla ezin. || 3. Yağla servis edin.
mercimekli-cevizli-borek-sivas-usulu,Mercimekli Cevizli Börek,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 4 adet | Haşlanmış yeşil mercimek 1.5 su bardağı | Ceviz 0.5 su bardağı | Zeytinyağı 2 yemek kaşığı,1. Mercimekli içi hazırlayın. || 2. Yufkaları harçla sarın. || 3. Böreği 24 dakika pişirin.
tavuklu-yesil-mercimek-pilavi-yozgat-usulu,Tavuklu Yeşil Mercimek Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Pirinç 1.5 su bardağı | Tavuk göğsü 400 gr | Haşlanmış yeşil mercimek 1 su bardağı | Su 2.5 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Pirinç ve suyu ekleyin. || 3. Mercimekle birlikte 12 dakika pişirin.
irmikli-armut-tatlisi-aksaray-usulu,İrmikli Armut Tatlısı,TATLI,tatlilar,tr,3,4,few-steps;short-step,İrmik 4 yemek kaşığı | Süt 2 su bardağı | Armut 2 adet | Şeker 3 yemek kaşığı,1. İrmikli tabanı 8 dakika pişirin. || 2. Armutu küçük doğrayın. || 3. Katmanlayıp soğutun.
kuzu-etli-mantar-sote-mus-usulu,Kuzu Etli Mantar Sote,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuşbaşı kuzu eti 450 gr | Mantar 300 gr | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı,1. Eti 6 dakika mühürleyin. || 2. Mantarı ekleyin. || 3. Soğanla birlikte 8 dakika pişirin.
dutlu-cevizli-un-helvasi-erzurum-usulu,Dutlu Cevizli Un Helvası,TATLI,tatlilar,tr,3,4,few-steps;short-step,Un 1 su bardağı | Tereyağı 2 yemek kaşığı | Dut pekmezi 3 yemek kaşığı | Ceviz 0.5 su bardağı,1. Unu tereyağında 6 dakika kavurun. || 2. Pekmezi ekleyin. || 3. Cevizle karıştırıp servis edin.
patatesli-peynirli-kete-kars-usulu,Patatesli Peynirli Kete,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Un 2.5 su bardağı | Patates 2 adet | Beyaz peynir 150 gr | Yumurta 1 adet,1. Hamuru hazırlayın. || 2. Patatesli içi yerleştirin. || 3. Keteyi 24 dakika pişirin.
turplu-yogurtlu-asma-salatasi-malatya-usulu,Turplu Yoğurtlu Asma Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Asma yaprağı 12 adet | Turp 3 adet | Yoğurt 1 su bardağı | Sarımsak 1 diş,1. Yaprağı 1 dakika haşlayın. || 2. Turpu ince doğrayın. || 3. Yoğurtla karıştırıp servis edin.
kayisili-hurma-kup-malatya-usulu,Kayısılı Hurma Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Kuru kayısı 8 adet | Hurma 6 adet | Yoğurt 2 su bardağı | Bal 2 yemek kaşığı,1. Kayısı ve hurmayı doğrayın. || 2. Yoğurdu bal ile karıştırın. || 3. Kup içinde katmanlayıp servis edin.
