slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
domatesli-borulce-corbasi-manisa-usulu,Domatesli Börülce Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Haşlanmış börülce 1.5 su bardağı | Domates rendesi 1.5 su bardağı | Sarımsak 2 diş | Su 4 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Domatesi tencerede 4 dakika çevirin. || 2. Su ve börülceyi ekleyin. || 3. Çorbayı 12 dakika pişirin.
domatesli-cokelek-sikma-mersin-usulu,Domatesli Çökelek Sıkma,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 3 adet | Çökelek 180 gr | Domates 2 adet | Zeytinyağı 1 yemek kaşığı,1. İç harcı hazırlayın. || 2. Yufkayı sarın. || 3. Sıkmayı tavada 6 dakika ısıtın.
domatesli-etli-arpa-sehriye-tava-balikesir-usulu,Domatesli Etli Arpa Şehriye Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuşbaşı dana eti 450 gr | Arpa şehriye 1.5 su bardağı | Domates rendesi 1.5 su bardağı | Su 2.5 su bardağı,1. Eti 6 dakika mühürleyin. || 2. Şehriye ve domatesi ekleyin. || 3. Suyla birlikte 12 dakika pişirin.
domatesli-kuzu-orzo-tava-balikesir-usulu,Domatesli Kuzu Orzo Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuşbaşı kuzu eti 450 gr | Orzo 1.5 su bardağı | Domates rendesi 1.5 su bardağı | Su 2.5 su bardağı,1. Eti 6 dakika mühürleyin. || 2. Orzo ve domatesi ekleyin. || 3. Suyla birlikte 12 dakika pişirin.
tahinli-incir-muhallebisi-adana-usulu,Tahinli İncir Muhallebisi,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 4 su bardağı | Tahin 3 yemek kaşığı | Kuru incir 4 adet | Pirinç unu 3 yemek kaşığı | Şeker 0.5 su bardağı,1. Muhallebi bazını hazırlayın. || 2. 8 dakika pişirin. || 3. İncirleri ekleyip soğutun.
zeytinli-biber-ezmesi-hatay-usulu,Zeytinli Biber Ezmesi,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Közlenmiş kırmızı biber 3 adet | Siyah zeytin 0.5 su bardağı | Ceviz 0.25 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Biberleri blendera alın. || 2. Diğer malzemeleri ekleyin. || 3. Ezme kıvamına getirip servis edin.
domatesli-tavuklu-firik-pilavi-siirt-usulu,Domatesli Tavuklu Firik Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Tavuk göğsü 500 gr | Firik 1.5 su bardağı | Domates rendesi 1 su bardağı | Su 3 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Firik ve domatesi ekleyin. || 3. Suyla birlikte 12 dakika pişirin.
damla-sakizli-un-kurabiyesi-alacati-usulu,Damla Sakızlı Un Kurabiyesi,TATLI,tatlilar,tr,3,4,few-steps;short-step,Un 2 su bardağı | Tereyağı 125 gr | Pudra şekeri 0.75 su bardağı | Damla sakızı 1 çimdik,1. Hamuru bir araya getirin. || 2. Kurabiyelere şekil verin. || 3. 18 dakika pişirin.
eksi-kremali-yesil-fasulye-macaristan-usulu,Ekşi Kremalı Yeşil Fasulye,YEMEK,sebze-yemekleri,hu,3,4,few-steps;short-step,Taze fasulye 500 gr | Ekşi krema 1 su bardağı | Tatlı kırmızı biber 1 tatlı kaşığı | Soğan 1 adet | Su 1 su bardağı,1. Soğanı 4 dakika çevirin. || 2. Fasulye ve suyu ekleyin. || 3. Ekşi kremayla 10 dakika pişirin.
spanakopita-spiral-yunan-usulu,Spanakopita Spiral,KAHVALTI,hamur-isleri,gr,3,4,few-steps;short-step,Yufka 4 adet | Ispanak 250 gr | Feta peyniri 150 gr | Zeytinyağı 2 yemek kaşığı,1. Ispanaklı iç harcı hazırlayın. || 2. Yufkaları sarıp spiral yapın. || 3. Böreği 24 dakika pişirin.
tahinli-koz-patlican-salatasi-hatay-usulu,Tahinli Köz Patlıcan Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Közlenmiş patlıcan 3 adet | Tahin 2 yemek kaşığı | Limon suyu 1 yemek kaşığı | Sarımsak 1 diş,1. Patlıcanı ince kıyın. || 2. Tahinli sosu hazırlayın. || 3. Malzemeleri karıştırıp servis edin.
elderflower-gin-cooler-ingiliz-usulu,Elderflower Gin Cooler,KOKTEYL,kokteyller,gb,3,4,few-steps;short-step,Cin 0.5 su bardağı | Mürver şurubu 0.25 su bardağı | Limon suyu 2 yemek kaşığı | Soda 1 su bardağı | Buz 1 su bardağı,"1. Bardağı buzla doldurun. || 2. Cin, şurup ve limonu ekleyin. || 3. Sodayla tamamlayın."
elderflower-gin-spritz-ingiltere-usulu,Elderflower Gin Spritz,KOKTEYL,kokteyller,gb,3,4,few-steps;short-step,Cin 0.5 su bardağı | Mürver çiçeği şurubu 0.25 su bardağı | Soda 1 su bardağı | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Cin ve şurubu ekleyin. || 3. Sodayla tamamlayın.
