slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
portakalli-kladdkaka,Portakallı Kladdkaka,TATLI,tatlilar,se,3,3,few-steps,Tereyağı 120 gr | Şeker 220 gr | Un 90 gr | Kakao 35 gr,1. Tereyağını eritip diğer malzemelerle karıştırın. || 2. Hamuru kalıba dökün. || 3. 180°C fırında 18 dakika pişirin.
paprikali-nohut-gulas-macar-usulu,Macar Paprikalı Nohut Gulaş,YEMEK,baklagil-yemekleri,hu,3,3,few-steps,Haşlanmış nohut 2 su bardağı | Kuru soğan 1 adet | Tatlı paprika 1 tatlı kaşığı | Domates rendesi 1 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Soğanı yağda 4 dakika çevirin. || 2. Paprika ve domatesi ekleyin. || 3. Nohudu ekleyip 15 dakika pişirin.
akcaabat-koftesi,Akçaabat Köftesi,YEMEK,et-yemekleri,tr,3,3,few-steps,Dana kıyma 700 gr | Bayat ekmek içi 80 gr | Sarımsak 3 diş | Tuz 1 tatlı kaşığı,"1. Kıyma, ekmek içi, sarımsak ve tuzu yoğurun. || 2. Köfteleri yassı şekillendirip 20 dakika dinlendirin. || 3. Izgarada iki yüzünü 15 dakika pişirin."
zahterli-domatesli-pide-hatay-usulu,Hatay Zahterli Domatesli Pide,APERATIF,hamur-isleri,tr,3,3,few-steps,Un 2 su bardağı | Domates 3 adet | Zahter 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı | Su 0.75 su bardağı,1. Hamuru yoğurup 10 dakika dinlendirin. || 2. Domates ve zahteri hamurun üstüne yayın. || 3. 220°C fırında 12 dakika pişirin.
black-bean-soup,Black Bean Soup,CORBA,corbalar,cu,3,3,few-steps,Haşlanmış siyah fasulye 600 gr | Soğan 1 adet | Sarımsak 3 diş | Sebze suyu 1 litre,1. Soğan ve sarımsağı yağda yumuşatın. || 2. Fasulye ve sebze suyunu ekleyip 30 dakika pişirin. || 3. Bir kısmını ezip tekrar karıştırın.
medianoche-sandwich,Medianoche Sandwich,YEMEK,hamur-isleri,cu,3,3,few-steps,Sandviç ekmeği 2 adet | Pişmiş domuz eti 180 gr | İsviçre peyniri 60 gr | Hardal 1 yemek kaşığı | Salatalık turşusu 4 dilim,"1. Ekmeği açıp hardal sürün. || 2. Et, peynir ve turşuyu yerleştirin. || 3. Sandviçi bastırarak 6-8 dakika kızartın."
mantar-pate,Mantar Pate,SOS,soslar-dippler,se,4,3,few-steps,Kestane mantarı 400 gr | Tereyağı 40 gr | Krema 60 ml | Soğan 1 adet,"1. Soğanı tereyağında yumuşatın, mantarı ekleyip yüksek ateşte suyunu çektirin. || 2. Kremayı ilave edip karışımı 2-3 dakika daha çevirin. || 3. Harç ılınınca rondodan geçirip pürüzsüz kıvam verin. || 4. Pateyi buzdolabında 30 dakika dinlendirip sürmelik olarak servis edin."
hashasli-limonlu-kek-manisa-usulu,Manisa Haşhaşlı Limonlu Kek,TATLI,tatlilar,tr,3,3,few-steps,Un 2 su bardağı | Yumurta 3 adet | Süt 1 su bardağı | Haşhaş 2 yemek kaşığı | Limon kabuğu rendesi 1 yemek kaşığı,"1. Yumurta, süt ve unu çırpın. || 2. Haşhaş ve limon kabuğunu ekleyin. || 3. 180°C fırında 30 dakika pişirip dilimleyin."
koruklu-mercimek-piyazi-izmir-usulu,İzmir Koruklu Mercimek Piyazı,SALATA,salatalar,tr,3,3,few-steps,Yeşil mercimek 1 su bardağı | Koruk suyu 2 yemek kaşığı | Kuru soğan 1 adet | Maydanoz 0.25 demet | Zeytinyağı 1 yemek kaşığı,1. Mercimeği 18 dakika haşlayıp süzün. || 2. Soğanı ince doğrayıp koruk suyuyla ovun. || 3. Tüm malzemeyi karıştırıp servis edin.
mapo-tofu,Mapo Tofu,YEMEK,sebze-yemekleri,cn,4,3,few-steps,Tofu 500 gr | Acı fasulye ezmesi 2 yemek kaşığı | Soya sosu 2 yemek kaşığı | Susam yağı 1 yemek kaşığı | Taze soğan 3 dal,1. Fasulye ezmesini yağda 2 dakika kavurun. || 2. Tofu ve soya sosunu ekleyin. || 3. Tavayı 12-15 dakika kısık ateşte pişirin. || 4. Taze soğanla servis edin.
