slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
sebzeli-kuskus,Sebzeli Kuskus,"Kuskus makarnasının kabak, havuç ve biberle piştiği pratik pilav alternatifi.",YEMEK,tr,EASY,15,20,35,4,310,Kuskus 2 su bardağı | Kabak 1 adet | Havuç 1 adet | Kırmızı biber 1 adet | Zeytinyağı 3 yemek kaşığı | Sıcak su 3 su bardağı | Tuz 1 tatlı kaşığı | Karabiber 0.5 çay kaşığı,8,"1. Kabak, havuç ve biberi küçük küpler halinde doğrayın. || 2. Sebzeleri zeytinyağında 7 dakika soteleyin. || 3. Kuskusu ekleyip 2 dakika kavurun. || 4. Sıcak su, tuz ve karabiberi ekleyin. || 5. Kapağı kapalı şekilde suyunu çekene kadar 15 dakika pişirin.",5,GLUTEN,"vejetaryen,butce-dostu,vegan",Kuskusu eklemeden önce sebzelerin suyunu çektirin; pilav lapa olmaz.,Yoğurt veya ızgara tavuk yanında servis edin.,Vegetable Couscous,"A quick couscous-style side with zucchini, carrot, pepper, and olive oil, cooked fluffy and bright enough for weeknight tables.",,,0,0,Gemüse-Couscous,"Eine schnelle Couscous-Beilage mit Zucchini, Karotte, Paprika und Olivenöl, locker gekocht und gut für den Alltagstisch.",,,0,0
mantarli-risotto,Mantarlı Risotto,"Arborio pirinci, mantar ve parmesanla yapılan kremamsı İtalyan pilavı.",YEMEK,it,MEDIUM,15,30,45,4,460,Arborio pirinci 1.5 su bardağı | Mantar 300 gr | Soğan 1 adet | Sarımsak 2 diş | Sebze suyu 5 su bardağı | Tereyağı 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Parmesan peyniri 60 gr | Tuz 1 çay kaşığı,9,1. Sebze suyunu ayrı tencerede sıcak tutun. || 2. Mantarları zeytinyağında 6 dakika soteleyip kenara alın. || 3. Soğan ve sarımsağı tereyağında 4 dakika kavurun. || 4. Pirinci ekleyip 2 dakika karıştırın. || 5. Sıcak sebze suyunu kepçe kepçe ekleyerek 20 dakika pişirin. || 6. Mantar ve parmesanı ekleyip karıştırın.,6,SUT,"vejetaryen,misafir-sofrasi",Sıcak sebze suyunu kepçe kepçe ekleyin; pirinç sıvıyı emdikçe risottonun kremamsı dokusu oluşur.,Taze çekilmiş karabiberle sıcak servis edin.,Mushroom Risotto,"An Italian risotto of Arborio rice, mushrooms, butter, and Parmesan, stirred until creamy yet still loose on the spoon.",,,0,0,Pilzrisotto,"Ein italienisches Risotto aus Arborio-Reis, Pilzen, Butter und Parmesan, gerührt bis es cremig bleibt und doch locker fällt.",,,0,0
pesto-sos,Pesto Sos,"Fesleğen, çam fıstığı, parmesan ve zeytinyağıyla hazırlanan klasik yeşil sos.",SOS,it,EASY,10,0,10,6,180,Taze fesleğen 2 demet | Çam fıstığı 3 yemek kaşığı | Parmesan peyniri 50 gr | Sarımsak 2 diş | Zeytinyağı 0.5 su bardağı | Limon suyu 1 tatlı kaşığı | Tuz 0.5 çay kaşığı,7,"1. Fesleğen yapraklarını ayırıp iyice kurulayın. || 2. Çam fıstığını kuru tavada 2-3 dakika kokusu çıkana kadar çevirin. || 3. Fesleğen, çam fıstığı, parmesan, sarımsak, limon suyu ve tuzu robota alın. || 4. Zeytinyağını ince akışla ekleyip sos pürüzsüz olana kadar çekin.",4,"SUT,KUSUYEMIS","vejetaryen,30-dakika-alti,pratik",Fesleğeni yıkadıktan sonra tamamen kurutun; ıslak yaprak sosun rengini açar ve kıvamını inceltir.,"Makarna, sandviç veya ızgara sebzeyle kullanın.",Pesto Sauce,"A classic Italian green sauce of basil, pine nuts, Parmesan, garlic, and olive oil, blended fresh and intensely aromatic.",,,0,0,Pesto,"Eine klassische italienische grüne Sauce aus Basilikum, Pinienkernen, Parmesan, Knoblauch und Olivenöl, frisch gemixt und intensiv aromatisch.",,,0,0
guacamole,Guacamole,"Avokado, lime, domates ve kişnişle hazırlanan Meksika usulü dip sos.",SOS,mx,EASY,10,0,10,4,190,Avokado 2 adet | Lime suyu 2 yemek kaşığı | Domates 1 adet | Kırmızı soğan 0.5 adet | Taze kişniş 0.25 demet | Tuz 0.5 çay kaşığı | Jalapeno biber 1 adet,7,"1. Avokadolari ikiye bolup çekirdeklerini çıkarın, iclerini geniş kâseye alın ve lime suyunu üzerine sikin. || 2. Avokadoyu tuzla çatalla ezin, tamamen püre yapmadan hafif pütürlü bir doku bırakın. || 3. Domatesi, kırmızı soğanı, taze kisnisi ve jalapeno biberi çok ince doğrayıp kasenin içine ekleyin. || 4. Guacamoleyi nazikçe karıştırın ve rengini kaybetmemesi için bekletmeden servis edin.",4,,"vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Avokadoyu çatalla ezin; tamamen püre yapmak yerine hafif taneli bırakmak daha iyi doku verir.,Tortilla cipsi veya taco yanında servis edin.,Guacamole,"A Mexican avocado dip that keeps lime, tomato, onion, cilantro, and jalapeno bright, chunky, and ready for tortilla chips.",,,0,0,Guacamole,"Ein mexikanischer Avocado-Dip, bei dem man Limette, Tomate, Zwiebel, Koriander und Jalapeno stueckig und frisch haelt.",,,0,0
cilekli-smoothie,Çilekli Smoothie,"Çilek, yoğurt ve muzla hazırlanan kremamsı, serin ve pratik smoothie.",ICECEK,tr,EASY,5,0,5,2,190,Çilek 250 gr | Muz 1 adet | Yoğurt 1 su bardağı | Süt 0.5 su bardağı | Bal 1 tatlı kaşığı | Buz 4 adet,6,"1. Çileklerin saplarını ayıklayın, muzu dilimleyin. || 2. Tüm malzemeleri blendera alın. || 3. Pürüzsüz kıvam alana kadar 30-40 saniye çekin.",3,SUT,"vejetaryen,30-dakika-alti,yaz-tarifi",Dondurulmuş çilek kullanırsanız buz eklemeden daha yoğun kıvam elde edilir.,"Uzun bardakta, üstüne çilek dilimi koyarak soğuk servis edin.",Strawberry Smoothie,"A simple smoothie of strawberries, yogurt, milk, and banana, creamy, cold, and sweet enough to feel like a lighter treat.",,,0,0,Erdbeer-Smoothie,"Ein einfacher Smoothie aus Erdbeeren, Joghurt, Milch und Banane, cremig, kalt und süß genug, um wie ein leichter Genuss zu wirken.",,,0,0
yulafli-granola-bar,Yulaflı Granola Bar,"Yulaf, bal, fındık ve kuru meyveyle hazırlanan fırınlanmış atıştırmalık bar.",ATISTIRMALIK,tr,EASY,15,25,40,8,240,Yulaf ezmesi 2 su bardağı | Fındık 0.5 su bardağı | Kuru üzüm 0.5 su bardağı | Bal 0.5 su bardağı | Fıstık ezmesi 3 yemek kaşığı | Susam 2 yemek kaşığı | Tarçın 1 çay kaşığı | Tuz 1 çimdik,8,"1. Yulaf, fındık, kuru üzüm, susam, tarçın ve tuzu kapta karıştırın. || 2. Bal ve fıstık ezmesini küçük tencerede 3 dakika ısıtıp akışkan hale getirin. || 3. Sıcak karışımı kuru malzemelere ekleyip karıştırın. || 4. Karışımı yağlı kağıt serili kalıba bastırarak yayın. || 5. 170°C fırında 20-25 dakika pişirin. || 6. Tamamen soğuduktan sonra 8 bara kesin.",6,"GLUTEN,KUSUYEMIS,YER_FISTIGI,SUSAM","vejetaryen,firinda,cocuk-dostu",Karışımı kalıba bastırarak yerleştirin; gevşek kalırsa dilimler kırılır.,Ara öğünde kahve veya sütle tüketin.,Oat Granola Bars,"Baked snack bars of oats, hazelnuts, raisins, peanut butter, and sesame, firm enough for lunchboxes and afternoon hunger.",,,0,0,Hafer-Granolariegel,"Gebackene Riegel aus Hafer, Haselnüssen, Rosinen, Erdnussbutter und Sesam, fest genug für Brotdose und Nachmittagsloch.",,,0,0
izmir-kofte,İzmir Köfte,"Köfte, patates ve domates sosunun fırında birlikte piştiği klasik Ege yemeği.",YEMEK,tr,MEDIUM,30,45,75,4,520,Dana kıyma 500 gr | Soğan 1 adet | Yumurta 1 adet | Galeta unu 3 yemek kaşığı | Patates 4 adet | Domates 3 adet | Yeşil biber 4 adet | Zeytinyağı 3 yemek kaşığı | Tuz 1 tatlı kaşığı,9,"1. Kıyma, rendelenmiş soğan, yumurta, galeta unu ve tuzu yoğurup köfte harcı hazırlayın. || 2. Patatesleri elma dilim, domates ve yeşil biberleri iri parçalar halinde kesin. || 3. Köfteleri şekillendirip zeytinyağında kısa süre mühürleyin, patatesleri de hafif kızartın. || 4. Tepsiye köfte, patates, domates ve biberleri dizip 200°C fırında pişirin. || 5. Sebzeler yumuşayıp köfteler tamamen pişince sıcak servis edin.",5,"GLUTEN,YUMURTA","firinda,cocuk-dostu,misafir-sofrasi",Köfteleri fırına vermeden önce 10 dakika dinlendirin; şekilleri pişerken daha iyi korunur.,Pirinç pilavı ve cacıkla servis edin.,İzmir Köfte,"An İzmir oven dish of meatballs, potatoes, and tomato sauce, baked together until the edges brown and the tray turns deeply savory.",,,0,0,İzmir Köfte,"Ein Ofengericht aus İzmir mit Köfte, Kartoffeln und Tomatensauce, zusammen gebacken, bis die Ränder bräunen und die Sauce kräftig wird.",,,0,0
orman-kebabi,Orman Kebabı,"Kuşbaşı etin bezelye, havuç ve patatesle tencerede ağır ağır piştiği doyurucu yemek.",YEMEK,tr,MEDIUM,20,70,90,5,430,Dana kuşbaşı 600 gr | Soğan 1 adet | Patates 2 adet | Havuç 2 adet | Bezelye 1 su bardağı | Domates salçası 1 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Sıcak su 2.5 su bardağı | Tuz 1 tatlı kaşığı,9,"1. Dana kuşbaşını zeytinyağında 8 dakika renk alana kadar kavurun. || 2. Soğanı ekleyin, ardından domates salçasını katıp kokusu çıkana kadar çevirin. || 3. Patates ve havucu iri küp doğrayın, bezelyeyle birlikte tencereye alın. || 4. Sıcak suyu ve tuzu ekleyip yemeği 35-40 dakika sebzeler yumuşayana kadar pişirin. || 5. Orman kebabını suyunu çektirmeden ocaktan alın, dinlendirip servis edin.",5,,"tek-tencere,misafir-sofrasi",Eti sebzelerden önce mühürleyin; et suyu yemeğin içinde kalır ve sos daha yoğun olur.,Yanında sade pilavla servis edin.,Orman Kebabı,"A slow-cooked Turkish stew of beef, peas, carrot, and potato, simmered until the meat softens and the sauce turns savory.",,,0,0,Orman Kebabı,"Ein langsam gegarter türkischer Eintopf aus Rind, Erbsen, Karotte und Kartoffel, gekocht bis das Fleisch weich und die Sauce kräftig wird.",,,0,0
etli-guvec,Etli Güveç,"Et, patlıcan, biber ve domatesin güveçte uzun süre pişmesiyle hazırlanan bereketli yemek.",YEMEK,tr,MEDIUM,25,90,115,6,410,Kuzu kuşbaşı 700 gr | Patlıcan 3 adet | Domates 4 adet | Yeşil biber 4 adet | Soğan 2 adet | Sarımsak 5 diş | Zeytinyağı 4 yemek kaşığı | Tuz 1.5 tatlı kaşığı,8,"1. Patlıcanları iri küp doğrayın, domatesleri soyup parçalayın, soğanı piyazlık kesin ve biberleri bölün. || 2. Kuzu kuşbaşını güveç kabının tabanına yayın, üzerine soğan, sarımsak ve biberleri yerleştirin. || 3. Patlıcan ve domatesleri en üste alın, zeytinyağı ile tuzu bütün yüzeye gezdirin. || 4. Kabın kapağını kapatın, önceden ısıtılmış 190°C fırında 90 dakika yavaşça pişirin. || 5. Kapağı açıp sebzeler yumuşayınca 10 dakika daha üstü açık fırınlayın. || 6. Etli güveci fırından çıkarın, suyunun oturması için 5 dakika bekletin.",6,,"firinda,misafir-sofrasi",Güvecin kapağını sıkı kapatın; içeride oluşan buhar eti kurutmadan pişirir.,Tandır ekmeği veya bulgur pilavıyla servis edin.,Etli Güveç,"A clay-pot style Turkish stew that bakes lamb with eggplant, peppers, tomato, onion, and garlic until the pan turns juicy and rich.",,,0,0,Etli Güveç,"Ein türkischer Schmortopf im Guvec-Stil, bei dem man Lamm mit Aubergine, Paprika, Tomate, Zwiebel und Knoblauch saftig und reich baeckt.",,,0,0
rosto-kofte,Rosto Köfte,Rulo şekilli kıymalı harcın fırında pişip dilimlenerek servis edildiği aile yemeği.,YEMEK,tr,MEDIUM,25,45,70,6,370,Dana kıyma 700 gr | Yumurta 1 adet | Galeta unu 4 yemek kaşığı | Soğan 1 adet | Havuç 1 adet | Bezelye 0.5 su bardağı | Domates salçası 1 yemek kaşığı | Tuz 1 tatlı kaşığı,8,"1. Soğanı rendeleyip kıyma, yumurta, galeta unu ve tuzla 6 dakika yoğurun. || 2. Havucu haşlayıp bezelyeyle birlikte iç dolgu olarak hazırlayın. || 3. Kıymalı harcı yağlı kağıt üstünde açıp ortasına havuç ve bezelyeyi yerleştirin. || 4. Harçla dolguyu sararak rulo şekli verin, salçalı suyu tepsiye dökün. || 5. Önceden ısıtılmış 190°C fırında 40-45 dakika pişirip dilimleyin.",5,"GLUTEN,YUMURTA","firinda,cocuk-dostu",Köfte harcını streç film üzerinde sıkı rulo yapın; fırında dağılmadan dilimlenir.,Patates püresi ve domates sosuyla servis edin.,Rosto Köfte,"A family-style rolled meatloaf with vegetables baked inside, sliced warm and served with tomato-rich pan juices.",,,0,0,Rosto Köfte,"Ein Familiengericht aus gerolltem Hackbraten mit Gemüse im Inneren, warm in Scheiben geschnitten und mit Bratensaft serviert.",,,0,0
