slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
key-lime-pie-abd-florida-usulu,Key Lime Pie,tatlilar,TATLI,us,0,Bisküvi 200 gr | Tereyağı 70 gr | Krema 1 su bardağı | Yumurta sarısı 3 adet | Lime suyu 0.5 su bardağı,1. Tabanı hazırlayın. || 2. Dolgu malzemesini çırpın. || 3. Tartı 15 dakika pişirip soğutun.,Tartı tam soğutmadan kesmemek dolguyu düzgün tutar.,"Altına bir kaşık vişne reçeli, yanına soğuk süt bardağı koyarak çocuklu sofralara hazırlayın."
khanom-krok,Khanom Krok,tatlilar,TATLI,th,0,Pirinç unu 180 gr | Hindistan cevizi sütü 450 ml | Şeker 80 gr | Taze soğan 2 dal,"1. Pirinç unu, şeker ve hindistan cevizi sütünü karıştırın. || 2. Küçük gözlü tavayı yağlayıp harcı dökün. || 3. Kenarları kızarana kadar 15-20 dakika pişirin.",Tavuğu pişirmeden önce kağıt havluyla iyice kurulamak dış yüzeyin kızarmasını sağlar.,Taze hindistan cevizi parçalarıyla sıcak servis edin.
khao-man-gai-tay-usulu,Khao Man Gai,tavuk-yemekleri,YEMEK,th,0,Tavuk göğsü 600 gr | Pirinç 1.5 su bardağı | Sarımsak 2 diş | Zencefil 15 gr | Su 4 su bardağı,1. Tavuğu suda 18 dakika haşlayın. || 2. Pirinci aynı suyla pişirin. || 3. Tavuğu dilimleyip pirinçle servis edin.,Pirinci tavuk suyunda çekmek yemeğin asıl karakterini verir.,Pilav tabağının üstüne yerleştirip kenarına kızarmış pide dilimleri koyun.
khao-soi,Khao Soi,corbalar,CORBA,th,0,Tavuk but 600 gr | Yumurtalı erişte 350 gr | Sarı köri macunu 2 yemek kaşığı | Kokos kreması 400 ml | Lime 2 adet,"1. Köri macununu yağda 2 dakika kavurun, tavuk ve kokos kremasını ekleyin. || 2. Tavuğu 25 dakika pişirin; erişteyi ayrı tencerede haşlayın. || 3. Kaseye erişte, tavuk ve çorbayı koyup lime ile servis edin.",Eriştenin bir kısmını çıtır üstlük için ayırın; kaseye son anda ekleyin.,"Lime, kırmızı soğan ve turşu hardal yaprağı ile servis edin."
kheer,Kheer,tatlilar,TATLI,in,0,Pirinç 0.5 su bardağı | Süt 1 litre | Şeker 100 gr | Antep fıstığı 40 gr,1. Pirinç ve sütü tencereye alın. || 2. Kısık ateşte 40 dakika karıştırarak pişirin. || 3. Şeker ve fıstığı ekleyip 5 dakika daha pişirin.,"Pirinç sıvı oranı 1'e 1,5; fazla su taneyi yapıştırır, az su iç kısmı çiğ bırakır.","Soğuk veya ılık, üzerine antep fıstığı serperek servis edin."
khobz-eldar,Khobz Eldar,hamur-isleri,APERATIF,ma,0,Un 350 gr | İrmik 150 gr | Süt 250 ml | Yumurta 1 adet | Susam 2 yemek kaşığı | Kuru maya 1 çay kaşığı,"1. Un, irmik, süt ve mayayla hamur yoğurun. || 2. Hamuru 35 dakika mayalandırın. || 3. Üzerine yumurta ve susam sürüp 190°C fırında 25 dakika pişirin.","Hamuru en az 20 dakika dinlendirmek gluteni gevşetir, açımda elastik olmasını sağlar.",Üzerine sızma zeytinyağı ve pul biber gezdirip küçük derin tabakta mezelik sunum kurun.
kibbeh,Kibbeh,et-yemekleri,YEMEK,me,0,İnce bulgur 2 su bardağı | Dana kıyma 300 gr | Dana kıyma 250 gr | Soğan 1 adet | Ceviz 0.5 su bardağı,"1. Bulguru 15 dakika sıcak suda bekletin. || 2. Dış harcı kıyma ile 10 dakika yoğurun. || 3. İç harcı soğan, kıyma ve cevizle 12 dakika pişirin. || 4. Köfteleri doldurup kızgın yağda 6 dakika kızartın.",Dış harcı elde dağılmayacak kıvama gelene kadar 10 dakika yoğurun.,Limon ve yoğurtlu sosla servis edin.
kibe-mumbar,Kibe Mumbar,et-yemekleri,YEMEK,tr,0,Kibe 800 gr | Mumbar 800 gr | Pirinç 2 su bardağı | Kıyma 300 gr | Tuz 1 yemek kaşığı,"1. Sakatatı temizleyip tuzlu suda bekletin. || 2. Pirinç, kıyma ve baharatla iç hazırlayın. || 3. Doldurulan parçaları 100 dakika pişirin.",Parçaları tencereye aynı anda doldurmayın; iki etaba bölmek kavurma yerine haşlanma riskini engeller.,Derin kaseye boşaltıp küçük bir kase yoğurt ve maydanoz dalıyla sunun.
kilis-oruk,Kilis Oruk,et-yemekleri,YEMEK,tr,0,İnce bulgur 2 su bardağı | Dana kıyma 500 gr | Ceviz 150 gr | Tereyağı 50 gr,1. Bulgur ve kıymayı yoğurup dış harç hazırlayın. || 2. Cevizli içi kavurun. || 3. Orukları doldurup 25 dakika kızartın.,Dış harcı elinizi ıslatarak açın; kuru elle açılan bulgur çatlar.,"Limon, maydanoz ve ayranla sıcak servis edin."
kilis-tava-firin-usulu,Kilis Tava,et-yemekleri,YEMEK,tr,0,Kıyma 700 gr | Kapya biber 2 adet | Yeşil biber 3 adet | Domates 2 adet | Sarımsak 3 diş | Tuz 1 çay kaşığı | Kırmızı toz biber 1 çay kaşığı | Kuru soğan 1 adet,"1. Kıyma, biberler, domates, sarımsak, tuz ve kırmızı toz biberi yoğurun. || 2. Harci tepsiye bastırıp üstüne kuru soğan halkaları yerleştirin. || 3. Kilis tavayı 200°C fırında 22 dakika pişirin.",Harcı tepsiye eşit incelikte bastırmak kenarların kurumadan pişmesini sağlar.,Yanına sumaklı soğanla sıcak servis edin.
kimbap,Kimbap,aperatifler,APERATIF,kr,0,Pişmiş pirinç 600 gr | Nori yaprağı 5 adet | Yumurta 3 adet | Dana jülyen 200 gr | Havuç 2 adet,"1. Yumurtayı ince omlet halinde pişirin, havuç ve dana etini ayrı ayrı 5 dakika soteleyin. || 2. Nori üzerine pirinç yayın, iç harçları çizgi halinde dizin. || 3. Ruloyu sıkıca sarın, 2 cm kalınlığında dilimleyin.","Pilav ılık olmalı; sıcak pilav yosunu yumuşatır, soğuk pilav ruloyu çatlatır.",Dilimleri susam yağıyla parlatıp turp turşusu ile servis edin.
kimchi,Kimchi,soslar-dippler,SOS,kr,0,Napa lahanası 1 adet | Tuz 0.5 su bardağı | Kore biberi 0.5 su bardağı | Sarımsak 6 diş | Balık sosu 3 yemek kaşığı,"1. Lahanayı tuzla ovup 2 saat bekletin. || 2. Lahanayı durulayıp süzün. || 3. Biber, sarımsak ve balık sosunu karıştırın. || 4. Lahanayı sosla harmanlayıp kavanoza bastırın.",Lahanayı tuzladıktan sonra yapraklar esneyene kadar bekletin; kavanoza sıkı yerleşir.,"Pilav, noodle veya yumurta yanında servis edin."
kimchi-bokkeumbap,Kimchi Bokkeumbap,makarna-pilav,YEMEK,kr,0,Pişmiş pirinç 450 gr | Kimchi 180 gr | Soya sosu 1 yemek kaşığı | Yumurta 2 adet | Susam yağı 1 tatlı kaşığı,1. Kimchiyi doğrayıp susam yağıyla 3 dakika kavurun. || 2. Pirinç ve soya sosunu ekleyip 6 dakika karıştırarak pişirin. || 3. Ayrı tavada yumurtaları pişirip pilavın üzerine koyun.,Soğuk pilav kullanın; tane tane kalır ve kimchi suyunu çamurlaşmadan çeker.,Üzerine sahanda yumurta yerleştirin.
kimchi-jeon-kore-sokak-usulu,Kimchi Jeon,aperatifler,APERATIF,kr,0,Kimchi 1 su bardağı | Un 1 su bardağı | Su 0.75 su bardağı | Taze soğan 2 dal | Sıvı yağ 2 yemek kaşığı,1. Hamuru karıştırın. || 2. Kimchiyi ekleyip tavaya yayın. || 3. Pankeki toplam 8 dakika pişirin.,Kimchi suyundan 1 yemek kaşığı eklemek hamura daha canlı renk verir.,Küçük cam kaselerde tabağın ortasına yerleştirip etrafına közlenmiş sebze dilimleri dizin.
kinoa-pancar-bowl-avustralya-usulu,Kinoa Pancar Bowl,salatalar,SALATA,au,0,Kinoa 1.5 su bardağı | Pancar 2 adet | Maydanoz 0.25 demet | Limon suyu 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Kinoayı 12 dakika haşlayın. || 2. Pancarı 14 dakika fırınlayın. || 3. Malzemeleri sosla birleştirin.,Pancarı sıcak değil ılık eklemek bowl içinde rengin fazla dağılmasını önler.,Kenara iri kıyılmış ceviz içi ve nar taneleri ekleyerek kış salatası sunumu hazırlayın.
kinoali-sebze-corbasi-peru-usulu,Kinoalı Sebze Çorbası,corbalar,CORBA,pe,0,Kinoa 1 su bardağı | Patates 1 adet | Havuç 1 adet | Aji amarillo ezmesi 1 yemek kaşığı | Su 5 su bardağı,1. Sebzeleri 4 dakika çevirin. || 2. Kinoa ve suyu ekleyin. || 3. Çorbayı 15 dakika pişirin.,Kinoayı yıkamak çorbadaki sabunsu tadı temizler.,Yanına ızgara lavaş veya simit dilimleri ve soğuk cacık koyarak tamamlayın.
kiraz-yaprakli-kofte-malatya-usulu,Malatya Kiraz Yapraklı Köfte,baklagil-yemekleri,YEMEK,tr,0,İnce bulgur 1.5 su bardağı | Un 0.5 su bardağı | Kiraz yaprağı 12 adet | Domates salçası 1 tatlı kaşığı | Su 3 su bardağı,1. Bulgur ve unla küçük köfteler hazırlayın. || 2. Kiraz yapraklarını kısa haşlayıp tencereye dizin. || 3. Köfteleri salçalı suda 15 dakika pişirin.,Kiraz yapraklarını kısa haşlamak yumuşamalarını sağlar.,Yanına közlenmiş sivri biber ve tuzlu yoğurtla ılık servis için tabakta düzenleyin.
kiraz-yaprakli-sarma-malatya-usulu,Malatya Kiraz Yapraklı Sarma,sebze-yemekleri,YEMEK,tr,0,Kiraz yaprağı 20 adet | Pirinç 1 su bardağı | Kuru soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Limon 1 adet,1. Yaprakları sıcak suda 1 dakika yumuşatın. || 2. Pirinçli içi hazırlayıp yapraklara sarın. || 3. Sarmaları limonlu suyla 20 dakika pişirin.,Yaprakların damar kısmını çok kalın bırakmamak sararken yırtılmayı azaltır.,Üzerine limon gezdirerek ılık servis edin.
kirazli-soguk-cay-canakkale-usulu,Kirazlı Soğuk Çay,icecekler,ICECEK,tr,0,Siyah çay 2 tatlı kaşığı | Kiraz 1 su bardağı | Limon suyu 2 yemek kaşığı | Su 4 su bardağı | Buz 1 su bardağı,1. Çayı 5 dakika demleyin. || 2. Kiraz ve limonla karıştırın. || 3. Buzla servis edin.,Kirazı demleme sonunda eklemek rengin ve meyve kokusunun daha canlı kalmasını sağlar.,"Şeffaf sürahide sunmak içeceğin rengini öne çıkarır, bardakları yanına ayrı dizin."
kirazli-tarhana-corbasi-konya-usulu,Konya Kirazlı Tarhana Çorbası,corbalar,CORBA,tr,0,Tarhana 1 su bardağı | Kuru kiraz 0.5 su bardağı | Su 1 lt | Tereyağı 10 gr,1. Tarhanayı suyla açın. || 2. Çorbayı 12 dakika pişirin. || 3. Kiraz ve tereyağını ekleyip 3 dakika daha pişirin.,Kirazı çok önceden eklememek çorbada tamamen dağılmasını önler.,"Çorbayı ince uzun kaselere alıp yanına turşu tabağı koyun, küçük bir kase pul biber ayrı dursun."
kiremitte-mantar-kavurma-zonguldak-usulu,Zonguldak Kiremitte Mantar Kavurma,sebze-yemekleri,YEMEK,tr,0,Mantar 500 gr | Yeşil biber 2 adet | Sarımsak 3 diş | Zeytinyağı 2 yemek kaşığı,1. Mantarı iri doğrayın. || 2. Biber ve sarımsağı yağda 2 dakika çevirin. || 3. Mantarı ekleyip 10 dakika yüksek ateşte pişirin.,Mantarı tavaya üst üste yığmamak suyunu salmadan renk almasını sağlar.,Kızarmış ekmekle sıcak servis edin.
kiren-serbeti-gumushane-usulu,Kiren Şerbeti,icecekler,ICECEK,tr,0,Kiren 2 su bardağı | Su 5 su bardağı | Şeker 0.25 su bardağı | Karanfil 2 adet,1. Malzemeleri tencereye alın. || 2. Şerbeti 10 dakika kaynatın. || 3. Soğutup servis edin.,Meyveyi ezmeden kaynatmak şerbetin rengini parlak tutar.,"Bardağın ağzını tuz veya şekerle kaplayıp (rim) süsleyin, içine dik bir kamış koyun."
kirenli-elma-hosafi-gumushane-usulu,Kirenli Elma Hoşafı,icecekler,ICECEK,tr,0,Kiren 1.5 su bardağı | Elma 2 adet | Su 5 su bardağı | Şeker 0.25 su bardağı | Karanfil 2 adet,1. Meyveleri tencereye alın. || 2. Su ve şekeri ekleyip kaynatın. || 3. Hoşafı 10 dakika pişirip soğutun.,Elmaları iri tutmak hoşaf içinde dağılmadan kalmalarını sağlar.,Üzerine bir dilim taze zencefil ve küçük bir yaprak fesleğen ekleyip aromayı canlandırın.
