slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
tereyagli-tavuklu-pirinc-tava-hindistan-usulu,Tereyağlı Tavuklu Pirinç Tava,tavuk-yemekleri,YEMEK,in,0,Tavuk göğsü 500 gr | Pirinç 1.5 su bardağı | Tereyağı 2 yemek kaşığı | Su 3 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Pirinç ve suyu ekleyin. || 3. Tereyağı ile 10 dakika pişirin.,Tereyağını son 4 dakikada eklemek pirinçte parlak bir doku bırakır.,Sıcak servis edin.
tereyagli-yesil-mercimekli-ic-pilav-osmaniye-usulu,Tereyağlı Yeşil Mercimekli İç Pilav,makarna-pilav,YEMEK,tr,0,Pirinç 1.5 su bardağı | Haşlanmış yeşil mercimek 1 su bardağı | Tereyağı 1.5 yemek kaşığı | Su 2.5 su bardağı,1. Pirinci yıkayın. || 2. Tereyağında kısa süre çevirin. || 3. Mercimekle birlikte 14 dakika pişirin.,Mercimeği önceden diri haşlamak pilavda tane formunu korur.,Sıcak servis edin.
thai-milk-tea-granita-tay-usulu,Thai Milk Tea Granita,icecekler,ICECEK,th,0,Demlenmiş siyah çay 2 su bardağı | Süt 1 su bardağı | Şeker 3 yemek kaşığı | Buz 0.5 su bardağı,1. Çayı şekerle karıştırın. || 2. Süt ekleyip sığ kaba alın. || 3. Karışımı dondurup arada kazıyın.,Karışımı birkaç kez çatalla kazımak daha ince kristal verir.,Soğuk içecek için 1 saat önceden bardakları buzdolabında bekletin; sıcak camda aroma zayıflar.
thit-kho,Thit Kho,et-yemekleri,YEMEK,vn,0,Dana döş 800 gr | Haşlanmış yumurta 5 adet | Soya sosu 4 yemek kaşığı | Şeker 2 yemek kaşığı,1. Şekeri tencerede amber renk alana kadar eritin. || 2. Eti ve soya sosunu ekleyip 50 dakika pişirin. || 3. Yumurtaları ekleyip 20 dakika daha pişirin.,"Kuşbaşıyı yüksek ateşte kısa sürede mühürleyin, sonra ateşi kısın; su bırakmaz, tat daha konsantre olur.",Yanına sıcak ekmek ve bir kase turşu iliştirip geleneksel tabağa dönüştürün.
tinto-de-verano-punch-ispanya-usulu,Tinto de Verano Punch,kokteyller,KOKTEYL,es,0,Kırmızı şarap 2 su bardağı | Soda 1 su bardağı | Portakal dilimi 4 adet | Buz 1 su bardağı,1. Sürahiye buz koyun. || 2. Şarap ve sodayı ekleyin. || 3. Portakalla birlikte servis edin.,Narenciyeyi ince kesmek kadehte daha temiz bir aromatik yayılım verir.,"Şeffaf sürahide sunmak içeceğin rengini öne çıkarır, bardakları yanına ayrı dizin."
tinto-limon-slush-ispanya-usulu,İspanya Tinto Limon Slush,icecekler,ICECEK,es,0,Kırmızı şarap 1 su bardağı | Limonata 1 su bardağı | Buz 1 su bardağı,1. Şarap ve limonatayı karıştırın. || 2. Karışımı dondurucuya alın. || 3. Bir kez çatalla kazıyıp servis edin.,Karışımı dondururken bir kez çatalla kazımak slush dokusunu inceltir.,Soğuk içecek için 1 saat önceden bardakları buzdolabında bekletin; sıcak camda aroma zayıflar.
tirit,Tirit,et-yemekleri,YEMEK,tr,0,Dana eti 700 gr | Bayat ekmek 1 adet | Yoğurt 2 su bardağı | Tereyağı 50 gr | Pul biber 1 tatlı kaşığı,"1. Eti 90 dakika haşlayıp didikleyin. || 2. Ekmeği küp doğrayıp servis tabağına alın. || 3. Ekmeği sıcak et suyuyla ıslatın. || 4. Et, yoğurt ve tereyağlı biberle servis edin.",Ekmeği servis öncesi et suyuyla ıslatın; beklerse hamurlaşır.,Üzerine tereyağlı pul biber gezdirin.
tiritli-tavuk-kapama-samsun-usulu,Samsun Tiritli Tavuk Kapama,tavuk-yemekleri,YEMEK,tr,0,Tavuk kalça 700 gr | Pide ekmeği 2 adet | Kuru soğan 1 adet | Karabiber 0.5 çay kaşığı | Tuz 1 çay kaşığı,1. Tavuğu soğan ve tuzla birlikte 25 dakika haşlayın. || 2. Pideyi parçalayıp bir servis tabağına yayın. || 3. Pideyi suyuyla ıslatıp üstüne didiklenmiş tavuğu koyarak servis edin.,Pideleri servis öncesi 2-3 kepçeden fazla ıslatmamak tabanın tamamen dağılmasını önler.,Üzerine karabiber serperek sıcak servis edin.
tkemali,Tkemali,soslar-dippler,SOS,ru,0,Ekşi erik 600 gr | Sarımsak 3 diş | Kişniş 0.5 demet | Pul biber 1 çay kaşığı,1. Erikleri 20 dakika az suyla pişirin. || 2. Çekirdekleri ayırıp eriği püre yapın. || 3. Sarımsak ve baharatla 5 dakika kaynatın.,Erikleri kabukları çatlayana kadar pişirin; çekirdekler kolay ayrılır.,"Izgara et, patates veya kızarmış sebze yanında soğuk servis edin."
toast-skagen,Toast Skagen,aperatifler,APERATIF,se,0,Karides 250 gr | Mayonez 3 yemek kaşığı | Dereotu 0.25 demet | Ekmek dilimi 4 adet,1. Karidesi mayonez ve dereotuyla karıştırın. || 2. Ekmek dilimlerini tavada 2 dakika kızartın. || 3. Karides karışımını ekmeklerin üstüne paylaştırın.,Karidesleri fazla karıştırmayın; iri parçalar ekmeğin üstünde daha iyi durur.,Limon kabuğu rendesi ve dereotuyla servis edin.
