slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
char-siu-bao,Char Siu Bao,hamur-isleri,APERATIF,cn,0,Un 400 gr | Maya 7 gr | Dana eti 350 gr | Soya sosu 3 yemek kaşığı | Bal 2 yemek kaşığı,"1. Un, maya ve suyla hamur yoğurup 40 dakika mayalandırın. || 2. Dana etini soya sosu ve balla 12 dakika pişirip doğrayın. || 3. Hamuru içle doldurup buharda 15 dakika pişirin.",Buhar sepetinin kapağını pişirme bitene kadar açmayın; hamur sönmez.,Sıcak dim sum tabağı olarak servis edin.
char-siu-chicken-cin-firin-usulu,Char Siu Chicken,tavuk-yemekleri,YEMEK,cn,0,Tavuk but 700 gr | Soya sosu 3 yemek kaşığı | Bal 2 yemek kaşığı | Sarımsak 2 diş | Beş baharat karışımı 0.5 çay kaşığı,1. Marineyi hazırlayıp tavuğu karıştırın. || 2. Tavuğu 200°C fırında 16 dakika pişirin. || 3. Kalan sosu sürüp 10 dakika daha pişirin.,Sosu son 10 dakikada tekrar sürmek daha canlı bir glaze oluşturur.,Tabakta pembesi tabaka halinde dilimleyip üstüne pişme suyundan iki kaşık dökün.
chawanmushi,Chawanmushi,aperatifler,APERATIF,jp,0,Yumurta 3 adet | Dashi suyu 450 ml | Mantar 120 gr | Soya sosu 1 yemek kaşığı,1. Yumurta ve dashi suyunu çırpıp süzün. || 2. Mantarı kaselere paylaştırıp karışımı dökün. || 3. Kaseleri buharda 18 dakika pişirin.,Yumurtayı sıvı yerine bir parça tereyağda pişirmek iç dokuyu nemli tutar.,Küçük cam kaselerde tabağın ortasına yerleştirip etrafına közlenmiş sebze dilimleri dizin.
che-ba-mau,Che Ba Mau,tatlilar,TATLI,vn,0,Maş fasulyesi 150 gr | Kırmızı fasulye 150 gr | Agar jöle 200 gr | Hindistan cevizi sütü 300 ml,1. Fasulyeleri ayrı ayrı yumuşayana kadar pişirin. || 2. Jöleyi küp doğrayın. || 3. Katları bardağa alıp hindistan cevizi sütü ekleyin.,Katları bardağa eklemeden önce tamamen soğutun; renkler karışmaz.,Kırık buz ve hindistan cevizi sütüyle uzun bardakta servis edin.
che-ba-mau-vietnam-usulu,Chè Ba Màu,smoothie-shake,ICECEK,vn,0,Haşlanmış kırmızı fasulye 1 su bardağı | Haşlanmış maş fasulyesi 1 su bardağı | Agar jöle 1 su bardağı | Hindistan cevizi sütü 1.5 su bardağı | Buz 1 su bardağı,1. Katman malzemelerini hazırlayın. || 2. Bardaklara sırayla yerleştirin. || 3. Buz ve hindistan cevizi sütüyle servis edin.,Katmanları ayrı tutmak için her parçayı tam soğuttuktan sonra bardağa alın.,"Kısa genişçe bir bardakta, üstüne taze meyve veya otlardan bir tutamla sunun."
che-chuoi-vietnam-usulu,Che Chuoi,tatlilar,TATLI,vn,0,Muz 3 adet | Hindistan cevizi sütü 2 su bardağı | Toz şeker 2 yemek kaşığı,1. Hindistan cevizi sütünü ısıtın. || 2. Şekeri ekleyin. || 3. Muzu katıp 6 dakika pişirin.,Muzu çok erken eklememek dağılmayı önler.,Tabak kenarına taze meyve dilimleri ve bir yaprak nane yerleştirip soğuk olarak verin.
cheddarli-leek-tart-ingiliz-usulu,İngiliz Cheddarlı Leek Tart,hamur-isleri,APERATIF,gb,0,Milföy hamuru 1 paket | Pırasa 2 adet | Cheddar peyniri 150 gr | Yumurta 2 adet | Krema 0.5 su bardağı,1. Pırasayı 6 dakika soteleyin. || 2. Milföyü kalıba yayıp iç harcı yerleştirin. || 3. 190°C fırında 30 dakika pişirip dilimleyin.,Pırasayı fazla sulandırmadan sotelemek tart tabanını gevrek tutar.,Küçük cam kaselerde tabağın ortasına yerleştirip etrafına közlenmiş sebze dilimleri dizin.
cheddarli-mantarli-crumpet-ingiltere-usulu,Cheddarlı Mantarlı Crumpet,hamur-isleri,KAHVALTI,gb,0,Crumpet 4 adet | Mantar 250 gr | Cheddar peyniri 100 gr | Tereyağı 1 tatlı kaşığı,1. Crumpetleri ısıtın. || 2. Mantarı 5 dakika soteleyin. || 3. Cheddar ile birleştirip servis edin.,Mantarı yüksek ateşte kısa pişirmek crumpetin üzerine sulanmadan oturmasını sağlar.,Ilık servis edin.
cheddarli-pirasa-scone-ingiltere-usulu,Cheddarlı Pırasa Scone,hamur-isleri,KAHVALTI,gb,0,Un 2 su bardağı | Cheddar 1 su bardağı | Pırasa 1 adet | Tereyağı 70 gr | Süt 0.5 su bardağı,1. Kuru ve sıvı malzemeleri birleştirin. || 2. Hamura pırasa ve peyniri ekleyin. || 3. Sconeları 16 dakika pişirin.,Hamuru fazla yoğurmamak scone dokusunun kırıntılı kalmasını sağlar.,"Tabakta yumurta, peynir, bal-kaymak üçlüsü ve bir bardak sıcak sahlep eşlik ettiğinde tamamlanır."
chermoula-patates-salatasi-fas-usulu,Chermoula Patates Salatası,salatalar,SALATA,ma,0,Patates 4 adet | Kişniş 0.5 demet | Maydanoz 0.25 demet | Limon suyu 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı,1. Patatesleri 12 dakika haşlayın. || 2. Chermoula sosunu hazırlayın. || 3. Patatesleri sosla karıştırıp servis edin.,Patatesleri sosla ılıkken buluşturmak baharat aromasının içine daha iyi işlemesini sağlar.,Tabağı tahta masaya koyup yanına ince dilimlenmiş limon ve bir kase sarımsaklı yoğurt iliştirin.
