slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
sumakli-kisir-dolgusu-adiyaman-usulu,Sumaklı Kısır Dolgusu,SALATA,salatalar,tr,3,4,few-steps;short-step,İnce bulgur 1 su bardağı | Domates 2 adet | Taze soğan 3 adet | Sumak 1 tatlı kaşığı | Nar ekşisi 1 yemek kaşığı,1. Bulguru 10 dakika sıcak suda bekletin. || 2. Sebzeleri ince doğrayın. || 3. Tüm malzemeyi karıştırın.
etli-erikli-bulgur-tava-konya-usulu,Etli Erikli Bulgur Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuşbaşı dana eti 450 gr | Pilavlık bulgur 1.5 su bardağı | Kuru erik 6 adet | Su 3 su bardağı,1. Eti 6 dakika mühürleyin. || 2. Bulgur ve suyu ekleyin. || 3. Erikle birlikte 12 dakika pişirin.
gulluklu-muhallebi-kup-mersin-usulu,Güllüklü Muhallebi Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 3 su bardağı | Mısır nişastası 3 yemek kaşığı | Şeker 0.5 su bardağı | Gül suyu 1 tatlı kaşığı | Antep fıstığı 2 yemek kaşığı,1. Muhallebiyi koyulaştırın. || 2. Gül suyunu ekleyin. || 3. Kup içinde soğutup servis edin.
mercimekli-sumakli-sogan-corbasi-mardin-usulu,Mercimekli Sumaklı Soğan Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Kırmızı mercimek 1 su bardağı | Soğan 2 adet | Sumak suyu 0.5 su bardağı | Su 5 su bardağı,1. Soğanı 5 dakika çevirin. || 2. Mercimek ve suyu ekleyin. || 3. Sumakla 10 dakika pişirin.
midyeli-pirinc-tava-canakkale-usulu,Midyeli Pirinç Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Ayıklanmış midye 300 gr | Pirinç 1.25 su bardağı | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Su 2.5 su bardağı,1. Soğanı tencerede yumuşatın. || 2. Pirinç ve suyu ekleyin. || 3. Midyeyle birlikte 12 dakika pişirin.
misir-unlu-pazi-boregi-zonguldak-usulu,Mısır Unlu Pazı Böreği,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 4 adet | Pazı 250 gr | Beyaz peynir 150 gr | Mısır unu 2 yemek kaşığı,1. Pazıyı 4 dakika soteleyin. || 2. Yufkaları harçla katlayın. || 3. Böreği 22 dakika pişirin.
yogurtlu-cirpilmis-patates-ezmesi-eskisehir-usulu,Yoğurtlu Çırpılmış Patates Ezmesi,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Patates 3 adet | Yoğurt 1 su bardağı | Sarımsak 1 diş | Zeytinyağı 1 yemek kaşığı,1. Patatesi 12 dakika haşlayın. || 2. Ezerek yoğurtla çırpın. || 3. Yağ gezdirip servis edin.
civil-peynirli-tava-lavas-erzurum-usulu,Civil Peynirli Tava Lavaş,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Lavaş 2 adet | Civil peyniri 150 gr | Tereyağı 1 yemek kaşığı | Karabiber 0.25 çay kaşığı,1. Lavaşı tavaya alın. || 2. Peyniri içine yerleştirin. || 3. İki yüzünü 6 dakika pişirin.
tahinli-soganlama-kayseri-usulu,Kayseri Tahinli Soğanlama,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Kuru soğan 3 adet | Tahin 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı | Tuz 0.25 çay kaşığı,1. Soğanı ince doğrayın. || 2. Soğanı 10 dakika pişirin. || 3. Tahinle karıştırıp servis edin.
otlu-tulumlu-lavas-tostu-van-usulu,Otlu Tulumlu Lavaş Tostu,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Lavaş 2 adet | Otlu peynir 120 gr | Tulum peyniri 80 gr | Tereyağı 1 tatlı kaşığı,1. İç harcı lavaşa pay edin. || 2. Tostu kapatın. || 3. Tavada 6 dakika pişirin.
mojo-patates-kuba-usulu,Mojo Patates,APERATIF,aperatifler,cu,3,4,few-steps;short-step,Patates 4 adet | Sarımsak 3 diş | Portakal suyu 0.5 su bardağı | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı,"1. Patatesleri dilimleyip kızartın. || 2. Sarımsak, portakal suyu ve yağı karıştırın. || 3. Sosu patateslerin üstüne gezdirin."
yarma-ve-kurut-corbasi-erzincan-usulu,Yarma ve Kurut Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Yarma buğday 1 su bardağı | Kurut 2 adet | Su 5 su bardağı | Nane 0.5 çay kaşığı,1. Yarmayı 18 dakika haşlayın. || 2. Kurutu suda eritin. || 3. Çorbayı 6 dakika daha pişirin.
