slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
peynirli-sogan-pidesi-tekirdag-usulu,Tekirdağ Peynirli Soğan Pidesi,APERATIF,hamur-isleri,tr,3,6,few-steps;no-time,Un 2.5 su bardağı | Kuru maya 1 çay kaşığı | Soğan 2 adet | Beyaz peynir 150 gr | Yumurta 1 adet,1. Hamuru yoğurup kısa süre dinlendirin. || 2. Soğanı soteleyip peynirle karıştırın. || 3. Pideleri doldurup 200°C fırında 20 dakika pişirin.
enginarli-borulce-guveci-izmir-bag-usulu,İzmir Enginarlı Börülce Güveci,YEMEK,sebze-yemekleri,tr,3,6,few-steps;no-time,Taze börülce 300 gr | Enginar 2 adet | Domates 2 adet | Zeytinyağı 2 yemek kaşığı | Limon suyu 1 yemek kaşığı,1. Sebzeleri doğrayıp tencereye alın. || 2. Zeytinyağı ve domatesle 20 dakika pişirin. || 3. Limon suyunu ekleyip dinlendirerek servis edin.
hortobagyi-palacsinta-macar-usulu,Hortobágyi Palacsinta,YEMEK,hamur-isleri,hu,3,6,few-steps;no-temp,Un 1 su bardağı | Yumurta 2 adet | Dana kıyma 250 gr | Yoğurt 0.5 su bardağı | Tatlı paprika 1 çay kaşığı,1. Krepleri hazırlayın. || 2. İç harcı pişirip kreplere sarın. || 3. Paprika sosla 10 dakika fırınlayın.
cevizli-irmik-helvasi-kahramanmaras-usulu,Kahramanmaraş Cevizli İrmik Helvası,TATLI,tatlilar,tr,3,6,few-steps;no-time,İrmik 1 su bardağı | Tereyağı 40 gr | Ceviz 0.5 su bardağı | Şeker 0.75 su bardağı | Su 1.5 su bardağı,1. İrmiği ve cevizi tereyağında kavurun. || 2. Şerbeti ekleyin. || 3. Helvayı 5 dakika demlendirip servis edin.
hotteok-kore-kis-usulu,Hotteok,TATLI,tatlilar,kr,3,6,few-steps;no-time,Un 2 su bardağı | Ilık su 0.75 su bardağı | Esmer şeker 0.5 su bardağı | Tarçın 1 çay kaşığı | Sıvı yağ 2 yemek kaşığı,1. Hamuru yoğurup kısa dinlendirin. || 2. İç dolguyu hazırlayıp hamura doldurun. || 3. Hamurları tavada toplam 8 dakika pişirin.
sivas-hingeli,Sivas Hıngeli,YEMEK,hamur-isleri,tr,3,6,few-steps;no-time,Un 2 su bardağı | Patates 3 adet | Soğan 1 adet | Tereyağı 25 gr | Su 0.75 su bardağı,1. Hamuru yoğurup kısa dinlendirin. || 2. Patatesli iç hazırlayıp hıngelleri kapatın. || 3. Hıngeli 10 dakika haşlayıp tereyağıyla servis edin.
fasolada-corbasi-yunan-usulu,Fasolada Çorbası,CORBA,corbalar,gr,3,4,few-steps;short-step,Beyaz fasulye 1 su bardağı | Havuç 1 adet | Domates 2 adet | Zeytinyağı 1 yemek kaşığı | Su 5 su bardağı,1. Fasulyeyi 20 dakika haşlayın. || 2. Sebzeleri ekleyin. || 3. Çorbayı 10 dakika daha pişirin.
feijao-tropeiro-brezilya-usulu,Feijão Tropeiro,YEMEK,baklagil-yemekleri,br,3,4,few-steps;short-step,Haşlanmış fasulye 2 su bardağı | Manyok unu 0.75 su bardağı | Yumurta 2 adet | Soğan 1 adet | Sıvı yağ 1 yemek kaşığı,1. Soğanı 4 dakika pişirin. || 2. Yumurta ve fasulyeyi ekleyin. || 3. Manyok unuyla 6 dakika kavurun.
fellah-kofteli-yesil-mercimek-tavasi-mersin-usulu,Fellah Köfteli Yeşil Mercimek Tavası,YEMEK,baklagil-yemekleri,tr,3,4,few-steps;short-step,Yeşil mercimek 1 su bardağı | İnce bulgur 0.75 su bardağı | Domates salçası 1 yemek kaşığı | Soğan 1 adet | Su 3 su bardağı,1. Mercimeği 15 dakika haşlayın. || 2. Köfteleri hazırlayın. || 3. Hepsini tavada 8 dakika birleştirin.
karalahanali-lorlu-gozleme-trabzon-usulu,Karalahanalı Lorlu Gözleme,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 3 adet | Kara lahana 250 gr | Lor peyniri 150 gr | Tereyağı 1 yemek kaşığı,1. Karalahanayı 3 dakika çevirin. || 2. Harcı yufkaya pay edin. || 3. Gözlemeyi 10 dakika pişirin.
feta-zeytinli-yumurta-tava-yunan-usulu,Feta Zeytinli Yumurta Tava,KAHVALTI,kahvaltiliklar,gr,3,4,few-steps;short-step,Yumurta 3 adet | Feta peyniri 100 gr | Zeytin 8 adet | Zeytinyağı 1 tatlı kaşığı,1. Zeytini tavada kısa çevirin. || 2. Yumurtaları kırın. || 3. Fetayla 4 dakika pişirin.
