slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
pekin-ordegi,Pekin Ördeği,YEMEK,et-yemekleri,cn,3,3,few-steps,Bütün ördek 1 adet | Bal 3 yemek kaşığı | Soya sosu 3 yemek kaşığı | İnce pankek 12 adet | Salatalık 2 adet,1. Ördek derisini kurutup bal ve soya sosu karışımıyla kaplayın. || 2. 190°C fırında 90 dakika pişirin. || 3. Deriyi ve eti ince dilimleyip pankeklerle servis edin.
safranli-risotto,Safranlı Risotto,YEMEK,makarna-pilav,it,4,3,few-steps,Arborio pirinci 1.5 su bardağı | Sebze suyu 5 su bardağı | Soğan 1 adet | Tereyağı 3 yemek kaşığı | Parmesan peyniri 0.75 su bardağı | Safran 0.25 çay kaşığı,1. Soğanı tereyağında 4 dakika kavurun. || 2. Pirinci ekleyip 2 dakika çevirin. || 3. Sıcak sebze suyunu kepçe kepçe ekleyerek 22-25 dakika pişirin. || 4. Safran ve parmesanı ekleyip 3 dakika dinlendirin.
gazpacho,Gazpacho,CORBA,corbalar,es,3,3,few-steps,Domates 6 adet | Salatalık 1 adet | Kırmızı biber 1 adet | Sarımsak 1 diş | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı,1. Sebzeleri iri doğrayın. || 2. Sebzeleri zeytinyağı ve tuzla blenderdan geçirin. || 3. Çorbayı buzdolabında 60 dakika soğutun.
kibbeh,Kibbeh,YEMEK,et-yemekleri,me,4,3,few-steps,İnce bulgur 2 su bardağı | Dana kıyma 300 gr | Dana kıyma 250 gr | Soğan 1 adet | Ceviz 0.5 su bardağı,"1. Bulguru 15 dakika sıcak suda bekletin. || 2. Dış harcı kıyma ile 10 dakika yoğurun. || 3. İç harcı soğan, kıyma ve cevizle 12 dakika pişirin. || 4. Köfteleri doldurup kızgın yağda 6 dakika kızartın."
bibimbap,Bibimbap,YEMEK,makarna-pilav,kr,4,3,few-steps,Pirinç 2 su bardağı | Dana kıyma 250 gr | Ispanak 300 gr | Havuç 2 adet | Yumurta 4 adet | Soya sosu 3 yemek kaşığı | Susam yağı 1 yemek kaşığı,"1. Pirinci 18 dakika pişirin. || 2. Sebzeleri ayrı ayrı 3-4 dakika soteleyin. || 3. Kıymayı soya sosuyla 8 dakika pişirin. || 4. Kaselere pirinç, sebze, et ve yumurta yerleştirin."
pad-see-ew,Pad See Ew,YEMEK,makarna-pilav,th,4,3,few-steps,Pirinç eriştesi 350 gr | Tavuk göğsü 300 gr | Yumurta 2 adet | Koyu soya sosu 3 yemek kaşığı | İstiridye sosu 2 yemek kaşığı | Brokoli 2 su bardağı,"1. Erişteyi sıcak suda 8 dakika yumuşatın. || 2. Tavuğu wokta 5 dakika pişirin. || 3. Yumurta, brokoli ve erişteyi ekleyin. || 4. Soslarla 4 dakika yüksek ateşte çevirin."
hashasli-mercimekli-bukme-afyon-usulu,Haşhaşlı Mercimekli Bükme,YEMEK,hamur-isleri,tr,4,3,few-steps,Un 500 gr | Su 240 ml | Haşhaş ezmesi 4 yemek kaşığı | Haşlanmış yeşil mercimek 1.5 su bardağı | Kuru soğan 1 adet | Ayçiçek yağı 2 yemek kaşığı | Ayran 4 bardak,"1. Un ve suyla hamur yoğurup 20 dakika dinlendirin. || 2. Soğanı ayçiçek yağında çevirip mercimekle iç harcı hazırlayın. || 3. Hamuru açıp haşhaş ezmesi sürün, içi koyup rulo sarın. || 4. Bükmeyi 190°C fırında 25 dakika pişirip ayranla servis edin."
borulce-ezmesi-aydin-usulu,Aydın Börülce Ezmesi,SOS,soslar-dippler,tr,3,3,few-steps,Haşlanmış börülce 2 su bardağı | Sarımsak 1 diş | Limon suyu 1.5 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı,"1. Börülceyi süzüp ezme kabına alın. || 2. Sarımsak, limon suyu, zeytinyağı ve tuzu ekleyip karıştırın. || 3. Börülce ezmesini 10 dakika dinlendirip soğuk servis edin."
fasulye-tursulu-cavdar-corbasi-ordu-usulu,Fasulye Turşulu Çavdar Çorbası,CORBA,corbalar,tr,3,3,few-steps,Fasulye turşusu 250 gr | Çavdar yarma 0.75 su bardağı | Soğan 1 adet | Zeytinyağı 1 yemek kaşığı | Su 5 su bardağı,1. Soğanı zeytinyağında 4 dakika çevirin. || 2. Çavdar ve suyu ekleyip pişirin. || 3. Turşu fasulyeyi ekleyip 10 dakika daha kaynatın.
turunclu-irmik-tatlisi-mersin-usulu,Turunçlü İrmik Tatlısı,TATLI,tatlilar,tr,4,3,few-steps,İrmik 1 su bardağı | Süt 3 su bardağı | Şeker 0.5 su bardağı | Turunç suyu 2 yemek kaşığı | Turunç kabuğu 1 tatlı kaşığı,"1. Süt, irmik ve şekeri tencerede karıştırıp pişirmeye başlayın. || 2. Muhallebiyi 6 dakika koyulaştırın, turunç suyu ve kabuğunu ekleyin. || 3. Tatlıyı kaselere paylaştırıp soğumaya bırakın. || 4. Tatlıyı soğuk servis edin."
