slug,type,currentStepCount,minTarget,maxTarget,currentTitle,currentStepsJson
tarta-de-santiago-minik-usulu,TATLI,3,5,10,Tarta de Santiago,"[{""stepNumber"":1,""instruction"":""Hamuru hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Hamuru kalıba dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Keki 22 dakika pişirin."",""timerSeconds"":1320}]"
tarte-tatin,TATLI,4,5,10,Tarte Tatin,"[{""stepNumber"":1,""instruction"":""Şeker ve tereyağını tavada 8 dakika karamelize edin."",""timerSeconds"":480},{""stepNumber"":2,""instruction"":""Elmaları karamelin üzerine dizip 10 dakika pişirin."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Milföyü elmaların üzerine kapatın."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""190°C fırında 25 dakika pişirin."",""timerSeconds"":1500}]"
tavuk-gogsu,TATLI,3,5,10,Tavuk Göğsü,"[{""stepNumber"":1,""instruction"":""Tavuk göğsünü haşlayıp lif lif didikleyin."",""timerSeconds"":1200},{""stepNumber"":2,""instruction"":""Süt, şeker, pirinç unu ve nişastayı karıştırarak 20 dakika pişirin."",""timerSeconds"":1200},{""stepNumber"":3,""instruction"":""Tavuk ve tereyağını ekleyip 5 dakika çırparak pişirin."",""timerSeconds"":300}]"
toronto-akcaagacli-yulaf-bar,TATLI,4,5,10,Toronto Akçaağaçlı Yulaf Bar,"[{""stepNumber"":1,""instruction"":""Yulaf, ceviz, kuru üzüm ve tarçını karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Akçaağaç şurubunu ekleyip yapışkan harç hazırlayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Karışımı küçük tepsiye bastırarak yayın."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""175°C fırında 20-22 dakika pişirin."",""timerSeconds"":1260}]"
torrijas,TATLI,3,5,10,Torrijas,"[{""stepNumber"":1,""instruction"":""Sütü ılıtıp ekmek dilimlerini kısa süre içine batırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Ekmekleri çırpılmış yumurtaya bulayıp tavada iki yüzünü kızartın."",""timerSeconds"":420},{""stepNumber"":3,""instruction"":""Şeker ve tarçın karışımına bulayıp servis edin."",""timerSeconds"":null}]"
tosca-kaka,TATLI,3,5,10,Tosca Kaka,"[{""stepNumber"":1,""instruction"":""Kek hamurunu hazırlayıp kalıba dökün."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Keki 180°C fırında 22 dakika pişirin."",""timerSeconds"":1320},{""stepNumber"":3,""instruction"":""Bademli üst karışımı ekleyip 8 dakika daha pişirin."",""timerSeconds"":480}]"
treacle-tart,TATLI,3,5,10,Treacle Tart,"[{""stepNumber"":1,""instruction"":""Tart tabanını 10 dakika kör pişirin."",""timerSeconds"":600},{""stepNumber"":2,""instruction"":""Şurup, kırıntı ve limon kabuğunu karıştırıp tabana dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Tartı 25 dakika daha pişirin ve servis edin."",""timerSeconds"":1500}]"
trilece,TATLI,3,5,10,Trileçe,"[{""stepNumber"":1,""instruction"":""Yumurta ve şekeri çırpıp unla karıştırın, 170°C fırında 25-30 dakika pişirin."",""timerSeconds"":1800},{""stepNumber"":2,""instruction"":""Süt, krema ve süt tozunu çırpıp delinen kekin üzerine dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Karamel sosu yayın ve tatlıyı 3 saat soğutun."",""timerSeconds"":10800}]"
tulumba-tatlisi,TATLI,3,5,10,Tulumba Tatlısı,"[{""stepNumber"":1,""instruction"":""Şerbeti 15 dakika kaynatıp soğutun."",""timerSeconds"":900},{""stepNumber"":2,""instruction"":""Su ve unu pişirip hamuru soğutun, yumurtaları tek tek yedirin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Hamuru yağa sıkıp kızartın ve soğuk şerbete alın."",""timerSeconds"":1200}]"
turo-rudi-parfe-macar-usulu,TATLI,3,5,10,Túró Rudi Parfe,"[{""stepNumber"":1,""instruction"":""Lor ve yoğurdu pürüzsüz olana kadar karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Bardaklara meyve ve çikolatayla katmanlayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Parfeyi kısa süre soğutup servis edin."",""timerSeconds"":null}]"
turos-barack-kup-macar-usulu,TATLI,3,5,10,Macar Túrós Barack Kup,"[{""stepNumber"":1,""instruction"":""Lor peyniri ve limon kabuğunu karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Kayısıyı küçük doğrayıp balla harmanlayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kuplara kat kat doldurup soğuk servis edin."",""timerSeconds"":null}]"
turos-gomboc-macar-usulu,TATLI,3,5,10,Túrós Gombóc,"[{""stepNumber"":1,""instruction"":""Lor, yumurta ve yarım bardak galetayı karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Toplar yapıp 4 dakika haşlayın."",""timerSeconds"":240},{""stepNumber"":3,""instruction"":""Kalan galetaya bulayıp servis edin."",""timerSeconds"":null}]"
turos-lepeny,TATLI,3,5,10,Túrós Lepeny,"[{""stepNumber"":1,""instruction"":""Taban hamurunu hazırlayıp tepsiye yayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Lorlu içi üstüne yayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Tatlıyı 180°C fırında 30 dakika pişirin."",""timerSeconds"":1800}]"
turos-palacsinta-kup-macaristan-usulu,TATLI,3,5,10,Turos Palacsinta Kup,"[{""stepNumber"":1,""instruction"":""Lorlu içi hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Krepleri doldurup doğrayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kup katlarını kurup servis edin."",""timerSeconds"":null}]"
turron-yogurt-kup-ispanya-usulu,TATLI,3,5,10,İspanya Turron Yoğurt Kup,"[{""stepNumber"":1,""instruction"":""Yoğurt ve balı karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Turronu küçük parçalara ayırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kuplara kat kat doldurup soğuk servis edin."",""timerSeconds"":null}]"
turunc-recelli-yogurt-kup-antalya-usulu,TATLI,3,5,10,Turunç Reçelli Yoğurt Kup,"[{""stepNumber"":1,""instruction"":""Bademleri kuru tavada 3 dakika kokusu çıkana kadar kavurun."",""timerSeconds"":180},{""stepNumber"":2,""instruction"":""Yoğurt, bal ve limon kabuğunu karıştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Yoğurt ve turunç reçelini kuplara katmanlayıp bademle servis edin."",""timerSeconds"":null}]"
turunclu-irmik-tatlisi-mersin-usulu,TATLI,3,5,10,Turunçlü İrmik Tatlısı,"[{""stepNumber"":1,""instruction"":""Süt ve irmiği tencereye alın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Karışımı 10 dakika pişirin."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Turunçla tamamlayıp soğutun."",""timerSeconds"":null}]"
tvorog-zapekanka-rus-usulu,TATLI,3,5,10,Tvorog Zapekanka,"[{""stepNumber"":1,""instruction"":""Malzemeleri karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Harci kalıba yayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""190°C fırında 28 dakika pişirin."",""timerSeconds"":1680}]"
umm-ali,TATLI,3,5,10,Umm Ali,"[{""stepNumber"":1,""instruction"":""Milföyleri 200°C fırında 12 dakika kızartın."",""timerSeconds"":720},{""stepNumber"":2,""instruction"":""Sütü şekerle ısıtın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Milföy, süt ve yemişleri 180°C fırında 20 dakika pişirin."",""timerSeconds"":1200}]"
un-helvasi-tekirdag-usulu,TATLI,3,5,10,Un Helvası,"[{""stepNumber"":1,""instruction"":""Şeker ve suyu ayrı kapta kaynatmadan çözdürün."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Tereyağında unu 12 dakika renk alana kadar kavurun."",""timerSeconds"":720},{""stepNumber"":3,""instruction"":""Şerbeti dikkatle ekleyip helvayı toparlayın ve tarçınla servis edin."",""timerSeconds"":null}]"
uunijuusto,TATLI,3,5,10,Uunijuusto,"[{""stepNumber"":1,""instruction"":""Lor, süt, yumurta ve balı hafifçe karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Karışımı fırın kabına dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""180°C fırında 45 dakika pişirin."",""timerSeconds"":2700}]"
uzum-hosafli-irmik-kupu-manisa-usulu,TATLI,3,5,10,Üzüm Hoşaflı İrmik Kupu,"[{""stepNumber"":1,""instruction"":""Süt, irmik ve şekeri tencerede 8 dakika koyulaştırın."",""timerSeconds"":480},{""stepNumber"":2,""instruction"":""Kuru üzümü 3 yemek kaşığı sıcak suda 5 dakika bekletin."",""timerSeconds"":300},{""stepNumber"":3,""instruction"":""İrmiği kupa paylaştırıp üzüm ve tarçınla soğuk servis edin."",""timerSeconds"":null}]"
uzumlu-aside-tatlisi-nevsehir-usulu,TATLI,3,5,10,Üzümlü Aside Tatlısı,"[{""stepNumber"":1,""instruction"":""Unu tereyağında 5 dakika kavurun."",""timerSeconds"":300},{""stepNumber"":2,""instruction"":""Şekerli suyu ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Üzümü katıp koyulaştırın."",""timerSeconds"":300}]"
uzumlu-pelte-tokat-usulu,TATLI,4,5,10,Tokat Üzümlü Pelte,"[{""stepNumber"":1,""instruction"":""Mısır nişastasını 1 su bardağı üzüm suyuyla açın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Kalan üzüm suyu ve şekeri tencerede ısıtın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Nişastalı karışımı ekleyip pelteyi koyulaşana kadar pişirin."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""Tatlıyı kaselere paylaştırıp soğuk servis edin."",""timerSeconds"":null}]"
uzumlu-tahinli-un-helvasi-konya-usulu,TATLI,3,5,10,Üzümlü Tahinli Un Helvası,"[{""stepNumber"":1,""instruction"":""Şerbeti hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Unu kavurun."",""timerSeconds"":480},{""stepNumber"":3,""instruction"":""Tahin ve şerbetle helvayı toparlayın."",""timerSeconds"":null}]"
vanilla-slice-australian,TATLI,4,5,10,Vanilla Slice,"[{""stepNumber"":1,""instruction"":""Milföyü iki tepsi halinde 200°C fırında 15 dakika pişirin."",""timerSeconds"":900},{""stepNumber"":2,""instruction"":""Süt, yumurta sarısı, şeker, nişasta ve vanilyayla koyu krema hazırlayın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kremayı milföy katları arasına yayıp tatlıyı soğutun."",""timerSeconds"":null},{""stepNumber"":4,""instruction"":""Vanilla slice üzerine pudra şekeri serpip dilimleyin."",""timerSeconds"":null}]"
