slug,type,currentStepCount,minTarget,maxTarget,currentTitle,currentStepsJson
naneli-guava-mojito-kuba-usulu,KOKTEYL,3,4,6,Naneli Guava Mojito,"[{""stepNumber"":1,""instruction"":""Naneyi bardağın dibinde hafifçe bastırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Rom ve guava suyunu buzla birlikte ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Sodayla tamamlayıp karıştırmadan servis edin."",""timerSeconds"":null}]"
narenciyeli-cin-tonik-antalya-usulu,KOKTEYL,3,4,6,Narenciyeli Cin Tonik,"[{""stepNumber"":1,""instruction"":""Bardağı buzla doldurun."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Cini ve turunç suyunu ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Tonikle tamamlayın."",""timerSeconds"":null}]"
narenciyeli-raki-fizz-alanya-usulu,KOKTEYL,3,4,6,Narenciyeli Rakı Fizz,"[{""stepNumber"":1,""instruction"":""Bardağı buzla hazırlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Sıvıları ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Sodayla tamamlayıp servis edin."",""timerSeconds"":null}]"
narenciyeli-raki-spritz-adana-usulu,KOKTEYL,3,4,6,Narenciyeli Rakı Spritz,"[{""stepNumber"":1,""instruction"":""Bardağı buzla doldurun."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Rakı, portakal suyu ve limon suyunu ekleyip karıştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Soda ile tamamlayıp soğuk servis edin."",""timerSeconds"":null}]"
narenciyeli-rakili-fizz-izmir-usulu,KOKTEYL,3,4,6,Narenciyeli Rakılı Fizz,"[{""stepNumber"":1,""instruction"":""Bardağı buzla doldurun."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Rakı ve mandalina suyunu ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Soda ile tamamlayıp portakal kabuğuyla servis edin."",""timerSeconds"":null}]"
negroni,KOKTEYL,3,4,6,Negroni,"[{""stepNumber"":1,""instruction"":""Karıştırma bardağına cin, Campari, vermut ve buzu alın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""20 saniye bar kaşığıyla karıştırın."",""timerSeconds"":20},{""stepNumber"":3,""instruction"":""Buzlu kısa bardağa süzün ve portakal kabuğuyla servis edin."",""timerSeconds"":null}]"
negroni-sbagliato,KOKTEYL,3,4,6,Negroni Sbagliato,"[{""stepNumber"":1,""instruction"":""Buz dolu bardağa kampari ve vermutu koyun."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Proseccoyu ekleyip tek tur karıştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Portakal dilimiyle servis edin."",""timerSeconds"":null}]"
old-fashioned,KOKTEYL,3,4,6,Old Fashioned,"[{""stepNumber"":1,""instruction"":""Şeker ve bitteri bardakta ezin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Buz ve viskiyi ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Kokteyli 20 saniye karıştırıp portakal kabuğu ekleyin."",""timerSeconds"":20}]"
paloma,KOKTEYL,3,4,6,Paloma,"[{""stepNumber"":1,""instruction"":""Bardağın kenarını limonla ıslatıp tuza batırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Buz, tekila ve misket limonu suyunu ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Greyfurt sodasını döküp 5 saniye karıştırın."",""timerSeconds"":5}]"
paper-plane,KOKTEYL,3,4,6,Paper Plane,"[{""stepNumber"":1,""instruction"":""Tüm malzemeleri buz dolu shakera alın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Shakerı 12 saniye çalkalayın."",""timerSeconds"":12},{""stepNumber"":3,""instruction"":""Soğutulmuş coupe bardağa süzün."",""timerSeconds"":null}]"
