slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
buraczki-z-chrzanem-polonya-usulu,Buraczki z Chrzanem,salatalar,SALATA,pl,0,Pancar 3 adet | Yaban turbu 1 yemek kaşığı | Elma sirkesi 1 tatlı kaşığı | Tuz 0.25 çay kaşığı,1. Pancarı haşlayıp soğutun. || 2. Rendeleyip yaban turbu ve sirkeyle karıştırın. || 3. Salatayı soğuk servis edin.,Pancarı tamamen soğuttuktan sonra rendelemek salatanın daha temiz kalmasını sağlar.,Tabağı tahta masaya koyup yanına ince dilimlenmiş limon ve bir kase sarımsaklı yoğurt iliştirin.
bursa-inegol-kofte,Bursa İnegöl Köfte,et-yemekleri,YEMEK,tr,0,Dana kıyma 800 gr | Karbonat 1 çay kaşığı | Soğan suyu 2 yemek kaşığı | Tuz 1.5 tatlı kaşığı,"1. Kıyma, karbonat, soğan suyu ve tuzu yoğurun. || 2. Harcı buzdolabında 6 saat dinlendirin. || 3. Köfteleri ızgarada 15 dakika pişirin.",Köfte harcını en az 6 saat dinlendirin; karbonat dokuyu esnek yapar.,"Piyaz, köz biber ve ekmekle servis edin."
butter-chicken,Butter Chicken,tavuk-yemekleri,YEMEK,in,0,Tavuk kalça 700 gr | Yoğurt 0.75 su bardağı | Domates püresi 2 su bardağı | Tereyağı 60 gr | Garam masala 1 tatlı kaşığı | Krema 0.5 su bardağı,1. Tavuğu yoğurt ve baharatla 30 dakika marine edin. || 2. Tavuğu tavada 10 dakika mühürleyin. || 3. Domates püresi ve tereyağını ekleyip 20 dakika pişirin. || 4. Kremayı ekleyip 5 dakika daha pişirin.,Tavuğu yoğurtlu marinada en az 30 dakika bekletin; sos içinde kuru kalmaz.,Naan veya basmati pilavla servis edin.
buzlu-pandan-kahvesi-vietnam-usulu,Buzlu Pandan Kahvesi,kahve-sicak-icecekler,ICECEK,vn,0,Demli kahve 1 su bardağı | Pandan şurubu 2 yemek kaşığı | Su 0.5 su bardağı | Buz 1 su bardağı,1. Kahveyi soğutun. || 2. Pandan şurubuyla karıştırın. || 3. Buzla servis edin.,Kahveyi önceden soğutmak buz eklendiğinde tadın sulanmasını azaltır.,Soğuk servis edin.
ca-kho-to,Ca Kho To,et-yemekleri,YEMEK,tr,0,Levrek fileto 700 gr | Soya sosu 3 yemek kaşığı | Şeker 1 yemek kaşığı | Taze soğan 3 dal,1. Şekeri tencerede eritip soya sosu ekleyin. || 2. Balığı sosa yerleştirip 25 dakika kısık ateşte pişirin. || 3. Taze soğanla sıcak servis edin.,Balığı derisi aşağıda tavaya koyup 3 dakika kıpırdatmadan bırakın; deri ayrılmadan çıtır tabaka oluşur.,"Domatesli pilavla ve közlenmiş yeşil biberle birlikte, yanında bir kase yoğurtla tamamlayın."
ca-phe-sua-chua,Ca Phe Sua Chua,kahve-sicak-icecekler,ICECEK,vn,0,Koyu filtre kahve 160 ml | Yoğurt 250 gr | Yoğunlaştırılmış süt 3 yemek kaşığı | Buz 1 su bardağı,1. Kahveyi demleyip soğutun. || 2. Yoğurt ve yoğunlaştırılmış sütü çırpın. || 3. Buz üzerinde yoğurt ve kahveyi katlayın.,Kahveyi tamamen soğutun; sıcak kahve yoğurdu kesebilir.,Uzun bardakta buzla ve kaşıkla servis edin.
ca-phe-sua-da,Cà Phê Sữa Đá,kahve-sicak-icecekler,ICECEK,vn,0,Vietnam kahvesi 2 yemek kaşığı | Yoğunlaştırılmış süt 2 yemek kaşığı | Buz 1 su bardağı,1. Yoğunlaştırılmış sütü bardağın dibine koyun. || 2. Kahveyi filtrede 4-5 dakika demleyin. || 3. Buz ekleyip karıştırarak servis edin.,Kahveyi çok ince değil orta-ince öğütün; filtre çok yavaş akarsa içecek gereğinden sertleşir.,Uzun bardakta bol buzla servis edin.
ca-phe-sua-da-smoothie-vietnam-usulu,Cà Phê Sữa Đá Smoothie,smoothie-shake,ICECEK,vn,0,Demlenmiş kahve 1 su bardağı | Yoğunlaştırılmış süt 3 yemek kaşığı | Süt 0.5 su bardağı | Buz 1 su bardağı,1. Kahveyi soğutun. || 2. Tüm malzemeyi blenderda çekin. || 3. İçeceği hemen servis edin.,Kahveyi önceden soğutmak blenderda buzun hızlı erimesini önler.,"Bardağın ağzını tuz veya şekerle kaplayıp (rim) süsleyin, içine dik bir kamış koyun."
ca-ri-ga-vietnam-usulu,Cà Ri Gà,tavuk-yemekleri,YEMEK,vn,0,Tavuk but 700 gr | Hindistan cevizi sütü 1.5 su bardağı | Köri 1 yemek kaşığı | Patates 2 adet | Havuç 2 adet,1. Tavuğu 6 dakika mühürleyin. || 2. Sebze ve sos malzemelerini ekleyin. || 3. Yemeği 18 dakika pişirin.,Tavuğu kısa mühürlemek sos içinde liflerinin daha diri kalmasına yardım eder.,Yanına patates püresi ve karamelize soğan koyarak tavuk ızgarayı öne çıkarın.
cacik-dip,Cacık Dip,soslar-dippler,SOS,tr,0,Süzme yoğurt 2 su bardağı | Salatalık 2 adet | Sarımsak 1 diş | Dereotu 0.25 demet | Zeytinyağı 1 yemek kaşığı | Tuz 0.5 çay kaşığı,"1. Salatalıkları rendeleyip suyunu sıkın. || 2. Yoğurt, salatalık, ezilmiş sarımsak, dereotu ve tuzu karıştırın. || 3. Üzerine zeytinyağı gezdirip soğuk servis edin.",Salatalığın suyunu sıkın; dip sos servis tabağında sulanmaz.,Sebze çubukları veya köfte yanında servis edin.
