slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
isotlu-kabak-borani-sanliurfa-usulu,Şanlıurfa İsotlu Kabak Borani,sebze-yemekleri,YEMEK,tr,0,Kabak 3 adet | Yoğurt 1.5 su bardağı | İsot 1 çay kaşığı | Sarımsak 1 diş | Zeytinyağı 1 yemek kaşığı,1. Kabağı küp doğrayıp 8 dakika soteleyin. || 2. Yoğurt ve sarımsağı karıştırın. || 3. Kabağı yoğurtla buluşturup isot serperek servis edin.,Kabağı fazla öldürmeden pişirmek boranide diri bir doku bırakır.,Soğuk bekletip ertesi gün derin tabağa alıp üzerine taze fesleğen yaprağı ekleyerek servis edin.
isotlu-mercimek-ezmesi-sanliurfa-usulu,Şanlıurfa İsotlu Mercimek Ezmesi,soslar-dippler,SOS,tr,0,Kırmızı mercimek 1 su bardağı | İsot 1 tatlı kaşığı | Sarımsak 2 diş | Tırnak pide 1 adet,1. Mercimeği 12 dakika haşlayın. || 2. Mercimeği sarımsak ve isotla ezin. || 3. Ezmeyi pideyle servis edin.,Mercimeği fazla sulu bırakmamak ezmenin ekmek üstünde akmasını önler.,Tırnak pideyle servis edin.
isotlu-nohutlu-semsek-sanliurfa-usulu,Şanlıurfa İsotlu Nohutlu Şemsek,hamur-isleri,APERATIF,tr,0,Un 2 su bardağı | Haşlanmış nohut 1.5 su bardağı | İsot 1 tatlı kaşığı | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı | Su 0.75 su bardağı,"1. Un, su, 1 yemek kaşığı zeytinyağı ve tuzla hamur yoğurun. || 2. Nohudu isot ve kalan yağla ezin, açtığınız hamura yerleştirip kapatın. || 3. Şemsekleri 200°C fırında 18 dakika pişirin.",İç harcı kuru tutmak açılmayı önler.,Yanına ayran koyarak sıcak servis edin.
isotlu-patates-borek-tava-sanliurfa-usulu,İsotlu Patates Börek Tava,hamur-isleri,KAHVALTI,tr,0,Yufka 2 adet | Patates 3 adet | İsot 1 tatlı kaşığı | Zeytinyağı 2 yemek kaşığı,1. Patates harcını hazırlayın. || 2. Yufkayı harçla kapatın. || 3. Tavada 10 dakika pişirin.,Patates harcını soğutarak böreğin yufkayı yumuşatmasını önleyin.,"Sahan tabakta, yanına taze kıyılmış nane ve bir kase zeytinyağlı yoğurtla verin."
isotlu-sehriye-corbasi-sanliurfa-ev-usulu,Şanlıurfa İsotlu Şehriye Çorbası,corbalar,CORBA,tr,0,Arpa şehriye 1 su bardağı | Tereyağı 15 gr | İsot 0.5 çay kaşığı | Su 4 su bardağı | Tuz 0.5 çay kaşığı,1. Şehriyeyi tereyağında 3 dakika kavurun. || 2. İsot ve suyu ekleyin. || 3. Çorbayı 10 dakika pişirin.,İsotu yağda çok tutmamak acılığın dengeli kalmasını sağlar.,Yanına çıtır bruşetta ve sarımsaklı yoğurt sosu koyup kışlık tabak kurgulayın.
isotlu-sogan-kavurmasi-sanliurfa-usulu,Şanlıurfa İsotlu Soğan Kavurması,kahvaltiliklar,KAHVALTI,tr,0,Kuru soğan 3 adet | Yumurta 3 adet | İsot 1 tatlı kaşığı | Tırnak pide 1 adet | Zeytinyağı 1 yemek kaşığı,"1. Soğanları ince piyazlık doğrayın. || 2. Soğanı yağda 6 dakika yumuşatıp isotu ekleyin. || 3. Yumurtaları kırıp 3 dakika daha pişirin, pideyle servis edin.",İsotu yağda çok uzun tutmamak acılığın yanık tada dönmesini önler.,Yanına tırnak pideyle sıcak servis edin.
isotlu-susamli-patlican-ezmesi-adiyaman-usulu,İsotlu Susamlı Patlıcan Ezmesi,aperatifler,APERATIF,tr,0,Köz patlıcan 3 adet | İsot 1 tatlı kaşığı | Susam 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Patlıcanı ezin. || 2. Susamı kısa süre kavurun. || 3. Tüm malzemeyi karıştırıp servis edin.,Susamı kuru tavada çevirmek ezmeye daha canlı bir aroma verir.,Soğuk servis edin.
isotlu-tandir-boregi-sanliurfa-usulu,İsotlu Tandır Böreği,hamur-isleri,ATISTIRMALIK,tr,0,Yufka 4 adet | Soğan 1 adet | İsot 1 tatlı kaşığı | Ayçiçek yağı 3 yemek kaşığı | Maydanoz 0.25 demet,1. İç harcı hazırlayıp soğutun. || 2. Yufkaları harçla katlayın. || 3. Böreği 22 dakika pişirin.,İç harcı ılıtmak yufkanın ıslanmasını azaltır.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
isotlu-tava-eriste-siirt-usulu,İsotlu Tava Erişte,makarna-pilav,YEMEK,tr,0,Erişte 3 su bardağı | Tereyağı 2 yemek kaşığı | İsot 1 tatlı kaşığı | Ceviz 0.5 su bardağı,1. Erişteyi haşlayın. || 2. Tereyağını eritip isotla açın. || 3. Erişte ve cevizle karıştırın.,İsotu ateşten aldıktan sonra eklemek rengini canlı bırakır.,Rendelenmiş parmesan ve taze fesleğen yapraklarıyla sıcak servis edin.
isotlu-tavuk-sis-sanliurfa-usulu,İsotlu Tavuk Şiş,tavuk-yemekleri,YEMEK,tr,0,Tavuk göğsü 700 gr | İsot 1 yemek kaşığı | Sarımsak 2 diş | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı,1. Tavuğu marineyle karıştırın. || 2. Şişlere dizin. || 3. Şişleri toplam 12 dakika pişirin.,Marineyi kısa ama yoğun tutmak tavuğun suyunu kaybetmeden isot tadını almasını sağlar.,"Pirinç pilavı veya buharı çekmiş bulgurla birlikte, yanında limonlu yeşillik karışımıyla tamamlayın."
