slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
el-presidente-kuba-usulu,El Presidente,KOKTEYL,kokteyller,cu,4,3,no-time,Beyaz rom 45 ml | Kuru vermut 25 ml | Portakal likörü 10 ml | Buz 1 su bardağı,"1. Karıştırma bardağına beyaz rom, kuru vermut ve portakal likörünü alın. || 2. Buzu ekleyip karışımı 15 saniye soğuyana kadar çevirin. || 3. İçeceği soğuk kokteyl bardağına süzün. || 4. Kokteyli bekletmeden soğuk servis edin."
misir-yarmali-nohut-corbasi-sinop-usulu,Mısır Yarmalı Nohut Çorbası,CORBA,corbalar,tr,3,3,few-steps,Haşlanmış nohut 1 su bardağı | Mısır yarması 0.75 su bardağı | Soğan 1 adet | Su 5 su bardağı | Nane 0.5 çay kaşığı,1. Soğanı 4 dakika çevirin. || 2. Mısır yarması ve suyu ekleyin. || 3. Nohutla birlikte 18 dakika pişirin.
hamsili-karalahana-sote-giresun-ev-usulu,Giresun Hamsili Karalahana Sote,YEMEK,et-yemekleri,tr,3,3,few-steps,Hamsi fileto 250 gr | Karalahana 1 demet | Kuru soğan 1 adet | Zeytinyağı 1 yemek kaşığı | Mısır unu 1 yemek kaşığı,1. Soğanı yağda 4 dakika çevirin. || 2. Karalahanayı ve mısır ununu ekleyip 5 dakika soteleyin. || 3. Hamsiyi katıp 6 dakika daha pişirin.
pollo-al-ajillo-ispanya-usulu,Pollo al Ajillo,YEMEK,tavuk-yemekleri,es,3,3,few-steps,Tavuk but 600 gr | Sarımsak 6 diş | Zeytinyağı 2 yemek kaşığı | Limon suyu 1 tatlı kaşığı | Tuz 0.75 çay kaşığı,1. Tavuğu tuzlayın. || 2. Tavada tavukları 12 dakika pişirin. || 3. Sarımsak ve limon suyunu ekleyip 4 dakika daha çevirin.
lorlu-kabak-salatasi-mugla-usulu,Lorlu Kabak Salatası,SALATA,salatalar,tr,3,3,few-steps,Kabak 3 adet | Lor peyniri 150 gr | Dereotu 0.25 demet | Zeytinyağı 1 yemek kaşığı | Limon suyu 1 tatlı kaşığı,1. Kabağı tavada 6 dakika çevirin. || 2. Kabağı soğutup diğer malzemelerle karıştırın. || 3. Salatayı servis edin.
adacayli-seftali-icecegi-fethiye-usulu,Adaçaylı Şeftali İçeceği,ICECEK,icecekler,tr,4,3,no-time,Şeftali püresi 1 su bardağı | Adaçayı demliği 1 su bardağı | Su 2 su bardağı | Buz 1 su bardağı,1. Adaçayını demleyip tamamen soğuyana kadar bekletin. || 2. Şeftali püresini suyla açıp sürahide pürüzsüz biçimde karıştırın. || 3. Soğuyan adaçayını ekleyip içeceği son kez karıştırın. || 4. Buzla doldurulmus bardaklarda çok soğuk servis edin.
corekotlu-un-helvasi-ankara-usulu,Çörekotlu Un Helvası,TATLI,tatlilar,tr,5,3,no-time,Un 1 su bardağı | Tereyağı 90 gr | Şeker 0.5 su bardağı | Su 1.5 su bardağı | Çörekotu 1 tatlı kaşığı,"1. Şeker ile suyu kısa kaynatın, şerbeti ocaktan alıp ılık bekletin. || 2. Tereyağını eritip unu kısık ateşte sabırla kavurun. || 3. Un koyu kum rengine gelince çörekotunu ekleyip 30 saniye karıştırın. || 4. Şerbeti dikkatlice dökün, helva toparlanana kadar 4 dakika çevirin. || 5. Ocaktan alıp 5 dakika dinlendirip sonra kaşıklayarak servis edin."
susurluk-ayran-asi-balikesir-usulu,Balıkesir Susurluk Ayran Aşı,CORBA,corbalar,tr,3,3,few-steps,Yoğurt 1.5 su bardağı | Haşlanmış aşurelik buğday 1 su bardağı | Haşlanmış nohut 0.5 su bardağı | Su 2 su bardağı | Nane 1 tatlı kaşığı,1. Yoğurt ve suyu çırpın. || 2. Buğday ve nohudu ekleyip 5 dakika ısıtın. || 3. Nane ekleyip soğutarak servis edin.
domatesli-sardalya-pilaki-canakkale-usulu,Çanakkale Domatesli Sardalya Pilaki,YEMEK,et-yemekleri,tr,3,3,few-steps,Sardalya 500 gr | Domates 3 adet | Sarımsak 3 diş | Zeytinyağı 2 yemek kaşığı | Maydanoz 0.25 demet,1. Domates ve sarımsağı tencerede 5 dakika çevirin. || 2. Sardalyaları ekleyip kapağı kapatın. || 3. Yemeği 12 dakika pişirip maydanozla servis edin.
otlu-kete-dilimi-kars-usulu,Otlu Kete Dilimi,KAHVALTI,hamur-isleri,tr,5,3,no-time,Un 2.5 su bardağı | Tereyağı 100 gr | Karışık ot 1 su bardağı | Su 0.75 su bardağı,"1. Un, su ve tereyağıyla yumuşak hamur yoğurup dinlendirin. || 2. Karışık otu ince kıyıp hamurun içine harç olarak hazırlayın. || 3. Hamuru açın, otlu içi serip katlayarak kete şekli verin. || 4. Keteyi 190°C fırında 25-30 dakika pişirin. || 5. Dilimleyip ılık halde servis edin."
