slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
sbiten,Sbiten,kahve-sicak-icecekler,ICECEK,ru,0,Su 1 litre | Bal 6 yemek kaşığı | Tarçın 1 çubuk | Karanfil 3 adet,1. Su ve baharatları 10 dakika kaynatın. || 2. Tencereyi ocaktan alıp balı ekleyin. || 3. Süzerek sıcak servis edin.,Baharatı hafif tutun; sbiten bal tadını bastırmadan ısınma hissi vermeli.,Kupada sıcak servis edin.
scallion-pancake-cin-sokak-usulu,Scallion Pancake,hamur-isleri,YEMEK,cn,0,Un 2 su bardağı | Taze soğan 4 dal | Sıvı yağ 3 yemek kaşığı | Tuz 0.5 çay kaşığı | Ilık su 0.75 su bardağı,"1. Un, tuz ve suyla hamur yoğurun. || 2. Hamuru açıp yağ ve taze soğan serpin. || 3. Katlayıp tavada toplam 8 dakika pişirin.",Hamuru rulo yaptıktan sonra kısa dinlendirmek katların daha net açılmasını sağlar.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
scotch-broth-ingiliz-usulu,Scotch Broth,corbalar,CORBA,gb,0,Kuzu kuşbaşı 250 gr | Arpa 0.5 su bardağı | Havuç 2 adet | Patates 1 adet | Su 5 su bardağı,1. Et ve suyu tencereye alın. || 2. Arpa ve sebzeleri ekleyin. || 3. Çorbayı 40 dakika pişirip servis edin.,Arpayı önceden yıkamak çorbanın berraklığını artırır.,"Taze doğranmış dereotu ve bir damla zeytinyağıyla sunum kurun, yanına kıtır ekmek iliştirin."
scotch-egg-ingiliz-usulu,İngiliz Scotch Egg,atistirmaliklar,ATISTIRMALIK,gb,0,Yumurta 4 adet | Dana kıyma 300 gr | Galeta unu 1 su bardağı | Tuz 0.75 çay kaşığı | Sıvı yağ 1.5 su bardağı,1. Yumurtaları 6 dakika haşlayıp soyun. || 2. Yumurtaları kıyma ile kaplayıp galeta ununa bulayın. || 3. Kızgın yağda toplam 6 dakika kızartın.,Yumurtaları tam katılaştırmadan soğutmak içte daha iyi sonuç verir.,Servis tabağının kenarına limon dilimi ve maydanoz dalları yerleştirerek renk ekleyin.
sebit-yaglamasi,Şebit Yağlaması,hamur-isleri,YEMEK,tr,0,Un 500 gr | Kuru maya 1 tatlı kaşığı | Su 300 ml | Dana kıyma 350 gr | Soğan 1 adet | Domates rendesi 250 ml | Tuz 1.5 çay kaşığı | Yoğurt 300 gr | Sarımsak 2 diş,"1. Un, maya ve suyla yumuşak bir hamur yoğurup 30 dakika dinlendirin. || 2. Kıyma, soğan, domates rendesi ve tuzu tavada suyunu çekene kadar pişirin. || 3. Bezeleri ince açıp tavada pişirin, kıymalı harçla katlayın ve sarımsaklı yoğurtla servis edin.",Şebitleri tavada fazla kurutmayın; katlanacak kadar yumuşak kalmaları gerekir.,Üzerine sarımsaklı yoğurt gezdirerek sıcak servis edin.
sebze-corbasi,Sebze Çorbası,corbalar,CORBA,tr,0,Havuç 1 adet | Kabak 1 adet | Patates 1 adet | Kereviz sapı 1 dal | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Su 5 su bardağı | Tuz 1 çay kaşığı,1. Soğanı zeytinyağında 3 dakika kavurun. || 2. Doğranmış sebzeleri ve suyu ekleyin. || 3. Sebzeler yumuşayana kadar 22-25 dakika pişirin.,Sebzeleri küçük doğrayın; kısa sürede yumuşar ve çorba homojen olur.,Limon ve maydanozla servis edin.
sebzeli-chow-mein,Sebzeli Chow Mein,makarna-pilav,YEMEK,cn,0,Buğday eriştesi 350 gr | Lahana 250 gr | Havuç 2 adet | Soya sosu 3 yemek kaşığı | Susam yağı 1 yemek kaşığı,"1. Erişteyi haşlayıp süzün. || 2. Lahana ve havucu wokta 4 dakika soteleyin. || 3. Erişte, soya sosu ve susam yağını ekleyip 3 dakika çevirin.",Sebzeleri ince kesin; kısa sürede pişer ve diri dokusunu korur.,Acı yağ ve taze soğanla servis edin.
sebzeli-dumpling,Sebzeli Dumpling,hamur-isleri,YEMEK,cn,0,Un 2.5 su bardağı | Lahana 2 su bardağı | Mantar 200 gr | Havuç 1 adet | Soya sosu 2 yemek kaşığı | Susam yağı 1 yemek kaşığı,1. Un ve suyla hamur yoğurup 20 dakika dinlendirin. || 2. Sebzeleri ince doğrayıp soya sosuyla karıştırın. || 3. Hamuru açıp dolguyla kapatın. || 4. Dumplingleri 12-15 dakika buharda pişirin.,Kenarları suyla ıslatıp sıkı kapatın; buharda açılmaz.,Soya sosu ve susam yağıyla servis edin.
sebzeli-goce-kofte-nevsehir-usulu,Sebzeli Göce Köfte,sebze-yemekleri,YEMEK,tr,0,Göce 1 su bardağı | Havuç 1 adet | Kabak 1 adet | Soğan 1 adet | Zeytinyağı 1 yemek kaşığı,1. Göceyi ıslatın. || 2. Sebzeleri rendeleyip karıştırın. || 3. Köfteleri tavada 8 dakika pişirin.,Göceyi önceden ıslatmak köftelerin tavada daha iyi tutunmasını sağlar.,"Sıcak pide veya lavaşla birlikte tabakta sunun, üstüne bir kaşık tahin tarator düşünülebilir."
sebzeli-guvec,Sebzeli Güveç,sebze-yemekleri,YEMEK,tr,0,Patlıcan 2 adet | Patates 2 adet | Kabak 2 adet | Biber 3 adet | Domates 3 adet | Zeytinyağı 0.5 çay bardağı | Tuz 1 çay kaşığı,"1. Sebzeleri iri doğrayıp güveç kabına alın. || 2. Domates, zeytinyağı ve tuzu ekleyip karıştırın. || 3. Güveci 180°C fırında 65-70 dakika pişirin.",Sebzeleri iri bırakın; uzun pişirme sonunda ezilmeden kalır.,Yanında sade pilavla servis edin.
sebzeli-noodle,Sebzeli Noodle,makarna-pilav,YEMEK,tr,0,Noodle 300 gr | Havuç 1 adet | Kabak 1 adet | Kırmızı biber 1 adet | Soya sosu 4 yemek kaşığı | Susam yağı 1 yemek kaşığı | Susam 1 yemek kaşığı,"1. Noodleları paket süresine göre haşlayıp süzün. || 2. Jülyen sebzeleri susam yağında 4-5 dakika soteleyin. || 3. Noodle, soya sosu ve susamı ekleyip 2 dakika karıştırın.",Sebzeleri yüksek ateşte kısa süre pişirin; renkleri ve dirilikleri korunur.,Üzerine susam serperek servis edin.
sebzeli-paella,Sebzeli Paella,makarna-pilav,YEMEK,es,0,Paella pirinci 2 su bardağı | Sebze suyu 5 su bardağı | Kırmızı biber 2 adet | Bezelye 1 su bardağı | Enginar kalbi 6 adet | Safran 0.25 çay kaşığı,"1. Sebzeleri geniş tavada 8 dakika soteleyin. || 2. Pirinç, sebze suyu ve safranı ekleyin. || 3. Paellayı 25-30 dakika karıştırmadan pişirin.",Pirinç eklendikten sonra karıştırmayın; tabanda hafif kızarmış katman oluşur.,Limon dilimleriyle servis edin.
sebzeli-spring-roll,Sebzeli Spring Roll,aperatifler,APERATIF,cn,0,Pirinç kağıdı 8 adet | Havuç 1 adet | Salatalık 1 adet | Marul 8 yaprak | Nane 12 yaprak | Yer fıstığı ezmesi 3 yemek kaşığı | Soya sosu 2 yemek kaşığı,1. Sebzeleri ince şeritler halinde doğrayın. || 2. Pirinç kağıtlarını ılık suda yumuşatıp sebzelerle sarın. || 3. Yer fıstığı ezmesi ve soya sosunu karıştırıp yanında verin.,Pirinç kağıdını ılık suda kısa süre yumuşatın; fazla beklerse yırtılır.,Yer fıstıklı sosla servis edin.
sebzeli-tarhonya-pilavi-macaristan-usulu,Sebzeli Tarhonya Pilavı,makarna-pilav,YEMEK,hu,0,Tarhonya 1.5 su bardağı | Biber 2 adet | Domates 2 adet | Zeytinyağı 1 yemek kaşığı | Su 2.5 su bardağı,1. Sebzeleri 5 dakika soteleyin. || 2. Tarhonyayı ekleyip çevirin. || 3. Suyunu verip 12 dakika pişirin.,Tarhonyayı önce kısa kavurmak tencerede diri bir doku bırakır.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
