slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
skordalia,Skordalia,SOS,soslar-dippler,gr,3,4,few-steps;short-step,Patates 500 gr | Sarımsak 4 diş | Zeytinyağı 100 ml | Sirke 2 yemek kaşığı,1. Patatesleri 20 dakika haşlayın. || 2. Sarımsağı ezip patatesle karıştırın. || 3. Zeytinyağı ve sirkeyi ekleyip pürüzsüz ezme yapın.
rebujito-limon-fizz-ispanyol-usulu,Rebujito Limon Fizz,KOKTEYL,kokteyller,es,3,4,few-steps;short-step,Beyaz şarap 0.5 su bardağı | Limon suyu 2 yemek kaşığı | Soda 1 su bardağı | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. İçki ve limonu ekleyin. || 3. Sodayla tamamlayın.
ensalada-de-aguacate,Ensalada de Aguacate,SALATA,salatalar,tr,3,4,few-steps;short-step,Avokado 3 adet | Kırmızı soğan 1 adet | Limon suyu 2 yemek kaşığı | Zeytinyağı 3 yemek kaşığı,"1. Avokadoları iri dilimleyin. || 2. Kırmızı soğanı ince doğrayın. || 3. Avokado, soğan, limon ve zeytinyağını nazikçe karıştırın."
avci-yahni-kasesi-polonya-usulu,Avcı Yahni Kasesi,YEMEK,et-yemekleri,pl,3,4,few-steps;short-step,Dana eti 450 gr | Lahana 300 gr | Domates rendesi 1 su bardağı | Soğan 1 adet | Su 1.5 su bardağı,1. Eti tencerede mühürleyin. || 2. Soğan ve lahanayı ekleyin. || 3. Domatesle 18 dakika pişirin.
avokadolu-misir-mucveri-avustralya-usulu,Avokadolu Mısır Mücveri,KAHVALTI,kahvaltiliklar,au,3,4,few-steps;short-step,Mısır tanesi 1.5 su bardağı | Yumurta 1 adet | Un 0.75 su bardağı | Avokado 1 adet | Yoğurt 2 yemek kaşığı,1. Mücver harcını hazırlayın. || 2. Mücverleri 8 dakika pişirin. || 3. Avokadoyla birlikte servis edin.
avokadolu-patates-causa-peru-usulu,Avokadolu Patates Causa,APERATIF,aperatifler,pe,3,4,few-steps;short-step,Patates 4 adet | Avokado 1 adet | Lime suyu 2 yemek kaşığı | Maydanoz 0.25 demet,1. Patatesi 12 dakika haşlayın. || 2. Avokadolu iç katı hazırlayın. || 3. Katmanlayıp soğuk servis edin.
avokadolu-turplu-tahinli-salata-hatay-usulu,Avokadolu Turplu Tahinli Salata,SALATA,salatalar,tr,3,4,few-steps;short-step,Avokado 1 adet | Turp 3 adet | Tahin 2 yemek kaşığı | Limon suyu 1 yemek kaşığı,1. Turpu ince dilimleyin. || 2. Sosu çırpın. || 3. Avokadoyla karıştırıp servis edin.
avokadolu-yumurtali-tost-peru-usulu,Avokadolu Yumurtalı Tost,KAHVALTI,kahvaltiliklar,pe,3,4,few-steps;short-step,Ekmek 4 dilim | Avokado 1 adet | Yumurta 2 adet | Limon suyu 1 tatlı kaşığı,1. Ekmeği kızartın. || 2. Avokadoyu ezin. || 3. Yumurta ile üstünü tamamlayın.
zeytin-yaprakli-lor-sarma-izmir-usulu,Zeytin Yapraklı Lor Sarma,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Salamura zeytin yaprağı 18 adet | Lor peyniri 200 gr | Dereotu 0.25 demet | Zeytinyağı 1 yemek kaşığı,1. Yaprakları yıkayıp kurulayın. || 2. İç harcı hazırlayın. || 3. Sarmaları sarıp soğuk servis edin.
aycekirdekli-bulgur-kofte-kirikkale-usulu,Ayçekirdekli Bulgur Köfte,APERATIF,aperatifler,tr,3,4,few-steps;short-step,İnce bulgur 1 su bardağı | Ayçekirdeği içi 0.5 su bardağı | Domates salçası 1 yemek kaşığı | Soğan 0.5 adet | Su 0.75 su bardağı,1. Bulguru sıcak suyla kabartın. || 2. Harçla yoğurup şekil verin. || 3. Köfteleri tavada 8 dakika pişirin.
ayranli-evelik-corbasi-erzincan-usulu,Ayranlı Evelik Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Evelik otu 150 gr | Yoğurt 1.5 su bardağı | Aşurelik buğday 0.75 su bardağı | Su 5 su bardağı | Yumurta 1 adet,1. Buğdayı yumuşayana kadar pişirin. || 2. Yoğurtlu karışımı hazırlayın. || 3. Evelikle birlikte 6 dakika pişirin.
ayranli-yesil-mercimek-corbasi-erzurum-yayla-usulu,Erzurum Ayranlı Yeşil Mercimek Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Yeşil mercimek 1 su bardağı | Ayran 2 su bardağı | Un 1 yemek kaşığı | Su 2 su bardağı | Nane 1 tatlı kaşığı,1. Mercimeği haşlayın. || 2. Ayran ve unu karıştırın. || 3. Karışımı ekleyip 10 dakika pişirin.
ayvali-hardalli-yesil-salata-yalova-usulu,Ayvalı Hardallı Yeşil Salata,SALATA,salatalar,tr,3,4,few-steps;short-step,Karışık yeşillik 1 paket | Ayva 1 adet | Hardal 1 tatlı kaşığı | Limon suyu 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Ayvayı ince doğrayın. || 2. Sosu hazırlayın. || 3. Salatayı birleştirip servis edin.
ayvali-kestaneli-kup-bursa-usulu,Ayvalı Kestaneli Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Ayva 2 adet | Haşlanmış kestane 1 su bardağı | Süt 1.5 su bardağı | Mısır nişastası 2 yemek kaşığı,1. Sütlü tabanı 8 dakika pişirin. || 2. Ayvayı 5 dakika yumuşatın. || 3. Kup içinde katmanlayıp soğutun.
bademli-kabak-tatlisi-denizli-usulu,Bademli Kabak Tatlısı,TATLI,tatlilar,tr,3,4,few-steps;short-step,Balkabağı 600 gr | Şeker 0.75 su bardağı | Badem 0.5 su bardağı | Su 0.5 su bardağı,1. Kabağı tencereye alın. || 2. Şerbetle 22 dakika pişirin. || 3. Bademle servis edin.
bademli-zeytinli-salata-ispanya-usulu,Bademli Zeytinli Salata,SALATA,salatalar,es,3,4,few-steps;short-step,Karışık yeşillik 1 paket | Yeşil zeytin 0.75 su bardağı | Badem 0.5 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Bademi 2 dakika kavurun. || 2. Malzemeleri birleştirin. || 3. Sosla servis edin.
balli-yogurtlu-incir-kup-yunan-usulu,Ballı Yoğurtlu İncir Kup,TATLI,tatlilar,gr,3,4,few-steps;short-step,İncir 6 adet | Yoğurt 2 su bardağı | Bal 3 yemek kaşığı | Ceviz 0.25 su bardağı,1. Yoğurdu hazırlayın. || 2. İnciri dilimleyin. || 3. Bal ile katmanlayıp servis edin.
barbunyali-karalahana-corbasi-ordu-usulu,Barbunyalı Karalahana Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Kara lahana 250 gr | Haşlanmış barbunya 1.5 su bardağı | Soğan 1 adet | Su 5 su bardağı,1. Soğanı 4 dakika çevirin. || 2. Su ve barbunyayı ekleyin. || 3. Karalahanayla 10 dakika pişirin.
bezelyeli-nane-corbasi-ingiliz-usulu,Bezelyeli Nane Çorbası,CORBA,corbalar,gb,3,4,few-steps;short-step,Bezelye 3 su bardağı | Soğan 1 adet | Süt 0.5 su bardağı | Nane 0.25 demet | Su 3 su bardağı,1. Soğanı kısa çevirin. || 2. Bezelye ve suyu ekleyin. || 3. Nane ve sütle çorbayı çekin.
bezelyeli-naneli-ezme-ingiltere-usulu,Bezelyeli Naneli Ezme,SOS,soslar-dippler,gb,3,4,few-steps;short-step,Bezelye 2 su bardağı | Nane 0.25 demet | Limon suyu 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Bezelyeyi 5 dakika haşlayın. || 2. Ot ve limonla birlikte çekin. || 3. Ezmeyi servis kabına alın.
tokaj-sarap-spritz-macaristan-usulu,Tokaj Şarap Spritz,KOKTEYL,kokteyller,hu,3,4,few-steps;short-step,Beyaz şarap 1 su bardağı | Soda 1 su bardağı | Üzüm 6 adet | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Şarap ve sodayı ekleyin. || 3. Üzümlerle servis edin.
biberiyeli-tavuklu-firik-pilavi-mersin-usulu,Biberiyeli Tavuklu Firik Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Tavuk göğsü 500 gr | Firik 1.5 su bardağı | Biberiye 1 tatlı kaşığı | Su 3 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Firik ve suyu ekleyin. || 3. Biberiyeyle 12 dakika pişirin.
biberli-bulgur-omleti-adana-usulu,Adana Biberli Bulgur Omleti,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,İnce bulgur 0.5 su bardağı | Yumurta 3 adet | Yeşil biber 2 adet | Zeytinyağı 1 tatlı kaşığı,1. Bulguru 5 dakika ıslatın. || 2. Yumurta ve biberle karıştırın. || 3. Omleti tavada 6 dakika pişirin.
isotlu-patates-borek-tava-sanliurfa-usulu,İsotlu Patates Börek Tava,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 2 adet | Patates 3 adet | İsot 1 tatlı kaşığı | Zeytinyağı 2 yemek kaşığı,1. Patates harcını hazırlayın. || 2. Yufkayı harçla kapatın. || 3. Tavada 10 dakika pişirin.
