slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
kuzu-etli-pazi-diblesi-amasya-usulu,Kuzu Etli Pazı Diblesi,et-yemekleri,YEMEK,tr,0,Kuşbaşı kuzu eti 450 gr | Pazı 200 gr | Pirinç 1 su bardağı | Soğan 1 adet | Su 2 su bardağı,1. Eti 8 dakika mühürleyin. || 2. Soğan ve pirinci ekleyin. || 3. Pazıyla birlikte 14 dakika pişirin.,Pazıyı son aşamada eklemek tencerede rengini daha canlı tutar.,Üzerine kavrulmuş dolmalık fıstık ve kuş üzümü serpip Osmanlı sofrası sunumu hazırlayın.
kuzu-koftesi,Kuzu Köftesi,et-yemekleri,YEMEK,tr,0,Kuzu kıyma 600 gr | Soğan 1 adet | Sarımsak 2 diş | Kimyon 1 çay kaşığı | Kişniş 0.5 çay kaşığı | Tuz 1 tatlı kaşığı,"1. Kuzu kıyma, rendelenmiş soğan, sarımsak ve baharatları 8 dakika yoğurun. || 2. Harçtan yassı köfteler yapıp 20 dakika soğutun. || 3. Köfteleri ızgarada her yüzü 6-7 dakika pişirin.",Harç buzdolabında 20 dakika dinlenirse köfteler ızgarada formunu korur.,Piyaz ve közlenmiş domatesle servis edin.
kuzu-tagine,Kuzu Tagine,et-yemekleri,YEMEK,ma,0,Kuzu kuşbaşı 700 gr | Kuru kayısı 120 gr | Badem 70 gr | Tarçın 1 çubuk | Soğan 2 adet,1. Kuzu etini soğanla 8 dakika kavurun. || 2. Tarçın ve 400 ml su ekleyip 75 dakika pişirin. || 3. Kayısı ve bademi ekleyip 25 dakika daha pişirin.,Kuru kayısıyı son 25 dakikada ekleyin; sosu tatlandırır ama dağılmaz.,Kuskus veya sade pilavla servis edin.
kuzukulakli-patates-corbasi-polonya-usulu,Kuzukulağılı Patates Çorbası,corbalar,CORBA,pl,0,Patates 2 adet | Kuzukulağı 1 demet | Soğan 1 adet | Su 5 su bardağı,1. Soğanı 4 dakika çevirin. || 2. Patates ve suyu ekleyin. || 3. Kuzukulağıyla 8 dakika pişirin.,Kuzukulağını son dakikalarda eklemek renginin canlı kalmasını sağlar.,Sıcak servis edin.
lablabi,Lablabi,corbalar,CORBA,ma,0,Haşlanmış nohut 2 su bardağı | Sarımsak 2 diş | Kimyon 1 tatlı kaşığı | Bayat ekmek 4 dilim | Limon suyu 2 yemek kaşığı,"1. Nohut, sarımsak ve kimyonu 12 dakika kaynatın. || 2. Ekmek parçalarını kaselere yerleştirin. || 3. Sıcak nohudu ekmeğin üstüne döküp limon suyuyla servis edin.",Ekmek parçalarını tamamen eritmeden bırakmak çorbanın karakterini korur.,Üzerine limon suyu gezdirerek sıcak servis edin.
labneh,Labneh,soslar-dippler,SOS,me,0,Süzme yoğurt 700 gr | Tuz 1 çay kaşığı | Zeytinyağı 3 yemek kaşığı | Zaatar 1 tatlı kaşığı | Pide ekmeği 1 adet,1. Süzme yoğurdu tuzla karıştırın. || 2. Tülbentte 12 saat buzdolabında süzün. || 3. Tabağa yayıp zeytinyağı ve zaatarla servis edin.,Yoğurdu tülbentte en az 12 saat süzün; kaşık izi tutan koyu kıvam oluşur.,"Zeytinyağı, zaatar ve pide ekmeğiyle sunun."
labneli-biber-dolmasi-orta-dogu-usulu,Labneli Biber Dolması,aperatifler,APERATIF,me,0,Mini biber 12 adet | Labne 200 gr | Nane 1 yemek kaşığı | Zeytinyağı 1 tatlı kaşığı,1. Biberleri ortadan açın. || 2. Labne harcını hazırlayın. || 3. Biberleri doldurup servis edin.,Biberleri çok önceden doldurmamak sulanmalarını azaltır.,"Tabakta küçük kaselerde veya ayrı bölümlerde sunun; yanına limon dilimi, taze ekmek ve bir kase zeytin yerleştirin."
labneli-somonlu-bagel,Labneli Somonlu Bagel,kahvaltiliklar,KAHVALTI,tr,0,Bagel 2 adet | Labne 150 gr | Füme somon 120 gr | Kapari 1 yemek kaşığı | Dereotu 0.25 demet | Limon suyu 1 tatlı kaşığı,1. Bagelleri ortadan kesip 2 dakika kızartın. || 2. Labneyi limon suyu ve dereotuyla karıştırın. || 3. Bagellere labne sürüp somon ve kapari yerleştirin.,Bageli hafif kızartın; labne ekmeği ıslatmadan üzerinde kalır.,Kapari ve dereotuyla servis edin.
labneli-zaatar-pide-orta-dogu-usulu,Labneli Zaatar Pide,hamur-isleri,KAHVALTI,me,0,Un 2.5 su bardağı | Labne 1 su bardağı | Zahter 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Su 1 su bardağı,1. Hamuru yoğurup 10 dakika dinlendirin. || 2. Labne ve zahteri üstüne sürün. || 3. Pideyi 12 dakika pişirin.,Labneyi pişirme öncesi ince yaymak pidenin ortasında dengeli bir nem bırakır.,"Tabakta yumurta, peynir, bal-kaymak üçlüsü ve bir bardak sıcak sahlep eşlik ettiğinde tamamlanır."
labneli-zaatar-tost-orta-dogu-usulu,Labneli Zaatar Tost,kahvaltiliklar,KAHVALTI,me,0,Ekmek 4 dilim | Labne 0.75 su bardağı | Zaatar 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Ekmeği kızartın. || 2. Labneyi sürün. || 3. Zaatarla servis edin.,Ekmeği 2 dakika kızartmak labnenin üstte taze kalmasını sağlar.,"Yanına közlenmiş biber, salatalık turşusu ve sıcak çörek dilimleriyle serpintisiz sunum kurun."
