slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
turunclu-irmik-tatlisi-mersin-usulu,Turunçlü İrmik Tatlısı,TATLI,tatlilar,tr,3,4,few-steps;short-step,İrmik 1 su bardağı | Süt 3 su bardağı | Şeker 0.5 su bardağı | Turunç suyu 2 yemek kaşığı | Turunç kabuğu 1 tatlı kaşığı,1. Süt ve irmiği tencereye alın. || 2. Karışımı 10 dakika pişirin. || 3. Turunçla tamamlayıp soğutun.
pirasali-mihalic-mucveri-bursa-usulu,Pırasalı Mihaliç Mücveri,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Pırasa 2 adet | Mihaliç peyniri 100 gr | Un 0.75 su bardağı | Yumurta 1 adet | Sıvı yağ 3 yemek kaşığı,1. Pırasayı doğrayıp karışımı hazırlayın. || 2. Mücverleri şekillendirin. || 3. Mücverleri 8 dakika kızartın.
paper-plane,Paper Plane,KOKTEYL,kokteyller,us,3,4,few-steps;short-step,Viski 30 ml | Aperol 30 ml | Amaro 30 ml | Limon suyu 30 ml,1. Tüm malzemeleri buz dolu shakera alın. || 2. Shakerı 12 saniye çalkalayın. || 3. Soğutulmuş coupe bardağa süzün.
lavantali-badem-sutlac-foca-usulu,Lavantali Badem Sütlaç,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 4 su bardağı | Pirinç 0.5 su bardağı | Toz badem 0.25 su bardağı | Şeker 0.5 su bardağı | Lavanta 1 çimdik,1. Pirinci 10 dakika haşlayın. || 2. Süt ve şekeri ekleyin. || 3. Bademle birlikte 8 dakika pişirin.
sinkonta-izmir-usulu,Sinkonta,YEMEK,sebze-yemekleri,tr,3,4,few-steps;short-step,Balkabağı 600 gr | Soğan 2 adet | Domates salçası 1 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Su 0.5 su bardağı,1. Soğanı zeytinyağında 5 dakika çevirin. || 2. Kabak ve salçayı ekleyin. || 3. Yemeği 18 dakika pişirin.
cevizli-batirik-karaman-usulu,Cevizli Batırık,SALATA,salatalar,tr,3,4,few-steps;short-step,İnce bulgur 1 su bardağı | Tahin 2 yemek kaşığı | Ceviz 0.5 su bardağı | Domates 2 adet | Maydanoz 0.25 demet,1. Bulguru domatesle ıslatın. || 2. Tahin ve cevizi ekleyip karıştırın. || 3. Maydanozla tamamlayıp servis edin.
tahinli-yufka-coregi-ankara-usulu,Tahinli Yufka Çöreği,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Yufka 3 adet | Tahin 0.5 su bardağı | Tereyağı 30 gr | Şeker 2 yemek kaşığı,1. İç harcı hazırlayın. || 2. Yufkaları sarıp tepsiye yerleştirin. || 3. Çöreği 22 dakika pişirin.
hasude-erzincan-usulu,Hasude,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 3 su bardağı | Mısır nişastası 3 yemek kaşığı | Şeker 0.5 su bardağı | Tereyağı 20 gr,1. Nişastayı sütle açın. || 2. Şekerle birlikte 8 dakika pişirin. || 3. Tereyağı ekleyip servis edin.
kelecos-erzurum-usulu,Kelecoş,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Bayat ekmek 4 dilim | Yoğurt 1.5 su bardağı | Soğan 1 adet | Tereyağı 20 gr | Su 0.5 su bardağı,1. Ekmeği servis tabağına alın. || 2. Yoğurtlu karışımı hazırlayın. || 3. Soğanlı tereyağını gezdirip servis edin.
hardaliyeli-lahana-salatasi-kirklareli-usulu,Hardaliyeli Lahana Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Kırmızı lahana 300 gr | Hardaliye 3 yemek kaşığı | Elma sirkesi 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı | Dereotu 0.25 demet,1. Lahanayı ince kıyın. || 2. Sosu hazırlayıp lahana ile karıştırın. || 3. Dereotuyla servis edin.
pimms-cup-punch-ingiliz-bahce-usulu,Pimm's Cup Punch,KOKTEYL,kokteyller,gb,3,4,few-steps;short-step,Pimm's likor 1.5 su bardağı | Gazoz 2 su bardağı | Salatalık 0.5 adet | Çilek 6 adet | Portakal 0.5 adet,1. Meyveleri bardağa yerleştirin. || 2. Pimm's likor ve gazozu ekleyin. || 3. Buzla karıştırıp servis edin.
mizeria-polonya-yaz-usulu,Mizeria,SALATA,salatalar,pl,3,4,few-steps;short-step,Salatalık 3 adet | Ekşi krema 0.75 su bardağı | Dereotu 0.25 demet | Tuz 0.5 çay kaşığı,1. Salatalığı ince dilimleyin. || 2. Ekşi krema ve dereotuyla karıştırın. || 3. Salatayı servis edin.
