slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
kasarli-biberli-pide-tekirdag-usulu,Kaşarlı Biberli Pide,hamur-isleri,ATISTIRMALIK,tr,0,Un 2.5 su bardağı | Kaşar peyniri 180 gr | Kapya biber 2 adet | Su 0.75 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Hamuru açın. || 2. Biber ve peyniri yerleştirin. || 3. Pideyi 16 dakika pişirin.,Biberi önceden 3 dakika çevirmek pidenin orta kısmını ıslatmaz.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
kasarli-eriste-tavasi-kars-usulu,Kars Kaşarlı Erişte Tavası,makarna-pilav,YEMEK,tr,0,Erişte 250 gr | Kaşar peyniri 150 gr | Tereyağı 30 gr | Karabiber 0.5 çay kaşığı,1. Erişteyi 8 dakika haşlayıp süzün. || 2. Tereyağında erişteyi 2 dakika çevirin. || 3. Kaşarı ekleyip eriyene kadar karıştırarak servis edin.,Erişteyi çok yumuşatmadan süzmek tavada kaşarla karışırken diri kalmasına yardım eder.,Üzerine karabiber serpip sıcak servis edin.
kasarli-fasulyeli-kahvalti-kase-ingiltere-usulu,Kaşarlı Fasulyeli Kahvaltı Kase,kahvaltiliklar,KAHVALTI,gb,0,Fasulye sosu 1.5 su bardağı | Yumurta 2 adet | Kaşar peyniri 80 gr | Ekmek 2 dilim,1. Fasulyeyi ısıtın. || 2. Yumurtayı pişirin. || 3. Kaşarla birleştirip servis edin.,Kaşarı en sonda eklemek kasede daha uzun uzayan bir doku verir.,Sıcak servis edin.
kasarli-ispanakli-gurme-tost-bursa-usulu,Kaşarlı Ispanaklı Gurme Tost,kahvaltiliklar,KAHVALTI,tr,0,Köy ekmeği 4 dilim | Kaşar peyniri 150 gr | Ispanak 150 gr | Tereyağı 1 tatlı kaşığı,1. Ispanağı 3 dakika çevirin. || 2. Ekmeği hazırlayın. || 3. Kaşarla birlikte tost edin.,Ispanağı tavada 3 dakika çevirmek tostun içinde su bırakmasını önler.,Ilık servis edin.
kasarli-kapya-pide-bursa-usulu,Kaşarlı Kapya Pide,hamur-isleri,ATISTIRMALIK,tr,0,Un 2.5 su bardağı | Kaşar peyniri 180 gr | Kapya biber 2 adet | Zeytinyağı 1 yemek kaşığı | Su 0.75 su bardağı,1. Hamuru hazırlayıp açın. || 2. Biber ve peyniri üstüne yayın. || 3. Pideyi 16 dakika pişirin.,Kapya biberi önceden kısa sotelemek pidenin ortasını ıslatmaz.,Yanına sıcak ekmek ve bir kase turşu iliştirip geleneksel tabağa dönüştürün.
kasha-grechka,Kasha Grechka,makarna-pilav,YEMEK,ru,0,Karabuğday 1.5 su bardağı | Mantar 250 gr | Tereyağı 40 gr | Soğan 1 adet,1. Karabuğdayı kuru tavada 3 dakika kavurun. || 2. Soğan ve mantarı tereyağında 8 dakika pişirin. || 3. Karabuğdayla birlikte 20 dakika pişirin.,Karabuğdayı kuru tavada 3 dakika kavurun; fındıksı aroması belirginleşir.,Mantar sote ve dereotuyla sıcak servis edin.
kasha-grechnevaya-rus-usulu,Kasha Grechnevaya,makarna-pilav,YEMEK,ru,0,Karabuğday 1 su bardağı | Su 2 su bardağı | Tereyağı 20 gr | Tuz 0.5 çay kaşığı,1. Karabuğdayı kısa süre kavurun. || 2. Su ve tuzu ekleyin. || 3. Pilavı 15 dakika pişirip tereyağıyla tamamlayın.,Karabuğdayı kısa kavurmak aromayı belirginleştirir.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
kasik-boregi-yozgat-usulu,Yozgat Kaşık Böreği,hamur-isleri,KAHVALTI,tr,0,Un 1.5 su bardağı | Yumurta 2 adet | Yoğurt 1 su bardağı | Beyaz peynir 120 gr,"1. Un, yumurta ve yoğurdu çırpın. || 2. Peyniri ekleyip harcı karıştırın. || 3. Hamuru tavada kaşık kaşık pişirerek servis edin.",Hamuru çok koyu bırakmamak kaşık böreğinin tavada eşit yayılmasını sağlar.,Tahta tepsiye yerleştirip bir sürahi portakal suyu ve karmaşık tane ekmek dilimleri ekleyin.
kasik-helvasi-denizli-usulu,Denizli Kaşık Helvası,tatlilar,TATLI,tr,0,Un 1 su bardağı | Tereyağı 60 gr | Toz şeker 0.75 su bardağı | Su 1.25 su bardağı,1. Şeker ve suyu 5 dakika kaynatın. || 2. Ayrı tavada unu tereyağıyla 7 dakika kavurun. || 3. Şerbeti una ekleyip helvayı koyulaşana kadar karıştırın.,Şerbeti azar azar eklemek helvada topak kalmasını önler.,Kaşıkla paylaştırıp ılık servis edin.
kastamonu-banduma,Kastamonu Banduma,tavuk-yemekleri,YEMEK,tr,0,Hindi but 1.2 kg | Kuru yufka 5 adet | Ceviz 180 gr | Tereyağı 80 gr,"1. Hindi etini 90 dakika haşlayıp didikleyin. || 2. Yufkaları et suyuna batırıp tepsiye dizin. || 3. Hindi, ceviz ve tereyağıyla katları tamamlayın.",Yufkayı et suyuna batırıp hemen çıkarın; uzun bekletirseniz parçalanır.,Ceviz ve kızgın tereyağıyla sıcak servis edin.
katikli-ekmek-kilis-usulu,Kilis Katıklı Ekmek,hamur-isleri,KAHVALTI,tr,0,Un 3 su bardağı | Su 1 su bardağı | Instant maya 1 tatlı kaşığı | Çökelek 200 gr | Biber salçası 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Kekik 1 çay kaşığı,"1. Un, su ve mayayla yumuşak bir hamur yoğurup 20 dakika dinlendirin. || 2. Çökelek, salça, zeytinyağı ve kekiği karıştırarak iç harcı hazırlayın. || 3. Hamuru ince açıp harcı yayın ve 220°C fırında 12 dakika pişirin.",İç harcı sürmeden önce hamuru çok kalın bırakmamak tabanın gevrek kalmasına yardımcı olur.,Dilimleyip çay ya da ayranla ılık servis edin.
katikli-patates-corbasi-sivas-usulu,Sivas Katıklı Patates Çorbası,corbalar,CORBA,tr,0,Patates 3 adet | Yoğurt 1 su bardağı | Un 1 yemek kaşığı | Nane 1 tatlı kaşığı | Su 4 su bardağı,1. Patatesleri suyla yumuşayana kadar pişirin. || 2. Yoğurt ve unu karıştırıp çorbaya ekleyin. || 3. Naneyi ekleyip 5 dakika daha kaynatın.,Yoğurdu kesmemek için tencerenin suyundan ekleyerek ılıtın.,Porselen derin kaseye boşaltıp kenarına haşlanmış bir dilim yumurta ve taze soğan koyun.
katmer,Katmer,hamur-isleri,KAHVALTI,tr,0,Un 3 su bardağı | Su 1 su bardağı | Tuz 1 çay kaşığı | Tereyağı 80 gr | Sıvı yağ 2 yemek kaşığı,"1. Un, su ve tuzu 8 dakika yoğurun, hamuru 20 dakika dinlendirin. || 2. Hamuru ince açıp yağlayın, katlayarak kare şekli verin. || 3. Katmerleri tavada iki yüzü kızarana kadar toplam 4-5 dakika pişirin.",Hamuru ince açın ve kat aralarına yağı eşit sürün; katmer pişerken tel tel ayrılır.,"Bal, kaymak veya peynirle sıcak servis edin."
katmer-sivas-usulu,Sivas Katmeri,hamur-isleri,KAHVALTI,tr,0,Un 3 su bardağı | Su 1 su bardağı | Tereyağı 60 gr | Tuz 0.5 çay kaşığı,1. Hamuru yoğurup 15 dakika dinlendirin. || 2. Hamuru ince açıp tereyağı sürerek katlayın. || 3. Katmeri tavada iki yüzünü toplam 10 dakika pişirin.,Katları kapatırken aralara eşit yağ sürmek katmerin daha ince ayrılmasını sağlar.,Pekmez ya da çayla ılık servis edin.
kavrulmus-patlican-salatasi-urfa-usulu,Urfa Usulü Kavrulmuş Patlıcan Salatası,salatalar,SALATA,tr,0,Patlıcan 3 adet | Domates 2 adet | Yeşil biber 2 adet | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı | Lavaş 4 adet,1. Patlıcanları közleyip kabuklarını soyun ve iri doğrayın. || 2. Domates ve biberi zeytinyağında 5 dakika çevirin. || 3. Patlıcan ve tuzu ekleyip salatayı 4 dakika daha kavurun. || 4. Kavrulmuş patlıcan salatasını lavaşla ılık servis edin.,Patlıcanı bıçakla iri doğramak tavada ezilip püreleşmesini önler.,Yanına ince lavaşla ılık servis edin.
kavun-cekirdekli-ayran-aksaray-usulu,Kavun Çekirdekli Ayran,icecekler,ICECEK,tr,0,Yoğurt 1.5 su bardağı | Su 1.5 su bardağı | Kavun çekirdeği içi 2 yemek kaşığı | Tuz 1 çimdik,1. Kavun çekirdeğini ince çekin. || 2. Yoğurt ve suyu çırpın. || 3. Çekirdeği ekleyip servis edin.,Çekirdeği ince çekmek içecekte kumlu his bırakmaz.,"Yüksek ince bardakta buzla birlikte verin, bardağın kenarını limon kabuğuyla gezdirip süsleyin."
