slug,type,currentStepCount,minTarget,maxTarget,currentTitle,currentStepsJson
elmali-irmik-kup-aksaray-usulu,TATLI,3,5,10,Elmalı İrmik Kup,"[{""stepNumber"":1,""instruction"":""İrmikli tabanı pişirin."",""timerSeconds"":480},{""stepNumber"":2,""instruction"":""Elmayı tavada 4 dakika çevirin."",""timerSeconds"":240},{""stepNumber"":3,""instruction"":""Kup içinde birleştirip soğutun."",""timerSeconds"":null}]"
elmali-misir-unu-keki-rize-usulu,TATLI,3,5,10,Elmalı Mısır Unu Keki,"[{""stepNumber"":1,""instruction"":""Kuru ve sıvı malzemeleri karıştırın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Elmayı ekleyip kalıba dökün."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Keki 24 dakika pişirin."",""timerSeconds"":1440}]"
elmali-tart,TATLI,3,5,10,Elmalı Tart,"[{""stepNumber"":1,""instruction"":""Un, tereyağı ve yumurtayla hamur yoğurup 20 dakika dinlendirin."",""timerSeconds"":1200},{""stepNumber"":2,""instruction"":""Rendelenmiş elma, şeker ve tarçını 10 dakika pişirip soğutun."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Hamur ve harcı kalıba yerleştirip 180°C fırında 30-35 dakika pişirin."",""timerSeconds"":2100}]"
elmali-un-helvasi-aksaray-usulu,TATLI,3,5,10,Elmalı Un Helvası,"[{""stepNumber"":1,""instruction"":""Elmayı rendeleyin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Unu tereyağında 8 dakika kavurun."",""timerSeconds"":480},{""stepNumber"":3,""instruction"":""Elma ve şekeri ekleyip 5 dakika çevirin."",""timerSeconds"":300}]"
erikli-hashasli-irmik-kup-macar-usulu,TATLI,3,5,10,Erikli Haşhaşlı İrmik Kup,"[{""stepNumber"":1,""instruction"":""İrmikli tabanı 8 dakika pişirin."",""timerSeconds"":480},{""stepNumber"":2,""instruction"":""Erikleri kısa süre çevirin."",""timerSeconds"":180},{""stepNumber"":3,""instruction"":""Kup içinde katmanlayın."",""timerSeconds"":null}]"
erikli-hashasli-krem-kup-polonya-usulu,TATLI,3,5,10,Erikli Haşhaşlı Krem Kup,"[{""stepNumber"":1,""instruction"":""Süt, irmik ve şekeri tencerede 7 dakika pişirin."",""timerSeconds"":420},{""stepNumber"":2,""instruction"":""Doğranmış erik ve haşhaşı ekleyip 2 dakika daha karıştırın."",""timerSeconds"":120},{""stepNumber"":3,""instruction"":""Karışımı kupa paylaştırıp soğuk servis edin."",""timerSeconds"":null}]"
erikli-makowiec-kup-polonya-usulu,TATLI,3,5,10,Erikli Makowiec Kup,"[{""stepNumber"":1,""instruction"":""Kremayı hafifçe çırpın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Kup katmanlarını kurun."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Tatlıyı soğuk servis edin."",""timerSeconds"":null}]"
erikli-poppyseed-kup-polonya-usulu,TATLI,3,5,10,Polonya Erikli Poppyseed Kup,"[{""stepNumber"":1,""instruction"":""Erikleri şekerle 6 dakika pişirin."",""timerSeconds"":360},{""stepNumber"":2,""instruction"":""Kremayı haşhaşla çırpın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Katlar halinde kuplara doldurup servis edin."",""timerSeconds"":null}]"
eton-mess,TATLI,3,5,10,Eton Mess,"[{""stepNumber"":1,""instruction"":""Kremayı hafifçe çırpın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Çileği şekerle karıştırıp 5 dakika bekletin."",""timerSeconds"":300},{""stepNumber"":3,""instruction"":""Beze kırıklarıyla birlikte kremaya ekleyip hemen servis edin."",""timerSeconds"":null}]"
eton-mess-kup-ingiliz-usulu,TATLI,3,5,10,Eton Mess Kup,"[{""stepNumber"":1,""instruction"":""Kremayı pudra şekeriyle çırpın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Çilek ve bezenin bir kısmını kupalara paylaştırın."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Krema ekleyip kalan bezeyle tamamlayarak servis edin."",""timerSeconds"":null}]"
